metric,value
n_events,100000000
n_hits_in_crystal,9389
n_overflow,4497
r_disk_mm,900
z_disk_mm,300
disk_area_cm2,25446.90049
pdg_expected_per_s,424.9632383
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,24116.61505

bin_keV,counts,per_muon
0,21,2.1e-07
1,12,1.2e-07
2,10,1e-07
3,7,7e-08
4,11,1.1e-07
5,10,1e-07
6,8,8e-08
7,12,1.2e-07
8,14,1.4e-07
9,12,1.2e-07
10,7,7e-08
11,6,6e-08
12,9,9e-08
13,5,5e-08
14,8,8e-08
15,9,9e-08
16,10,1e-07
17,6,6e-08
18,6,6e-08
19,9,9e-08
20,7,7e-08
21,8,8e-08
22,13,1.3e-07
23,5,5e-08
24,9,9e-08
25,7,7e-08
26,3,3e-08
27,7,7e-08
28,1,1e-08
29,4,4e-08
30,5,5e-08
31,4,4e-08
32,7,7e-08
33,6,6e-08
34,7,7e-08
35,4,4e-08
36,5,5e-08
37,5,5e-08
38,4,4e-08
39,5,5e-08
40,6,6e-08
41,8,8e-08
42,3,3e-08
43,5,5e-08
44,8,8e-08
45,4,4e-08
46,4,4e-08
47,4,4e-08
48,4,4e-08
49,9,9e-08
50,6,6e-08
51,6,6e-08
52,5,5e-08
53,2,2e-08
54,3,3e-08
55,9,9e-08
56,3,3e-08
57,5,5e-08
58,4,4e-08
59,7,7e-08
60,5,5e-08
61,4,4e-08
62,6,6e-08
63,5,5e-08
64,7,7e-08
65,3,3e-08
66,4,4e-08
67,5,5e-08
68,3,3e-08
69,3,3e-08
70,2,2e-08
71,3,3e-08
72,7,7e-08
73,3,3e-08
74,6,6e-08
75,7,7e-08
76,2,2e-08
77,4,4e-08
78,5,5e-08
79,0,0
80,4,4e-08
81,3,3e-08
82,6,6e-08
83,3,3e-08
84,7,7e-08
85,6,6e-08
86,8,8e-08
87,4,4e-08
88,1,1e-08
89,5,5e-08
90,3,3e-08
91,9,9e-08
92,4,4e-08
93,2,2e-08
94,2,2e-08
95,4,4e-08
96,5,5e-08
97,4,4e-08
98,3,3e-08
99,5,5e-08
100,6,6e-08
101,4,4e-08
102,5,5e-08
103,4,4e-08
104,4,4e-08
105,2,2e-08
106,5,5e-08
107,3,3e-08
108,4,4e-08
109,7,7e-08
110,3,3e-08
111,6,6e-08
112,6,6e-08
113,4,4e-08
114,5,5e-08
115,2,2e-08
116,6,6e-08
117,4,4e-08
118,3,3e-08
119,4,4e-08
120,6,6e-08
121,5,5e-08
122,1,1e-08
123,5,5e-08
124,2,2e-08
125,2,2e-08
126,2,2e-08
127,3,3e-08
128,3,3e-08
129,2,2e-08
130,2,2e-08
131,6,6e-08
132,9,9e-08
133,2,2e-08
134,3,3e-08
135,8,8e-08
136,4,4e-08
137,3,3e-08
138,7,7e-08
139,6,6e-08
140,3,3e-08
141,0,0
142,1,1e-08
143,3,3e-08
144,5,5e-08
145,2,2e-08
146,4,4e-08
147,7,7e-08
148,6,6e-08
149,6,6e-08
150,1,1e-08
151,3,3e-08
152,3,3e-08
153,3,3e-08
154,4,4e-08
155,6,6e-08
156,4,4e-08
157,3,3e-08
158,4,4e-08
159,5,5e-08
160,6,6e-08
161,4,4e-08
162,5,5e-08
163,4,4e-08
164,3,3e-08
165,3,3e-08
166,4,4e-08
167,2,2e-08
168,2,2e-08
169,4,4e-08
170,2,2e-08
171,3,3e-08
172,5,5e-08
173,2,2e-08
174,0,0
175,4,4e-08
176,4,4e-08
177,5,5e-08
178,4,4e-08
179,2,2e-08
180,1,1e-08
181,1,1e-08
182,7,7e-08
183,3,3e-08
184,1,1e-08
185,2,2e-08
186,2,2e-08
187,3,3e-08
188,3,3e-08
189,6,6e-08
190,4,4e-08
191,5,5e-08
192,2,2e-08
193,6,6e-08
194,2,2e-08
195,5,5e-08
196,5,5e-08
197,7,7e-08
198,6,6e-08
199,2,2e-08
200,0,0
201,3,3e-08
202,1,1e-08
203,5,5e-08
204,7,7e-08
205,7,7e-08
206,3,3e-08
207,3,3e-08
208,3,3e-08
209,1,1e-08
210,5,5e-08
211,5,5e-08
212,3,3e-08
213,4,4e-08
214,11,1.1e-07
215,8,8e-08
216,2,2e-08
217,2,2e-08
218,1,1e-08
219,3,3e-08
220,2,2e-08
221,3,3e-08
222,0,0
223,7,7e-08
224,6,6e-08
225,3,3e-08
226,6,6e-08
227,4,4e-08
228,2,2e-08
229,2,2e-08
230,3,3e-08
231,2,2e-08
232,4,4e-08
233,4,4e-08
234,3,3e-08
235,6,6e-08
236,2,2e-08
237,5,5e-08
238,3,3e-08
239,1,1e-08
240,1,1e-08
241,3,3e-08
242,5,5e-08
243,4,4e-08
244,6,6e-08
245,1,1e-08
246,2,2e-08
247,3,3e-08
248,3,3e-08
249,3,3e-08
250,5,5e-08
251,2,2e-08
252,0,0
253,2,2e-08
254,2,2e-08
255,4,4e-08
256,2,2e-08
257,2,2e-08
258,0,0
259,6,6e-08
260,5,5e-08
261,6,6e-08
262,3,3e-08
263,2,2e-08
264,4,4e-08
265,2,2e-08
266,3,3e-08
267,3,3e-08
268,3,3e-08
269,5,5e-08
270,0,0
271,5,5e-08
272,3,3e-08
273,4,4e-08
274,0,0
275,3,3e-08
276,4,4e-08
277,3,3e-08
278,2,2e-08
279,3,3e-08
280,2,2e-08
281,2,2e-08
282,4,4e-08
283,0,0
284,3,3e-08
285,3,3e-08
286,5,5e-08
287,7,7e-08
288,3,3e-08
289,2,2e-08
290,4,4e-08
291,6,6e-08
292,5,5e-08
293,0,0
294,5,5e-08
295,6,6e-08
296,0,0
297,3,3e-08
298,0,0
299,2,2e-08
300,2,2e-08
301,1,1e-08
302,0,0
303,2,2e-08
304,5,5e-08
305,3,3e-08
306,2,2e-08
307,2,2e-08
308,4,4e-08
309,5,5e-08
310,2,2e-08
311,4,4e-08
312,2,2e-08
313,6,6e-08
314,5,5e-08
315,0,0
316,1,1e-08
317,2,2e-08
318,1,1e-08
319,5,5e-08
320,4,4e-08
321,7,7e-08
322,0,0
323,4,4e-08
324,1,1e-08
325,1,1e-08
326,4,4e-08
327,4,4e-08
328,4,4e-08
329,1,1e-08
330,3,3e-08
331,2,2e-08
332,5,5e-08
333,2,2e-08
334,3,3e-08
335,0,0
336,3,3e-08
337,3,3e-08
338,3,3e-08
339,3,3e-08
340,5,5e-08
341,3,3e-08
342,2,2e-08
343,2,2e-08
344,3,3e-08
345,2,2e-08
346,2,2e-08
347,1,1e-08
348,1,1e-08
349,2,2e-08
350,4,4e-08
351,1,1e-08
352,1,1e-08
353,3,3e-08
354,2,2e-08
355,2,2e-08
356,2,2e-08
357,3,3e-08
358,3,3e-08
359,3,3e-08
360,4,4e-08
361,2,2e-08
362,5,5e-08
363,1,1e-08
364,2,2e-08
365,2,2e-08
366,4,4e-08
367,3,3e-08
368,5,5e-08
369,3,3e-08
370,3,3e-08
371,2,2e-08
372,2,2e-08
373,1,1e-08
374,1,1e-08
375,3,3e-08
376,6,6e-08
377,2,2e-08
378,0,0
379,3,3e-08
380,2,2e-08
381,3,3e-08
382,1,1e-08
383,3,3e-08
384,2,2e-08
385,2,2e-08
386,3,3e-08
387,1,1e-08
388,1,1e-08
389,2,2e-08
390,1,1e-08
391,7,7e-08
392,1,1e-08
393,2,2e-08
394,1,1e-08
395,2,2e-08
396,3,3e-08
397,0,0
398,1,1e-08
399,3,3e-08
400,3,3e-08
401,2,2e-08
402,2,2e-08
403,1,1e-08
404,1,1e-08
405,0,0
406,1,1e-08
407,2,2e-08
408,3,3e-08
409,2,2e-08
410,2,2e-08
411,1,1e-08
412,1,1e-08
413,3,3e-08
414,2,2e-08
415,1,1e-08
416,1,1e-08
417,3,3e-08
418,1,1e-08
419,1,1e-08
420,1,1e-08
421,5,5e-08
422,2,2e-08
423,4,4e-08
424,2,2e-08
425,2,2e-08
426,4,4e-08
427,1,1e-08
428,0,0
429,3,3e-08
430,2,2e-08
431,0,0
432,2,2e-08
433,2,2e-08
434,6,6e-08
435,4,4e-08
436,3,3e-08
437,3,3e-08
438,0,0
439,2,2e-08
440,1,1e-08
441,2,2e-08
442,2,2e-08
443,3,3e-08
444,0,0
445,3,3e-08
446,3,3e-08
447,0,0
448,2,2e-08
449,3,3e-08
450,2,2e-08
451,5,5e-08
452,1,1e-08
453,3,3e-08
454,4,4e-08
455,0,0
456,1,1e-08
457,2,2e-08
