metric,value
n_events,100000000
n_hits_in_crystal,54057
n_overflow,27239
r_disk_mm,300
z_disk_mm,300
disk_area_cm2,2827.433388
pdg_expected_per_s,47.21813758
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,25961.64042

bin_keV,counts,per_muon
0,148,1.48e-06
1,79,7.9e-07
2,86,8.6e-07
3,65,6.5e-07
4,81,8.1e-07
5,61,6.1e-07
6,59,5.9e-07
7,68,6.8e-07
8,65,6.5e-07
9,61,6.1e-07
10,69,6.9e-07
11,65,6.5e-07
12,56,5.6e-07
13,63,6.3e-07
14,55,5.5e-07
15,57,5.7e-07
16,65,6.5e-07
17,48,4.8e-07
18,50,5e-07
19,63,6.3e-07
20,42,4.2e-07
21,44,4.4e-07
22,41,4.1e-07
23,34,3.4e-07
24,38,3.8e-07
25,30,3e-07
26,48,4.8e-07
27,36,3.6e-07
28,36,3.6e-07
29,29,2.9e-07
30,36,3.6e-07
31,33,3.3e-07
32,35,3.5e-07
33,29,2.9e-07
34,25,2.5e-07
35,28,2.8e-07
36,31,3.1e-07
37,36,3.6e-07
38,17,1.7e-07
39,24,2.4e-07
40,29,2.9e-07
41,33,3.3e-07
42,26,2.6e-07
43,28,2.8e-07
44,39,3.9e-07
45,31,3.1e-07
46,25,2.5e-07
47,22,2.2e-07
48,29,2.9e-07
49,25,2.5e-07
50,28,2.8e-07
51,26,2.6e-07
52,23,2.3e-07
53,27,2.7e-07
54,19,1.9e-07
55,28,2.8e-07
56,25,2.5e-07
57,29,2.9e-07
58,30,3e-07
59,28,2.8e-07
60,26,2.6e-07
61,35,3.5e-07
62,28,2.8e-07
63,30,3e-07
64,31,3.1e-07
65,25,2.5e-07
66,20,2e-07
67,30,3e-07
68,22,2.2e-07
69,27,2.7e-07
70,23,2.3e-07
71,32,3.2e-07
72,37,3.7e-07
73,33,3.3e-07
74,19,1.9e-07
75,31,3.1e-07
76,26,2.6e-07
77,31,3.1e-07
78,27,2.7e-07
79,38,3.8e-07
80,35,3.5e-07
81,23,2.3e-07
82,34,3.4e-07
83,25,2.5e-07
84,29,2.9e-07
85,31,3.1e-07
86,31,3.1e-07
87,27,2.7e-07
88,20,2e-07
89,23,2.3e-07
90,31,3.1e-07
91,18,1.8e-07
92,18,1.8e-07
93,18,1.8e-07
94,22,2.2e-07
95,17,1.7e-07
96,17,1.7e-07
97,25,2.5e-07
98,21,2.1e-07
99,17,1.7e-07
100,20,2e-07
101,22,2.2e-07
102,22,2.2e-07
103,18,1.8e-07
104,21,2.1e-07
105,14,1.4e-07
106,23,2.3e-07
107,16,1.6e-07
108,27,2.7e-07
109,17,1.7e-07
110,14,1.4e-07
111,26,2.6e-07
112,20,2e-07
113,14,1.4e-07
114,15,1.5e-07
115,24,2.4e-07
116,15,1.5e-07
117,13,1.3e-07
118,19,1.9e-07
119,16,1.6e-07
120,23,2.3e-07
121,15,1.5e-07
122,17,1.7e-07
123,26,2.6e-07
124,25,2.5e-07
125,15,1.5e-07
126,11,1.1e-07
127,24,2.4e-07
128,21,2.1e-07
129,24,2.4e-07
130,20,2e-07
131,18,1.8e-07
132,20,2e-07
133,17,1.7e-07
134,18,1.8e-07
135,17,1.7e-07
136,24,2.4e-07
137,24,2.4e-07
138,22,2.2e-07
139,21,2.1e-07
140,14,1.4e-07
141,19,1.9e-07
142,17,1.7e-07
143,26,2.6e-07
144,24,2.4e-07
145,29,2.9e-07
146,17,1.7e-07
147,24,2.4e-07
148,22,2.2e-07
149,23,2.3e-07
150,16,1.6e-07
151,25,2.5e-07
152,20,2e-07
153,15,1.5e-07
154,21,2.1e-07
155,18,1.8e-07
156,12,1.2e-07
157,20,2e-07
158,22,2.2e-07
159,18,1.8e-07
160,18,1.8e-07
161,34,3.4e-07
162,21,2.1e-07
163,15,1.5e-07
164,18,1.8e-07
165,19,1.9e-07
166,24,2.4e-07
167,19,1.9e-07
168,17,1.7e-07
169,21,2.1e-07
170,13,1.3e-07
171,22,2.2e-07
172,20,2e-07
173,19,1.9e-07
174,20,2e-07
175,19,1.9e-07
176,12,1.2e-07
177,18,1.8e-07
178,17,1.7e-07
179,27,2.7e-07
180,20,2e-07
181,21,2.1e-07
182,18,1.8e-07
183,19,1.9e-07
184,19,1.9e-07
185,16,1.6e-07
186,27,2.7e-07
187,20,2e-07
188,21,2.1e-07
189,15,1.5e-07
190,18,1.8e-07
191,19,1.9e-07
192,31,3.1e-07
193,12,1.2e-07
194,28,2.8e-07
195,22,2.2e-07
196,28,2.8e-07
197,18,1.8e-07
198,23,2.3e-07
199,19,1.9e-07
200,19,1.9e-07
201,22,2.2e-07
202,27,2.7e-07
203,26,2.6e-07
204,25,2.5e-07
205,22,2.2e-07
206,16,1.6e-07
207,21,2.1e-07
208,14,1.4e-07
209,14,1.4e-07
210,26,2.6e-07
211,22,2.2e-07
212,14,1.4e-07
213,14,1.4e-07
214,16,1.6e-07
215,15,1.5e-07
216,12,1.2e-07
217,12,1.2e-07
218,15,1.5e-07
219,12,1.2e-07
220,20,2e-07
221,14,1.4e-07
222,18,1.8e-07
223,17,1.7e-07
224,11,1.1e-07
225,22,2.2e-07
226,13,1.3e-07
227,22,2.2e-07
228,20,2e-07
229,13,1.3e-07
230,16,1.6e-07
231,17,1.7e-07
232,17,1.7e-07
233,15,1.5e-07
234,21,2.1e-07
235,15,1.5e-07
236,19,1.9e-07
237,15,1.5e-07
238,16,1.6e-07
239,13,1.3e-07
240,16,1.6e-07
241,19,1.9e-07
242,19,1.9e-07
243,16,1.6e-07
244,18,1.8e-07
245,19,1.9e-07
246,22,2.2e-07
247,15,1.5e-07
248,12,1.2e-07
249,17,1.7e-07
250,18,1.8e-07
251,17,1.7e-07
252,8,8e-08
253,26,2.6e-07
254,19,1.9e-07
255,13,1.3e-07
256,19,1.9e-07
257,16,1.6e-07
258,18,1.8e-07
259,7,7e-08
260,14,1.4e-07
261,11,1.1e-07
262,17,1.7e-07
263,11,1.1e-07
264,14,1.4e-07
265,13,1.3e-07
266,24,2.4e-07
267,9,9e-08
268,16,1.6e-07
269,18,1.8e-07
270,11,1.1e-07
271,15,1.5e-07
272,11,1.1e-07
273,10,1e-07
274,16,1.6e-07
275,19,1.9e-07
276,8,8e-08
277,24,2.4e-07
278,19,1.9e-07
279,20,2e-07
280,15,1.5e-07
281,22,2.2e-07
282,19,1.9e-07
283,15,1.5e-07
284,19,1.9e-07
285,10,1e-07
286,19,1.9e-07
287,17,1.7e-07
288,13,1.3e-07
289,12,1.2e-07
290,10,1e-07
291,18,1.8e-07
292,17,1.7e-07
293,15,1.5e-07
294,10,1e-07
295,11,1.1e-07
296,14,1.4e-07
297,19,1.9e-07
298,14,1.4e-07
299,19,1.9e-07
300,16,1.6e-07
301,22,2.2e-07
302,16,1.6e-07
303,18,1.8e-07
304,13,1.3e-07
305,21,2.1e-07
306,14,1.4e-07
307,12,1.2e-07
308,21,2.1e-07
309,16,1.6e-07
310,21,2.1e-07
311,15,1.5e-07
312,12,1.2e-07
313,11,1.1e-07
314,14,1.4e-07
315,15,1.5e-07
316,13,1.3e-07
317,20,2e-07
318,16,1.6e-07
319,15,1.5e-07
320,17,1.7e-07
321,24,2.4e-07
322,23,2.3e-07
323,22,2.2e-07
324,15,1.5e-07
325,11,1.1e-07
326,9,9e-08
327,14,1.4e-07
328,10,1e-07
329,15,1.5e-07
330,13,1.3e-07
331,19,1.9e-07
332,22,2.2e-07
333,10,1e-07
334,14,1.4e-07
335,21,2.1e-07
336,15,1.5e-07
337,11,1.1e-07
338,16,1.6e-07
339,12,1.2e-07
340,12,1.2e-07
341,5,5e-08
342,16,1.6e-07
343,14,1.4e-07
344,13,1.3e-07
345,12,1.2e-07
346,8,8e-08
347,10,1e-07
348,12,1.2e-07
349,11,1.1e-07
350,12,1.2e-07
351,14,1.4e-07
352,15,1.5e-07
353,11,1.1e-07
354,14,1.4e-07
355,19,1.9e-07
356,12,1.2e-07
357,14,1.4e-07
358,14,1.4e-07
359,16,1.6e-07
360,15,1.5e-07
361,12,1.2e-07
362,13,1.3e-07
363,15,1.5e-07
364,11,1.1e-07
365,15,1.5e-07
366,18,1.8e-07
367,10,1e-07
368,15,1.5e-07
369,11,1.1e-07
370,11,1.1e-07
371,14,1.4e-07
372,11,1.1e-07
373,16,1.6e-07
374,14,1.4e-07
375,15,1.5e-07
376,8,8e-08
377,10,1e-07
378,11,1.1e-07
379,15,1.5e-07
380,13,1.3e-07
381,18,1.8e-07
382,14,1.4e-07
383,13,1.3e-07
384,12,1.2e-07
385,16,1.6e-07
386,8,8e-08
387,7,7e-08
388,16,1.6e-07
389,15,1.5e-07
390,15,1.5e-07
391,8,8e-08
392,12,1.2e-07
393,7,7e-08
394,18,1.8e-07
395,15,1.5e-07
396,15,1.5e-07
397,9,9e-08
398,8,8e-08
399,11,1.1e-07
400,14,1.4e-07
401,19,1.9e-07
402,10,1e-07
403,11,1.1e-07
404,5,5e-08
405,17,1.7e-07
406,9,9e-08
407,18,1.8e-07
408,9,9e-08
409,6,6e-08
410,15,1.5e-07
411,13,1.3e-07
412,15,1.5e-07
413,8,8e-08
414,11,1.1e-07
415,9,9e-08
416,6,6e-08
417,14,1.4e-07
418,7,7e-08
419,11,1.1e-07
420,16,1.6e-07
421,15,1.5e-07
422,15,1.5e-07
423,10,1e-07
424,12,1.2e-07
425,21,2.1e-07
426,18,1.8e-07
427,10,1e-07
428,7,7e-08
429,13,1.3e-07
430,10,1e-07
431,14,1.4e-07
432,15,1.5e-07
433,8,8e-08
434,6,6e-08
435,13,1.3e-07
436,13,1.3e-07
437,19,1.9e-07
438,6,6e-08
439,10,1e-07
440,12,1.2e-07
441,9,9e-08
442,19,1.9e-07
443,10,1e-07
444,12,1.2e-07
445,16,1.6e-07
446,13,1.3e-07
447,9,9e-08
448,12,1.2e-07
449,15,1.5e-07
450,9,9e-08
451,10,1e-07
452,12,1.2e-07
453,12,1.2e-07
454,10,1e-07
455,14,1.4e-07
456,8,8e-08
457,6,6e-08
458,10,1e-07
459,12,1.2e-07
460,10,1e-07
461,13,1.3e-07
462,15,1.5e-07
463,12,1.2e-07
464,16,1.6e-07
465,18,1.8e-07
466,19,1.9e-07
467,11,1.1e-07
468,12,1.2e-07
469,14,1.4e-07
470,6,6e-08
471,11,1.1e-07
472,13,1.3e-07
473,13,1.3e-07
474,8,8e-08
475,13,1.3e-07
476,9,9e-08
477,15,1.5e-07
478,12,1.2e-07
479,9,9e-08
480,12,1.2e-07
481,10,1e-07
482,14,1.4e-07
483,19,1.9e-07
484,7,7e-08
485,10,1e-07
486,10,1e-07
487,12,1.2e-07
488,11,1.1e-07
489,4,4e-08
490,12,1.2e-07
491,13,1.3e-07
492,13,1.3e-07
493,8,8e-08
494,7,7e-08
495,9,9e-08
496,10,1e-07
497,13,1.3e-07
498,10,1e-07
499,11,1.1e-07
500,9,9e-08
501,10,1e-07
502,13,1.3e-07
503,9,9e-08
504,17,1.7e-07
505,12,1.2e-07
506,19,1.9e-07
507,14,1.4e-07
508,11,1.1e-07
509,12,1.2e-07
510,82,8.2e-07
511,10,1e-07
512,7,7e-08
513,8,8e-08
514,4,4e-08
515,8,8e-08
516,7,7e-08
517,12,1.2e-07
518,15,1.5e-07
519,13,1.3e-07
520,9,9e-08
521,7,7e-08
522,9,9e-08
523,11,1.1e-07
524,6,6e-08
525,9,9e-08
526,13,1.3e-07
527,11,1.1e-07
528,9,9e-08
529,11,1.1e-07
530,12,1.2e-07
531,13,1.3e-07
532,9,9e-08
533,13,1.3e-07
534,11,1.1e-07
535,16,1.6e-07
536,10,1e-07
537,11,1.1e-07
538,10,1e-07
539,9,9e-08
540,19,1.9e-07
541,11,1.1e-07
542,6,6e-08
543,4,4e-08
544,7,7e-08
545,9,9e-08
546,10,1e-07
547,9,9e-08
548,8,8e-08
549,12,1.2e-07
550,9,9e-08
551,10,1e-07
552,5,5e-08
553,9,9e-08
554,10,1e-07
555,10,1e-07
556,11,1.1e-07
557,6,6e-08
558,11,1.1e-07
559,7,7e-08
560,7,7e-08
561,6,6e-08
562,7,7e-08
563,14,1.4e-07
564,8,8e-08
565,15,1.5e-07
566,11,1.1e-07
567,18,1.8e-07
568,7,7e-08
569,14,1.4e-07
570,11,1.1e-07
571,6,6e-08
572,11,1.1e-07
573,10,1e-07
574,10,1e-07
575,9,9e-08
576,11,1.1e-07
577,5,5e-08
578,11,1.1e-07
579,8,8e-08
580,10,1e-07
581,15,1.5e-07
582,10,1e-07
583,14,1.4e-07
584,9,9e-08
585,20,2e-07
586,12,1.2e-07
587,16,1.6e-07
588,5,5e-08
589,8,8e-08
590,11,1.1e-07
591,6,6e-08
592,20,2e-07
593,12,1.2e-07
594,14,1.4e-07
595,9,9e-08
596,6,6e-08
597,15,1.5e-07
598,10,1e-07
599,16,1.6e-07
600,11,1.1e-07
601,12,1.2e-07
602,8,8e-08
603,8,8e-08
604,10,1e-07
605,7,7e-08
606,12,1.2e-07
607,9,9e-08
608,7,7e-08
609,8,8e-08
610,8,8e-08
611,15,1.5e-07
612,8,8e-08
613,16,1.6e-07
614,9,9e-08
615,10,1e-07
616,11,1.1e-07
617,10,1e-07
618,10,1e-07
619,10,1e-07
620,8,8e-08
621,10,1e-07
622,7,7e-08
623,8,8e-08
624,9,9e-08
625,11,1.1e-07
626,8,8e-08
627,10,1e-07
628,11,1.1e-07
629,12,1.2e-07
630,11,1.1e-07
631,11,1.1e-07
632,13,1.3e-07
633,13,1.3e-07
634,13,1.3e-07
635,6,6e-08
636,9,9e-08
637,5,5e-08
638,7,7e-08
639,14,1.4e-07
640,10,1e-07
641,8,8e-08
642,8,8e-08
643,7,7e-08
644,8,8e-08
645,8,8e-08
646,15,1.5e-07
647,5,5e-08
648,8,8e-08
649,9,9e-08
650,15,1.5e-07
651,6,6e-08
652,13,1.3e-07
653,13,1.3e-07
654,12,1.2e-07
655,14,1.4e-07
656,8,8e-08
657,3,3e-08
658,8,8e-08
659,13,1.3e-07
660,7,7e-08
661,10,1e-07
662,6,6e-08
663,9,9e-08
664,11,1.1e-07
665,7,7e-08
666,5,5e-08
667,8,8e-08
668,9,9e-08
669,9,9e-08
670,5,5e-08
671,14,1.4e-07
672,12,1.2e-07
673,7,7e-08
674,8,8e-08
675,7,7e-08
676,11,1.1e-07
677,8,8e-08
678,9,9e-08
679,11,1.1e-07
680,11,1.1e-07
681,5,5e-08
682,10,1e-07
683,8,8e-08
684,9,9e-08
685,10,1e-07
686,7,7e-08
687,10,1e-07
688,13,1.3e-07
689,11,1.1e-07
690,9,9e-08
691,7,7e-08
692,9,9e-08
693,10,1e-07
694,12,1.2e-07
695,11,1.1e-07
696,12,1.2e-07
697,6,6e-08
698,5,5e-08
699,10,1e-07
700,6,6e-08
701,7,7e-08
702,5,5e-08
703,9,9e-08
704,12,1.2e-07
705,10,1e-07
706,6,6e-08
707,15,1.5e-07
708,8,8e-08
709,8,8e-08
710,15,1.5e-07
711,4,4e-08
712,12,1.2e-07
713,4,4e-08
714,6,6e-08
715,10,1e-07
716,7,7e-08
717,11,1.1e-07
718,7,7e-08
719,13,1.3e-07
720,8,8e-08
721,11,1.1e-07
722,8,8e-08
723,10,1e-07
724,6,6e-08
725,9,9e-08
726,7,7e-08
727,12,1.2e-07
728,9,9e-08
729,2,2e-08
730,7,7e-08
731,11,1.1e-07
732,8,8e-08
733,6,6e-08
734,4,4e-08
735,7,7e-08
736,7,7e-08
737,8,8e-08
738,7,7e-08
739,5,5e-08
740,6,6e-08
741,9,9e-08
742,7,7e-08
743,7,7e-08
744,3,3e-08
745,9,9e-08
746,6,6e-08
747,8,8e-08
748,8,8e-08
749,11,1.1e-07
750,13,1.3e-07
751,4,4e-08
752,11,1.1e-07
753,7,7e-08
754,13,1.3e-07
755,7,7e-08
756,9,9e-08
757,13,1.3e-07
758,10,1e-07
759,7,7e-08
760,6,6e-08
761,7,7e-08
762,7,7e-08
763,9,9e-08
764,10,1e-07
765,10,1e-07
766,11,1.1e-07
767,9,9e-08
768,14,1.4e-07
769,14,1.4e-07
770,7,7e-08
771,5,5e-08
772,14,1.4e-07
773,9,9e-08
774,12,1.2e-07
775,12,1.2e-07
776,6,6e-08
777,5,5e-08
778,10,1e-07
779,7,7e-08
780,7,7e-08
781,10,1e-07
782,8,8e-08
783,10,1e-07
784,8,8e-08
785,8,8e-08
786,5,5e-08
787,6,6e-08
788,9,9e-08
789,7,7e-08
790,11,1.1e-07
791,11,1.1e-07
792,8,8e-08
793,7,7e-08
794,9,9e-08
795,11,1.1e-07
796,11,1.1e-07
797,4,4e-08
798,11,1.1e-07
799,6,6e-08
800,10,1e-07
801,10,1e-07
802,9,9e-08
803,8,8e-08
804,5,5e-08
805,3,3e-08
806,10,1e-07
807,11,1.1e-07
808,6,6e-08
809,6,6e-08
810,11,1.1e-07
811,12,1.2e-07
812,15,1.5e-07
813,10,1e-07
814,7,7e-08
815,6,6e-08
816,6,6e-08
817,12,1.2e-07
818,5,5e-08
819,12,1.2e-07
820,6,6e-08
821,7,7e-08
822,9,9e-08
823,11,1.1e-07
824,7,7e-08
825,11,1.1e-07
826,9,9e-08
827,6,6e-08
828,4,4e-08
829,8,8e-08
830,14,1.4e-07
831,8,8e-08
832,2,2e-08
833,7,7e-08
834,10,1e-07
835,12,1.2e-07
836,5,5e-08
837,9,9e-08
838,4,4e-08
839,6,6e-08
840,4,4e-08
841,9,9e-08
842,10,1e-07
843,7,7e-08
844,6,6e-08
845,13,1.3e-07
846,4,4e-08
847,12,1.2e-07
848,5,5e-08
849,6,6e-08
850,8,8e-08
851,7,7e-08
852,6,6e-08
853,9,9e-08
854,8,8e-08
855,9,9e-08
856,8,8e-08
857,13,1.3e-07
858,7,7e-08
859,7,7e-08
860,5,5e-08
861,3,3e-08
862,8,8e-08
863,10,1e-07
864,3,3e-08
865,8,8e-08
866,9,9e-08
867,6,6e-08
868,10,1e-07
869,8,8e-08
870,3,3e-08
871,13,1.3e-07
872,12,1.2e-07
873,6,6e-08
874,5,5e-08
875,3,3e-08
876,7,7e-08
877,3,3e-08
878,4,4e-08
879,7,7e-08
880,8,8e-08
881,8,8e-08
882,6,6e-08
883,9,9e-08
884,9,9e-08
885,13,1.3e-07
886,9,9e-08
887,13,1.3e-07
888,12,1.2e-07
889,10,1e-07
890,8,8e-08
891,7,7e-08
892,6,6e-08
893,4,4e-08
894,7,7e-08
895,6,6e-08
896,8,8e-08
897,14,1.4e-07
898,7,7e-08
899,7,7e-08
900,14,1.4e-07
901,7,7e-08
902,11,1.1e-07
903,6,6e-08
904,10,1e-07
905,6,6e-08
906,4,4e-08
907,8,8e-08
908,9,9e-08
909,6,6e-08
910,5,5e-08
911,13,1.3e-07
912,11,1.1e-07
913,5,5e-08
914,7,7e-08
915,6,6e-08
916,8,8e-08
917,9,9e-08
918,17,1.7e-07
919,3,3e-08
920,9,9e-08
921,9,9e-08
922,9,9e-08
923,5,5e-08
924,9,9e-08
925,7,7e-08
926,5,5e-08
927,7,7e-08
928,13,1.3e-07
929,7,7e-08
930,6,6e-08
931,4,4e-08
932,6,6e-08
933,13,1.3e-07
934,4,4e-08
935,5,5e-08
936,7,7e-08
937,7,7e-08
938,8,8e-08
939,9,9e-08
940,9,9e-08
941,13,1.3e-07
942,6,6e-08
943,6,6e-08
944,10,1e-07
945,6,6e-08
946,8,8e-08
947,6,6e-08
948,6,6e-08
949,5,5e-08
950,13,1.3e-07
951,5,5e-08
952,5,5e-08
953,8,8e-08
954,7,7e-08
955,8,8e-08
956,5,5e-08
957,6,6e-08
958,5,5e-08
959,8,8e-08
960,5,5e-08
961,11,1.1e-07
962,13,1.3e-07
963,7,7e-08
964,8,8e-08
965,14,1.4e-07
966,11,1.1e-07
967,5,5e-08
968,10,1e-07
969,7,7e-08
970,5,5e-08
971,9,9e-08
972,4,4e-08
973,8,8e-08
974,9,9e-08
975,4,4e-08
976,7,7e-08
977,14,1.4e-07
978,3,3e-08
979,11,1.1e-07
980,5,5e-08
981,6,6e-08
982,4,4e-08
983,5,5e-08
984,5,5e-08
985,5,5e-08
986,10,1e-07
987,10,1e-07
988,7,7e-08
989,7,7e-08
990,11,1.1e-07
991,7,7e-08
992,8,8e-08
993,8,8e-08
994,6,6e-08
