metric,value
n_events,30000000
n_hits_in_crystal,341
eff_crystal_per_event,1.13667e-05
wall_emission_rate_photon_per_s,876857
predicted_crystal_count_rate_cps,9.96694
low_statistics_warning,0

bin_keV,counts
6,1
12,1
18,1
32,1
38,2
40,1
42,2
44,1
46,2
48,7
52,1
54,7
56,12
58,3
60,4
62,1
64,8
66,3
68,7
70,2
72,4
74,9
76,4
78,6
80,2
82,4
84,3
86,5
88,6
90,4
92,1
94,2
96,7
98,12
100,6
102,7
104,2
106,1
108,3
110,2
112,2
114,6
116,6
118,4
120,5
122,3
124,4
126,3
128,4
130,1
132,2
136,1
138,3
140,1
142,4
144,1
146,2
148,5
150,2
152,3
154,8
158,1
160,3
162,1
164,3
166,2
168,1
170,2
174,4
176,3
178,3
180,1
182,1
186,3
188,4
190,3
192,2
196,1
198,2
202,1
204,2
208,1
214,1
218,2
220,1
224,2
230,1
238,4
240,1
242,1
246,2
248,1
252,1
258,1
260,1
264,1
266,1
270,1
272,2
274,1
282,1
288,1
290,1
292,1
294,1
296,1
298,1
304,2
318,2
320,1
322,1
332,1
350,1
352,1
374,1
382,1
394,2
400,1
402,1
406,2
426,1
454,1
468,1
474,1
478,1
480,1
484,1
516,1
552,1
582,1
590,1
610,1
628,1
672,1
680,1
712,1
788,1
842,1
1118,1
1182,1
1354,1
