metric,value
n_events,5000000
n_hits_in_crystal,4221
n_hits_direct,1951
n_hits_pb_scat,1578
n_hits_pb_born,692
flux_total_cm2_s,0
surface_cm2,0
rate_per_s,0.0086625
t_run_s,577200577.2
cps_total,7.3128825e-06
shield,1
shield_pb_mm,50
shield_cavity_mm,150x150x385
stand_mm,25
device_z_mm,-133.75
screen_up,1

bin_keV,counts,cps,counts_direct,counts_pb_scat,counts_pb_born
0,8,1.386e-08,2,6,0
1,11,1.90575e-08,5,4,2
2,10,1.7325e-08,5,5,0
3,4,6.93e-09,1,3,0
4,11,1.90575e-08,5,5,1
5,10,1.7325e-08,3,5,2
6,9,1.55925e-08,4,5,0
7,11,1.90575e-08,8,2,1
8,15,2.59875e-08,4,8,3
9,12,2.079e-08,5,6,1
10,12,2.079e-08,6,4,2
11,10,1.7325e-08,5,4,1
12,19,3.29175e-08,8,7,4
13,15,2.59875e-08,10,2,3
14,11,1.90575e-08,7,4,0
15,13,2.25225e-08,6,6,1
16,4,6.93e-09,2,2,0
17,7,1.21275e-08,3,2,2
18,10,1.7325e-08,3,4,3
19,14,2.4255e-08,2,6,6
20,17,2.94525e-08,5,7,5
21,15,2.59875e-08,3,10,2
22,11,1.90575e-08,2,6,3
23,10,1.7325e-08,5,0,5
24,8,1.386e-08,1,3,4
25,7,1.21275e-08,1,5,1
26,9,1.55925e-08,2,4,3
27,9,1.55925e-08,4,2,3
28,12,2.079e-08,3,5,4
29,9,1.55925e-08,4,3,2
30,8,1.386e-08,1,7,0
31,11,1.90575e-08,2,4,5
32,11,1.90575e-08,3,4,4
33,8,1.386e-08,4,3,1
34,10,1.7325e-08,4,4,2
35,11,1.90575e-08,5,4,2
36,7,1.21275e-08,3,3,1
37,5,8.6625e-09,2,2,1
38,21,3.63825e-08,9,7,5
39,10,1.7325e-08,4,3,3
40,7,1.21275e-08,2,2,3
41,9,1.55925e-08,3,3,3
42,16,2.772e-08,4,3,9
43,9,1.55925e-08,2,1,6
44,27,4.67775e-08,5,6,16
45,9,1.55925e-08,2,4,3
46,18,3.1185e-08,4,4,10
47,7,1.21275e-08,2,3,2
48,14,2.4255e-08,4,3,7
49,9,1.55925e-08,2,4,3
50,8,1.386e-08,3,4,1
51,12,2.079e-08,2,2,8
52,8,1.386e-08,2,3,3
53,13,2.25225e-08,2,5,6
54,15,2.59875e-08,5,5,5
55,10,1.7325e-08,2,4,4
56,10,1.7325e-08,3,1,6
57,13,2.25225e-08,4,4,5
58,12,2.079e-08,4,1,7
59,11,1.90575e-08,5,1,5
60,13,2.25225e-08,4,5,4
61,11,1.90575e-08,7,2,2
62,11,1.90575e-08,1,4,6
63,12,2.079e-08,2,5,5
64,10,1.7325e-08,1,4,5
65,11,1.90575e-08,5,3,3
66,2,3.465e-09,0,1,1
67,11,1.90575e-08,3,3,5
68,9,1.55925e-08,2,2,5
69,17,2.94525e-08,4,6,7
70,7,1.21275e-08,2,3,2
71,7,1.21275e-08,0,2,5
72,13,2.25225e-08,4,3,6
73,61,1.056825e-07,5,2,54
74,7,1.21275e-08,3,2,2
75,96,1.6632e-07,3,8,85
76,11,1.90575e-08,6,1,4
77,36,6.237e-08,28,4,4
78,9,1.55925e-08,1,2,6
79,43,7.44975e-08,37,3,3
80,7,1.21275e-08,2,2,3
81,5,8.6625e-09,2,3,0
82,10,1.7325e-08,2,2,6
83,11,1.90575e-08,3,2,6
84,15,2.59875e-08,1,2,12
85,39,6.75675e-08,2,3,34
86,11,1.90575e-08,2,4,5
87,28,4.851e-08,5,4,19
88,11,1.90575e-08,3,4,4
89,10,1.7325e-08,6,3,1
90,18,3.1185e-08,12,4,2
91,12,2.079e-08,6,4,2
92,10,1.7325e-08,6,3,1
93,5,8.6625e-09,3,1,1
