# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 424.9931
# N_primaries = 30000000
# N_with_signal = 160402
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,1,0,79,1,3,0,0,0,0,8,0
1.5,1,0,144,0,3,0,0,0,0,6,0
2.5,1,0,128,0,8,0,0,0,0,6,0
3.5,1,1,135,2,5,0,0,0,0,7,0
4.5,3,0,129,2,11,0,0,0,0,9,0
5.5,9,0,158,2,26,0,0,0,0,12,0
6.5,8,0,153,1,28,0,0,0,0,5,0
7.5,12,0,136,1,38,0,0,0,0,9,0
8.5,7,1,144,4,50,0,0,0,0,6,0
9.5,5,0,145,2,46,0,0,0,0,2,0
10.5,6,0,145,5,51,0,0,0,0,11,0
11.5,6,0,154,6,61,0,0,0,0,25,0
12.5,4,0,154,2,50,0,0,0,0,7,0
13.5,10,0,134,1,57,0,0,0,0,13,0
14.5,14,0,142,2,60,0,0,0,0,5,0
15.5,5,0,130,4,76,0,0,0,0,4,0
16.5,5,0,135,4,75,0,0,0,0,1,0
17.5,9,0,147,8,83,0,0,0,0,2,0
18.5,9,0,146,3,111,0,0,0,0,0,0
19.5,4,0,130,7,106,0,0,0,0,6,0
20.5,4,0,143,2,111,1,0,0,0,6,0
21.5,5,0,135,1,101,0,0,0,0,5,0
22.5,4,0,114,0,103,0,0,0,0,5,0
23.5,5,0,147,4,104,1,0,0,0,6,0
24.5,8,0,124,3,124,0,0,0,0,8,0
25.5,14,0,119,3,135,1,0,0,0,5,0
26.5,12,0,129,4,117,0,0,0,0,3,0
27.5,14,0,90,5,120,0,0,0,0,1,0
28.5,8,0,127,2,122,0,0,0,0,2,0
29.5,10,0,126,2,142,0,0,0,0,3,0
30.5,16,0,118,2,144,0,0,0,0,2,0
31.5,25,1,109,3,116,0,0,0,0,6,0
32.5,16,0,125,5,136,0,0,0,0,1,0
33.5,19,0,106,6,129,0,0,0,0,3,0
34.5,18,0,113,6,140,0,0,0,0,5,0
35.5,43,0,112,8,128,1,0,0,0,1,0
36.5,48,0,128,4,150,0,0,0,0,5,0
37.5,63,0,84,7,132,1,0,0,0,2,0
38.5,98,0,100,6,145,1,0,0,0,3,0
39.5,103,0,116,4,125,0,0,0,0,1,0
40.5,127,1,102,4,127,0,0,0,0,1,0
41.5,139,1,89,4,155,0,0,0,0,5,0
42.5,144,0,92,2,109,0,0,0,0,2,0
43.5,184,1,106,7,161,0,0,0,0,2,0
44.5,199,0,101,3,125,1,0,0,0,2,0
45.5,199,2,87,6,147,0,0,0,0,2,0
46.5,237,1,93,4,137,0,0,0,0,3,0
47.5,292,5,90,2,132,0,0,0,0,1,0
48.5,325,1,95,4,149,1,0,0,0,5,0
49.5,333,2,93,4,132,0,0,0,0,3,0
50.5,381,2,85,6,138,0,0,0,0,6,0
51.5,434,2,87,7,114,0,0,0,0,1,0
52.5,433,7,83,4,113,1,0,0,0,5,0
53.5,486,6,74,3,130,0,0,0,0,1,0
54.5,513,5,71,6,131,1,0,0,0,2,0
55.5,568,4,102,6,115,0,0,0,0,2,0
56.5,575,9,98,4,136,0,0,0,0,4,0
57.5,580,9,85,7,126,1,0,0,0,2,0
58.5,637,7,73,10,110,0,0,0,0,2,0
59.5,624,8,91,8,115,1,0,0,0,2,0
60.5,645,11,85,6,102,0,0,0,0,0,0
61.5,708,10,87,5,98,1,0,0,0,3,0
62.5,700,6,85,3,108,1,0,0,0,1,0
63.5,701,14,63,6,105,0,0,0,0,3,0
64.5,761,8,74,3,107,1,0,0,0,0,0
65.5,756,11,67,4,91,1,0,0,0,4,0
66.5,835,17,73,8,95,1,0,0,0,3,0
67.5,894,18,97,5,95,1,0,0,0,2,0
68.5,819,12,84,4,92,0,0,0,0,3,0
69.5,899,13,63,5,77,0,0,0,0,5,0
70.5,848,23,70,7,88,0,0,0,0,2,0
71.5,963,21,66,6,84,0,0,0,0,1,0
72.5,950,18,68,3,101,0,0,0,0,2,0
73.5,908,16,68,9,88,3,0,0,0,2,0
