# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 373.3727
# N_primaries = 30000000
# N_with_signal = 162576
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,87,0,3,0,0,0,0,9,0
1.5,1,0,135,0,4,0,0,0,0,9,0
2.5,2,0,137,0,10,0,0,0,0,7,0
3.5,1,0,127,2,3,0,0,0,0,8,0
4.5,3,1,124,1,9,0,0,0,0,8,0
5.5,6,0,164,1,33,0,0,0,0,5,0
6.5,6,0,159,2,33,0,0,0,0,8,0
7.5,6,0,151,2,46,0,0,0,0,11,0
8.5,9,0,154,4,41,0,0,0,0,7,0
9.5,11,0,150,1,38,0,0,0,0,8,0
10.5,6,0,152,2,43,0,0,0,0,4,0
11.5,10,0,153,5,42,0,0,0,0,35,0
12.5,7,0,141,6,49,0,0,0,0,9,0
13.5,6,0,136,3,68,0,0,0,0,14,0
14.5,9,0,150,2,68,0,0,0,0,2,0
15.5,7,0,129,3,73,0,0,0,0,4,0
16.5,13,0,146,2,84,0,0,0,0,1,0
17.5,9,0,139,5,82,0,0,0,0,2,0
18.5,9,0,148,6,110,1,0,0,0,3,0
19.5,5,0,152,3,104,0,0,0,0,1,0
20.5,2,0,119,5,106,0,0,0,0,6,0
21.5,4,0,136,3,114,0,0,0,0,4,0
22.5,8,0,121,1,103,0,0,0,0,3,0
23.5,8,0,137,3,137,0,0,0,0,3,0
24.5,10,0,126,4,134,0,0,0,0,9,0
25.5,16,0,142,4,131,1,0,0,0,1,0
26.5,14,0,149,5,145,0,0,0,0,3,0
27.5,23,0,121,3,136,0,0,0,0,3,0
28.5,16,0,136,4,143,0,0,0,0,6,0
29.5,14,0,123,4,154,0,0,0,0,2,0
30.5,28,0,116,5,161,0,0,0,0,0,0
31.5,23,2,132,3,131,0,0,0,0,1,0
32.5,22,0,121,4,163,0,0,0,0,1,0
33.5,39,0,123,2,157,0,0,0,0,5,0
34.5,32,1,110,5,144,0,0,0,0,6,0
35.5,41,0,126,7,156,0,0,1,0,2,0
36.5,64,0,115,2,163,0,0,0,0,4,0
37.5,56,0,103,6,155,1,0,0,0,6,0
38.5,100,0,96,4,164,1,0,0,0,5,0
39.5,90,0,106,4,163,1,0,0,0,2,0
40.5,120,1,105,3,152,1,0,0,0,6,0
41.5,142,0,101,9,137,0,0,0,0,6,0
42.5,159,0,103,3,140,0,0,0,0,0,0
43.5,157,0,96,6,144,0,0,0,0,1,0
44.5,190,0,84,5,140,1,0,0,0,3,0
45.5,186,1,121,7,124,0,0,0,0,4,0
46.5,228,1,83,6,135,1,0,0,0,3,0
47.5,277,3,95,3,144,0,0,0,0,2,0
48.5,314,2,94,6,119,0,0,0,0,4,0
49.5,329,2,83,4,109,0,0,0,0,3,0
50.5,389,3,86,7,135,0,0,0,0,2,0
51.5,409,2,86,4,124,0,0,0,0,0,0
52.5,460,8,96,6,128,1,0,0,0,0,0
53.5,470,4,90,3,131,2,0,0,0,0,0
54.5,532,8,97,12,115,0,0,0,0,3,0
55.5,570,4,79,4,141,0,0,0,0,3,0
56.5,594,9,97,3,134,0,0,0,0,1,0
57.5,616,3,96,5,111,0,0,0,0,0,0
58.5,709,5,104,6,128,0,0,0,0,4,0
59.5,720,12,83,5,121,0,0,0,0,0,0
60.5,764,13,84,7,108,0,0,0,0,2,0
61.5,782,12,86,3,86,1,0,0,0,2,0
62.5,845,10,82,7,108,0,0,0,0,1,0
63.5,910,17,94,6,85,1,0,0,0,3,0
64.5,919,8,83,5,98,2,0,0,0,1,0
65.5,929,15,71,1,85,0,0,0,0,4,0
66.5,968,22,72,6,77,1,0,0,0,1,0
67.5,947,23,72,3,77,1,0,0,0,3,0
68.5,930,9,82,4,90,1,0,0,0,2,0
69.5,950,14,73,4,76,0,0,0,0,2,0
70.5,969,21,86,6,81,0,0,0,0,5,0
71.5,912,23,75,2,84,2,0,0,0,1,0
72.5,923,15,82,7,73,1,0,0,0,3,0
73.5,925,24,80,8,84,1,0,0,0,1,0
74.5,912,20,64,3,79,2,0,0,0,2,0
75.5,913,25,77,6,66,0,0,0,0,0,0
76.5,965,29,64,4,76,0,0,0,0,2,0
77.5,952,15,62,8,66,2,0,0,0,4,0
78.5,994,26,66,2,72,3,0,0,0,1,0
79.5,933,20,88,9,75,1,0,0,0,1,0
80.5,1002,31,66,7,62,1,0,0,0,2,0
81.5,1029,32,61,2,59,3,0,0,0,0,0
82.5,1015,37,66,4,42,0,0,0,0,5,0
83.5,1088,30,62,8,68,1,0,0,0,4,0
84.5,1075,31,63,3,62,2,0,0,0,3,0
85.5,1041,30,67,3,55,0,0,0,0,2,0
86.5,1036,46,70,7,55,0,0,0,0,2,0
87.5,1034,35,61,3,54,1,0,0,0,2,0
88.5,1058,36,64,5,59,1,0,0,0,1,0
89.5,1013,32,64,4,54,0,0,0,0,3,0
90.5,998,39,59,5,61,0,0,0,0,1,0
91.5,1028,48,62,6,52,3,0,0,0,1,0
92.5,1049,50,56,6,55,1,0,0,0,1,0
93.5,982,42,63,7,52,0,0,0,0,2,0
94.5,943,35,57,3,38,0,0,0,0,0,0
95.5,926,34,68,6,35,1,0,0,0,1,0
96.5,965,51,52,4,46,3,0,0,0,0,0
97.5,963,34,56,3,36,1,0,0,0,2,0
98.5,986,44,55,6,31,0,0,0,0,2,0
99.5,958,52,64,7,48,0,0,0,0,1,0
100.5,948,46,61,8,46,0,0,0,0,3,0
101.5,874,39,59,8,34,0,0,0,0,3,0
102.5,952,61,56,5,44,1,0,0,0,0,0
103.5,945,48,56,5,23,1,0,0,0,1,0
104.5,889,55,53,4,32,1,0,0,0,2,0
105.5,885,47,61,7,33,0,0,0,0,0,0
106.5,932,56,45,7,31,1,0,0,0,1,0
107.5,885,56,65,4,24,1,0,0,0,1,0
108.5,890,61,42,4,30,1,0,0,0,1,0
109.5,888,58,58,6,30,0,0,0,0,1,0
110.5,879,57,48,6,37,1,0,0,0,4,0
111.5,844,51,50,6,33,1,0,0,0,2,0
112.5,883,67,65,6,30,1,0,0,0,3,0
113.5,830,59,47,4,16,0,0,0,0,1,0
114.5,859,57,47,5,23,1,0,0,0,1,0
115.5,798,53,56,3,28,1,0,0,0,1,0
116.5,815,62,52,6,26,1,0,0,0,1,0
117.5,732,60,50,4,17,2,0,0,0,2,0
118.5,784,77,51,4,29,0,0,0,0,2,0
119.5,729,55,55,4,22,0,0,0,0,1,0
120.5,793,68,62,7,29,0,0,0,0,0,0
121.5,718,59,48,7,17,0,0,0,0,2,0
122.5,705,60,56,7,25,1,0,0,0,3,0
123.5,744,57,44,4,24,0,0,0,0,1,0
124.5,697,59,49,7,20,1,0,0,0,2,0
125.5,687,56,39,6,27,1,0,0,0,1,0
126.5,651,61,46,5,13,0,0,0,0,2,0
127.5,647,68,45,3,23,0,0,0,0,5,0
128.5,644,66,41,6,18,0,0,0,0,4,0
129.5,621,68,51,4,22,1,0,0,0,0,0
130.5,609,59,42,6,14,0,0,0,0,3,0
131.5,609,63,41,7,16,0,0,0,0,1,0
132.5,597,47,44,3,10,2,0,0,0,1,0
133.5,639,57,54,2,13,0,0,0,0,0,0
134.5,535,63,43,4,16,1,0,0,0,0,0
135.5,592,63,43,4,18,0,0,0,0,3,0
136.5,571,49,32,5,26,0,0,0,0,3,0
137.5,571,59,39,3,9,0,0,0,0,1,0
138.5,534,57,39,6,19,0,0,0,0,2,0
139.5,574,58,42,6,12,1,0,0,0,2,0
140.5,492,58,39,5,10,1,0,0,0,1,0
141.5,534,56,31,4,15,0,0,0,0,2,0
142.5,519,66,35,2,13,0,0,0,0,0,0
143.5,551,60,44,4,18,0,0,0,0,4,0
144.5,534,68,28,4,18,0,0,0,0,1,0
145.5,502,48,50,4,16,0,0,0,0,2,0
146.5,525,55,39,5,8,0,0,0,0,2,0
