# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 745.3367
# N_primaries = 30000000
# N_with_signal = 139500
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,73
1.5,124
2.5,132
3.5,118
4.5,123
5.5,169
6.5,178
7.5,179
8.5,190
9.5,171
10.5,190
11.5,214
12.5,210
13.5,168
14.5,186
15.5,194
16.5,188
17.5,207
18.5,209
19.5,206
20.5,214
21.5,232
22.5,205
23.5,222
24.5,233
25.5,239
26.5,235
27.5,220
28.5,225
29.5,231
30.5,241
31.5,221
32.5,234
33.5,241
34.5,237
35.5,258
36.5,257
37.5,270
38.5,334
39.5,270
40.5,279
41.5,322
42.5,334
43.5,346
44.5,365
45.5,356
46.5,413
47.5,437
48.5,487
49.5,539
50.5,512
51.5,581
52.5,647
53.5,643
54.5,709
55.5,642
56.5,726
57.5,704
58.5,746
59.5,766
60.5,791
61.5,876
62.5,815
63.5,873
64.5,895
65.5,880
66.5,914
67.5,914
68.5,889
69.5,956
70.5,886
71.5,933
72.5,993
73.5,928
74.5,903
75.5,959
76.5,980
77.5,941
78.5,952
79.5,977
80.5,999
81.5,1029
82.5,1019
83.5,1016
84.5,1027
85.5,1008
86.5,1056
87.5,1042
88.5,1047
89.5,971
90.5,1021
91.5,972
92.5,961
93.5,1028
94.5,1027
95.5,1000
96.5,977
97.5,980
98.5,908
99.5,861
100.5,863
101.5,947
102.5,871
103.5,869
104.5,851
105.5,829
106.5,882
107.5,862
108.5,766
109.5,868
110.5,815
111.5,730
112.5,791
113.5,799
114.5,705
115.5,729
116.5,726
117.5,717
118.5,732
119.5,698
120.5,747
121.5,679
122.5,691
123.5,618
124.5,641
125.5,624
126.5,657
127.5,619
128.5,676
129.5,651
130.5,616
131.5,613
132.5,626
133.5,665
134.5,636
135.5,660
136.5,598
137.5,636
138.5,615
139.5,578
140.5,581
141.5,575
142.5,567
143.5,526
144.5,478
145.5,520
146.5,499
147.5,519
148.5,479
149.5,485
150.5,477
151.5,500
152.5,495
153.5,476
154.5,476
155.5,431
156.5,443
157.5,475
158.5,413
159.5,391
160.5,444
161.5,423
162.5,384
163.5,372
164.5,394
165.5,375
166.5,373
167.5,336
168.5,369
169.5,343
170.5,369
171.5,340
172.5,362
173.5,306
174.5,347
175.5,289
176.5,357
177.5,320
178.5,333
179.5,337
180.5,314
181.5,355
182.5,307
183.5,324
184.5,301
185.5,296
186.5,328
187.5,306
188.5,333
189.5,251
190.5,301
191.5,278
192.5,260
193.5,248
194.5,289
195.5,238
196.5,258
197.5,232
198.5,240
199.5,219
200.5,223
201.5,222
202.5,223
203.5,220
204.5,181
205.5,186
206.5,187
207.5,210
208.5,183
209.5,206
210.5,192
211.5,177
212.5,188
213.5,169
214.5,172
215.5,211
216.5,199
217.5,206
218.5,197
219.5,181
220.5,186
221.5,192
222.5,192
223.5,184
224.5,194
225.5,172
226.5,176
227.5,172
228.5,178
229.5,157
230.5,157
231.5,157
232.5,162
233.5,147
234.5,136
235.5,128
236.5,118
237.5,141
238.5,127
239.5,138
240.5,135
241.5,131
242.5,146
243.5,133
244.5,138
245.5,128
246.5,116
247.5,125
248.5,123
249.5,125
250.5,107
251.5,112
252.5,108
253.5,120
254.5,123
255.5,101
256.5,102
257.5,108
258.5,105
259.5,118
260.5,82
261.5,108
262.5,105
263.5,106
264.5,113
265.5,104
266.5,99
267.5,89
268.5,108
269.5,101
270.5,94
271.5,107
272.5,116
273.5,82
274.5,101
275.5,95
276.5,87
277.5,84
278.5,88
279.5,100
280.5,94
281.5,87
282.5,96
283.5,95
284.5,80
285.5,85
286.5,102
287.5,80
288.5,75
289.5,80
290.5,85
291.5,75
292.5,90
293.5,86
294.5,70
295.5,74
296.5,70
297.5,84
298.5,83
299.5,78
300.5,75
301.5,75
302.5,68
303.5,75
304.5,68
305.5,76
306.5,75
307.5,68
308.5,64
309.5,67
310.5,78
311.5,76
312.5,82
313.5,47
314.5,75
315.5,70
316.5,56
317.5,61
318.5,69
319.5,49
320.5,58
321.5,61
322.5,76
323.5,57
324.5,57
325.5,60
326.5,55
327.5,58
328.5,53
329.5,44
330.5,55
331.5,57
332.5,50
333.5,63
334.5,50
335.5,58
336.5,47
337.5,48
338.5,49
339.5,39
340.5,51
341.5,53
342.5,58
343.5,56
344.5,49
345.5,61
346.5,51
347.5,52
348.5,43
349.5,37
350.5,57
351.5,45
352.5,45
353.5,45
354.5,52
355.5,42
356.5,45
357.5,37
358.5,50
359.5,49
360.5,43
361.5,54
362.5,38
363.5,46
364.5,47
365.5,49
366.5,47
367.5,28
368.5,45
369.5,46
370.5,40
371.5,45
372.5,36
373.5,38
374.5,42
375.5,53
376.5,45
377.5,43
378.5,40
379.5,41
380.5,27
381.5,49
382.5,34
383.5,48
384.5,35
385.5,46
386.5,33
387.5,37
388.5,35
389.5,42
390.5,37
391.5,30
392.5,32
393.5,40
394.5,33
395.5,42
396.5,29
397.5,32
398.5,44
399.5,37
400.5,25
401.5,34
402.5,31
403.5,39
404.5,28
405.5,32
406.5,40
407.5,40
408.5,34
409.5,22
410.5,45
411.5,34
412.5,35
413.5,32
414.5,30
415.5,36
416.5,38
417.5,34
418.5,43
419.5,29
420.5,32
421.5,29
422.5,38
423.5,24
424.5,35
425.5,16
426.5,28
427.5,20
428.5,21
429.5,29
430.5,22
431.5,23
432.5,19
433.5,24
434.5,22
435.5,27
436.5,20
437.5,24
438.5,17
439.5,32
440.5,27
441.5,13
442.5,25
443.5,29
444.5,16
445.5,19
446.5,15
447.5,27
448.5,22
449.5,31
450.5,23
451.5,21
452.5,22
453.5,29
454.5,32
455.5,21
456.5,14
457.5,15
458.5,20
459.5,26
460.5,16
461.5,25
462.5,30
463.5,15
464.5,24
465.5,18
466.5,20
467.5,21
468.5,16
469.5,30
470.5,20
471.5,17
472.5,23
473.5,26
474.5,24
475.5,11
476.5,20
477.5,20
478.5,15
479.5,25
480.5,13
481.5,16
482.5,23
483.5,30
484.5,27
485.5,21
486.5,18
487.5,28
488.5,19
489.5,21
490.5,23
491.5,16
492.5,25
493.5,20
494.5,14
495.5,15
496.5,11
497.5,14
498.5,10
499.5,20
500.5,17
501.5,14
502.5,24
503.5,12
504.5,17
505.5,24
506.5,23
507.5,24
508.5,25
509.5,17
510.5,22
511.5,18
512.5,12
513.5,23
514.5,13
515.5,27
516.5,14
517.5,19
518.5,19
519.5,20
520.5,15
521.5,19
522.5,19
523.5,26
524.5,21
525.5,18
526.5,16
527.5,23
528.5,18
529.5,11
530.5,18
531.5,19
532.5,15
533.5,15
534.5,14
535.5,9
536.5,11
537.5,16
538.5,11
539.5,8
540.5,16
541.5,8
542.5,20
543.5,12
544.5,16
545.5,21
546.5,16
547.5,11
548.5,9
549.5,18
550.5,16
551.5,20
552.5,13
553.5,23
554.5,16
555.5,17
556.5,12
557.5,18
558.5,26
559.5,15
560.5,18
561.5,14
562.5,14
563.5,15
564.5,13
565.5,19
566.5,20
567.5,12
568.5,28
569.5,18
570.5,14
571.5,24
572.5,18
573.5,23
574.5,21
575.5,15
576.5,15
577.5,20
578.5,10
579.5,14
580.5,26
581.5,19
582.5,16
583.5,13
584.5,13
585.5,10
586.5,8
587.5,15
588.5,16
589.5,7
590.5,16
591.5,14
592.5,15
593.5,13
594.5,16
595.5,15
596.5,29
597.5,29
598.5,40
599.5,49
600.5,67
601.5,68
602.5,52
603.5,94
604.5,86
605.5,103
606.5,69
607.5,69
608.5,57
609.5,77
610.5,48
611.5,30
612.5,31
613.5,20
614.5,13
615.5,7
616.5,13
617.5,10
618.5,11
619.5,13
620.5,10
621.5,5
622.5,6
623.5,9
624.5,12
625.5,9
626.5,7
627.5,4
628.5,11
629.5,14
630.5,15
631.5,8
632.5,7
633.5,12
634.5,7
635.5,14
636.5,12
637.5,17
638.5,8
639.5,6
640.5,12
641.5,9
642.5,4
643.5,7
644.5,8
645.5,8
646.5,11
647.5,6
648.5,14
649.5,6
650.5,15
651.5,10
652.5,6
653.5,11
654.5,4
655.5,16
656.5,8
657.5,7
658.5,11
659.5,7
660.5,9
661.5,14
662.5,10
663.5,12
664.5,9
665.5,8
666.5,12
667.5,12
668.5,5
669.5,14
670.5,12
671.5,9
672.5,10
673.5,9
674.5,6
675.5,9
676.5,13
677.5,10
678.5,10
679.5,8
680.5,6
681.5,10
682.5,11
683.5,6
684.5,9
685.5,8
686.5,6
687.5,8
688.5,12
689.5,11
690.5,8
691.5,8
692.5,6
693.5,7
694.5,11
695.5,4
696.5,5
697.5,7
698.5,5
699.5,8
700.5,14
701.5,9
702.5,9
703.5,12
704.5,8
705.5,7
706.5,9
707.5,8
708.5,12
709.5,9
710.5,9
711.5,8
712.5,12
713.5,5
714.5,7
715.5,7
716.5,6
717.5,13
718.5,10
719.5,6
720.5,6
721.5,17
722.5,4
723.5,6
724.5,8
725.5,6
726.5,16
727.5,9
728.5,5
729.5,7
730.5,9
731.5,10
732.5,12
733.5,14
734.5,10
735.5,16
736.5,8
737.5,11
738.5,8
739.5,7
740.5,5
741.5,11
742.5,11
743.5,18
744.5,8
745.5,10
746.5,11
747.5,12
748.5,13
749.5,5
750.5,12
751.5,8
752.5,7
753.5,10
754.5,9
755.5,11
756.5,7
757.5,9
758.5,13
759.5,11
760.5,14
761.5,13
762.5,23
763.5,11
764.5,23
765.5,11
766.5,16
767.5,18
768.5,12
769.5,6
770.5,7
771.5,12
772.5,8
773.5,12
774.5,10
775.5,7
776.5,7
777.5,8
778.5,4
779.5,5
780.5,6
781.5,4
782.5,8
783.5,3
784.5,7
785.5,8
786.5,5
787.5,9
788.5,7
789.5,6
790.5,6
791.5,5
792.5,5
793.5,8
794.5,6
795.5,5
796.5,3
797.5,8
798.5,9
799.5,5
800.5,6
801.5,6
802.5,9
803.5,7
804.5,5
805.5,10
806.5,8
807.5,5
808.5,9
809.5,5
810.5,9
811.5,15
812.5,10
813.5,9
814.5,7
815.5,5
816.5,3
817.5,12
818.5,11
819.5,6
820.5,8
821.5,8
822.5,9
823.5,11
824.5,4
825.5,9
826.5,8
827.5,8
828.5,14
829.5,6
830.5,6
831.5,11
832.5,9
833.5,11
834.5,11
835.5,4
836.5,12
837.5,9
838.5,9
839.5,11
840.5,10
841.5,7
842.5,5
843.5,7
844.5,8
845.5,7
846.5,6
847.5,5
848.5,5
849.5,4
850.5,5
851.5,6
852.5,7
853.5,6
854.5,6
855.5,3
856.5,5
857.5,9
858.5,9
859.5,11
860.5,7
861.5,4
862.5,11
863.5,6
864.5,4
865.5,8
866.5,9
867.5,7
868.5,4
869.5,2
870.5,7
871.5,3
872.5,5
873.5,8
874.5,10
875.5,8
876.5,7
877.5,11
878.5,4
879.5,5
880.5,5
881.5,1
882.5,7
883.5,6
884.5,7
885.5,4
886.5,4
887.5,4
888.5,11
889.5,10
890.5,6
891.5,11
892.5,6
893.5,8
894.5,7
895.5,7
896.5,8
897.5,10
898.5,12
899.5,3
900.5,4
901.5,6
902.5,8
903.5,6
904.5,15
905.5,4
906.5,11
907.5,6
908.5,8
909.5,10
910.5,5
911.5,9
912.5,10
913.5,8
914.5,4
915.5,5
916.5,8
917.5,7
