# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 480.7444
# N_primaries = 30000000
# N_with_signal = 159065
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,92
1.5,141
2.5,147
3.5,148
4.5,141
5.5,187
6.5,204
7.5,189
8.5,193
9.5,190
10.5,176
11.5,197
12.5,191
13.5,204
14.5,212
15.5,195
16.5,204
17.5,217
18.5,245
19.5,244
20.5,223
21.5,289
22.5,238
23.5,254
24.5,290
25.5,245
26.5,272
27.5,256
28.5,282
29.5,290
30.5,282
31.5,230
32.5,279
33.5,291
34.5,277
35.5,311
36.5,290
37.5,280
38.5,352
39.5,293
40.5,323
41.5,339
42.5,343
43.5,399
44.5,359
45.5,367
46.5,453
47.5,499
48.5,478
49.5,528
50.5,622
51.5,664
52.5,679
53.5,684
54.5,752
55.5,827
56.5,866
57.5,880
58.5,856
59.5,887
60.5,868
61.5,970
62.5,981
63.5,938
64.5,967
65.5,1020
66.5,1083
67.5,1069
68.5,1082
69.5,1101
70.5,1091
71.5,1119
72.5,1153
73.5,1161
74.5,1128
75.5,1176
76.5,1191
77.5,1133
78.5,1235
79.5,1247
80.5,1220
81.5,1218
82.5,1173
83.5,1266
84.5,1189
85.5,1229
86.5,1269
87.5,1222
88.5,1146
89.5,1157
90.5,1218
91.5,1177
92.5,1163
93.5,1103
94.5,1069
95.5,1073
96.5,1054
97.5,1036
98.5,1092
99.5,1067
100.5,990
101.5,995
102.5,1065
103.5,1036
104.5,978
105.5,1006
106.5,988
107.5,1081
108.5,991
109.5,1030
110.5,1001
111.5,943
112.5,1061
113.5,1022
114.5,1022
115.5,1005
116.5,976
117.5,984
118.5,914
119.5,875
120.5,855
121.5,876
122.5,867
123.5,784
124.5,770
125.5,715
126.5,720
127.5,730
128.5,719
129.5,708
130.5,720
131.5,689
132.5,700
133.5,751
134.5,703
135.5,671
136.5,649
137.5,656
138.5,638
139.5,603
140.5,615
141.5,605
142.5,622
143.5,636
144.5,571
145.5,566
146.5,602
147.5,555
148.5,538
149.5,518
150.5,530
151.5,558
152.5,580
