# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 480.7444
# N_primaries = 30000000
# N_with_signal = 159065
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,1,0,85,0,2,0,0,0,0,4,0
1.5,1,0,124,0,5,0,0,0,0,11,0
2.5,2,0,128,1,7,0,0,0,0,9,0
3.5,1,0,131,0,7,0,0,0,0,9,0
4.5,4,0,126,1,7,0,0,0,0,3,0
5.5,8,0,145,2,26,0,0,0,0,6,0
6.5,8,0,166,1,23,0,0,0,0,6,0
7.5,9,0,140,1,28,0,0,0,0,11,0
8.5,7,0,144,5,32,0,0,0,0,5,0
9.5,9,0,139,0,34,0,0,0,0,8,0
10.5,2,0,132,3,34,0,0,0,0,5,0
11.5,6,0,114,3,40,0,0,0,0,34,0
12.5,6,0,138,2,38,0,0,0,0,7,0
13.5,3,0,153,2,35,0,0,0,0,11,0
14.5,11,0,144,2,51,0,0,0,0,4,0
15.5,9,0,133,3,42,1,0,0,0,7,0
16.5,6,0,132,3,58,0,0,0,0,5,0
17.5,14,0,127,2,71,0,0,0,0,3,0
18.5,9,0,144,7,83,0,0,0,0,2,0
19.5,8,0,151,3,77,0,0,0,0,5,0
20.5,8,0,120,2,91,0,0,0,0,2,0
21.5,13,0,145,6,120,0,0,0,0,5,0
22.5,10,0,115,0,111,0,0,0,0,2,0
23.5,7,0,121,2,119,0,0,0,0,5,0
24.5,15,0,136,1,128,0,0,0,0,10,0
25.5,14,0,102,2,122,1,0,0,0,4,0
26.5,14,0,121,1,132,0,0,0,0,4,0
27.5,7,0,103,10,134,0,0,0,0,2,0
28.5,6,0,125,2,145,0,0,0,0,4,0
29.5,13,0,117,2,157,0,0,0,0,1,0
30.5,12,0,122,7,136,0,0,0,0,5,0
31.5,12,0,105,4,106,0,0,0,0,3,0
32.5,12,0,104,6,150,0,0,0,0,7,0
33.5,19,0,118,4,148,0,0,0,0,2,0
34.5,17,0,107,3,148,0,0,0,0,2,0
35.5,32,0,128,3,145,1,0,0,0,2,0
36.5,31,0,110,3,140,0,0,0,0,6,0
37.5,45,0,87,4,139,1,0,0,0,4,0
38.5,71,0,110,3,163,0,0,0,0,5,0
39.5,67,0,86,5,131,0,0,0,0,4,0
40.5,73,0,100,4,145,0,0,0,0,1,0
41.5,85,0,97,4,150,0,0,0,0,3,0
42.5,102,0,88,9,143,0,0,0,0,1,0
43.5,116,0,108,7,164,1,0,0,0,3,0
44.5,132,0,78,6,138,2,0,0,0,3,0
45.5,128,0,77,4,154,0,0,0,0,4,0
46.5,197,0,87,4,160,1,0,0,0,4,0
47.5,259,4,88,5,141,0,0,0,0,2,0
48.5,271,2,77,9,116,2,0,0,0,1,0
49.5,320,1,79,3,125,0,0,0,0,0,0
50.5,383,1,79,8,148,1,0,0,0,2,0
51.5,433,2,95,2,128,1,0,0,0,3,0
52.5,453,4,81,5,133,1,0,0,0,2,0
53.5,460,4,73,7,139,0,0,0,0,1,0
54.5,514,6,94,4,127,0,1,0,0,6,0
55.5,592,5,86,4,138,0,0,0,0,2,0
56.5,641,13,86,1,125,0,0,0,0,0,0
57.5,645,9,75,8,137,2,0,0,0,4,0
58.5,656,5,72,5,114,3,0,0,0,1,0
59.5,664,8,81,8,122,1,0,0,0,3,0
60.5,701,8,72,7,78,1,0,0,0,1,0
61.5,773,9,72,3,107,1,0,0,0,5,0
62.5,790,12,73,5,99,0,0,0,0,2,0
63.5,758,20,68,7,84,0,0,0,0,1,0
64.5,779,12,72,3,96,0,0,0,0,5,0
65.5,846,13,70,3,85,2,0,0,0,1,0
66.5,877,23,83,4,90,3,0,0,0,3,0
67.5,892,12,68,6,88,2,0,0,0,1,0
68.5,910,13,81,3,73,0,0,0,0,2,0
69.5,944,11,64,5,73,2,0,0,0,2,0
70.5,916,26,67,3,77,1,0,0,0,1,0
71.5,950,20,63,7,78,0,0,0,0,1,0
72.5,972,17,59,3,97,0,0,0,0,5,0
73.5,967,18,62,11,98,2,0,0,0,3,0
74.5,964,25,58,2,76,0,0,0,0,3,0
75.5,1020,29,61,7,57,1,0,0,0,1,0
76.5,1026,22,62,9,69,1,0,0,0,2,0
77.5,988,20,57,7,61,0,0,0,0,0,0
78.5,1053,37,65,7,70,2,0,0,0,1,0
79.5,1072,25,54,4,86,1,0,0,0,5,0
80.5,1074,38,38,4,64,1,0,0,0,1,0
81.5,1073,25,58,2,57,2,0,0,0,1,0
82.5,1019,41,51,3,57,0,0,0,0,2,0
83.5,1091,36,75,2,57,1,0,0,0,4,0
84.5,1028,34,61,5,51,4,0,0,0,6,0
85.5,1061,34,66,3,59,3,0,0,0,3,0
86.5,1101,44,59,5,55,2,0,0,0,3,0
87.5,1085,32,45,3,56,0,0,0,0,1,0
88.5,1009,34,40,4,53,0,0,0,0,6,0
89.5,1017,34,48,3,50,1,0,0,0,4,0
90.5,1064,40,46,4,62,0,0,0,0,2,0
91.5,1002,41,57,7,62,3,0,0,0,5,0
92.5,1025,41,49,6,39,1,0,0,0,2,0
93.5,934,52,52,8,54,3,0,0,0,0,0
94.5,928,47,51,5,34,1,0,0,0,3,0
95.5,956,37,49,3,26,1,0,0,0,1,0
96.5,912,46,42,3,49,1,0,0,0,1,0
97.5,897,41,56,6,35,1,0,0,0,0,0
98.5,955,40,59,4,33,1,0,0,0,0,0
99.5,917,48,48,4,48,2,0,0,0,0,0
100.5,855,48,48,7,32,0,0,0,0,0,0
101.5,842,38,61,9,44,0,0,0,0,1,0
102.5,924,43,48,6,43,1,0,0,0,0,0
103.5,903,41,66,1,21,1,0,0,0,3,0
104.5,838,53,55,4,27,1,0,0,0,0,0
105.5,883,44,39,4,34,2,0,0,0,0,0
106.5,846,54,50,2,31,1,0,0,0,4,0
107.5,932,49,57,8,33,1,0,0,0,1,0
108.5,836,62,52,7,31,1,0,0,0,2,0
109.5,869,61,64,4,31,0,0,0,0,1,0
110.5,843,71,46,4,36,1,0,0,0,0,0
111.5,793,65,46,5,31,0,0,0,0,3,0
112.5,922,59,37,5,31,4,0,0,0,3,0
113.5,884,60,41,5,29,2,0,0,0,1,0
114.5,882,61,40,9,26,1,0,0,0,3,0
115.5,876,61,40,6,19,0,0,0,0,3,0
116.5,838,59,47,7,21,3,0,0,0,1,0
117.5,838,71,45,2,24,2,0,0,0,2,0
118.5,778,70,34,6,24,0,0,0,0,2,0
119.5,743,63,41,4,24,0,0,0,0,0,0
120.5,711,65,48,5,25,1,0,0,0,0,0
121.5,750,53,44,6,21,0,0,0,0,2,0
122.5,736,61,40,3,25,1,0,0,0,1,0
123.5,654,61,42,3,20,0,0,0,0,4,0
124.5,639,58,45,5,20,0,0,0,0,3,0
125.5,598,53,36,4,23,1,0,0,0,0,0
126.5,592,54,50,6,14,0,0,0,0,4,0
127.5,599,63,38,9,19,0,0,0,0,2,0
128.5,603,64,31,3,18,0,0,0,0,0,0
129.5,569,73,38,4,21,0,0,0,0,3,0
130.5,600,57,45,8,10,0,0,0,0,0,0
131.5,569,58,41,2,16,1,0,0,0,2,0
132.5,578,59,35,3,23,0,0,0,0,2,0
133.5,624,65,38,3,20,1,0,0,0,0,0
134.5,588,57,42,1,15,0,0,0,0,0,0
135.5,548,60,41,3,17,0,0,0,0,2,0
136.5,542,60,27,2,16,0,0,0,0,2,0
137.5,527,62,37,4,24,0,0,0,0,2,0
138.5,528,62,32,3,11,0,0,0,0,2,0
139.5,488,63,30,3,19,0,0,0,0,0,0
140.5,499,69,29,4,14,0,0,0,0,0,0
141.5,497,55,33,2,16,1,0,0,0,1,0
142.5,517,61,27,5,12,0,0,0,0,0,0
143.5,531,53,30,2,19,0,0,0,0,1,0
144.5,478,46,25,2,19,0,0,0,0,1,0
145.5,465,54,25,5,14,1,0,0,0,2,0
146.5,470,70,39,1,18,1,0,0,1,2,0
147.5,455,53,26,4,15,0,0,0,0,2,0
148.5,418,63,40,3,12,2,0,0,0,0,0
149.5,422,57,23,4,12,0,0,0,0,0,0
