# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 168.3798
# N_primaries = 30000000
# N_with_signal = 213337
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,120
1.5,181
2.5,175
3.5,173
4.5,195
5.5,261
6.5,229
7.5,237
8.5,268
9.5,275
10.5,266
11.5,291
12.5,252
13.5,297
14.5,266
15.5,273
16.5,263
17.5,279
18.5,315
19.5,303
20.5,333
21.5,333
22.5,297
23.5,340
24.5,306
25.5,360
26.5,377
27.5,355
28.5,335
29.5,353
30.5,381
31.5,385
32.5,378
33.5,390
34.5,393
35.5,429
36.5,481
37.5,447
38.5,519
39.5,512
40.5,547
41.5,515
42.5,513
43.5,530
44.5,529
45.5,583
46.5,680
47.5,724
48.5,690
49.5,807
50.5,848
51.5,911
52.5,879
53.5,1012
54.5,1049
55.5,1050
56.5,1133
57.5,1154
58.5,1248
59.5,1383
60.5,1466
61.5,1488
62.5,1548
63.5,1559
64.5,1611
65.5,1615
66.5,1713
67.5,1669
68.5,1758
69.5,1675
70.5,1751
71.5,1713
72.5,1657
73.5,1722
74.5,1730
75.5,1726
76.5,1778
77.5,1705
78.5,1765
79.5,1729
80.5,1757
81.5,1765
82.5,1729
83.5,1791
84.5,1680
85.5,1803
86.5,1735
87.5,1712
88.5,1764
89.5,1658
90.5,1761
91.5,1680
92.5,1686
93.5,1721
94.5,1575
95.5,1664
96.5,1713
97.5,1725
98.5,1587
99.5,1542
100.5,1665
101.5,1553
102.5,1614
103.5,1513
104.5,1555
105.5,1559
106.5,1450
107.5,1466
108.5,1391
109.5,1383
110.5,1389
111.5,1316
112.5,1335
113.5,1293
114.5,1277
115.5,1264
116.5,1235
117.5,1208
118.5,1279
119.5,1256
120.5,1137
121.5,1171
122.5,1241
123.5,1205
124.5,1183
125.5,1151
126.5,1226
127.5,1192
128.5,1210
129.5,1147
130.5,1111
131.5,1231
132.5,1190
133.5,1162
134.5,1080
135.5,1113
136.5,1058
137.5,1080
138.5,1042
139.5,1008
140.5,1001
141.5,973
142.5,967
143.5,988
144.5,890
145.5,957
146.5,906
147.5,871
148.5,905
149.5,925
150.5,886
151.5,884
152.5,822
153.5,801
154.5,887
155.5,853
156.5,777
157.5,793
158.5,783
159.5,756
160.5,763
161.5,711
162.5,693
163.5,721
164.5,696
165.5,673
166.5,656
167.5,601
168.5,632
169.5,555
170.5,550
171.5,543
172.5,520
173.5,497
174.5,478
175.5,474
176.5,446
177.5,433
178.5,458
179.5,439
180.5,442
181.5,434
182.5,423
183.5,413
184.5,416
185.5,402
186.5,452
187.5,405
188.5,355
189.5,406
190.5,381
191.5,404
192.5,353
193.5,369
194.5,345
195.5,313
196.5,334
197.5,359
198.5,334
199.5,330
200.5,341
201.5,295
202.5,317
203.5,296
204.5,302
205.5,295
206.5,289
207.5,284
208.5,283
209.5,310
210.5,297
211.5,295
212.5,256
213.5,285
214.5,269
215.5,249
216.5,255
217.5,253
218.5,251
219.5,253
220.5,256
221.5,243
222.5,247
223.5,244
224.5,224
225.5,246
226.5,251
227.5,248
228.5,212
229.5,236
230.5,205
231.5,206
232.5,207
233.5,209
234.5,192
235.5,198
236.5,237
237.5,234
238.5,235
239.5,254
240.5,281
241.5,305
242.5,324
243.5,368
244.5,335
245.5,313
246.5,296
247.5,332
248.5,261
249.5,263
250.5,234
251.5,211
252.5,180
253.5,176
254.5,158
255.5,144
256.5,156
257.5,152
258.5,149
259.5,161
260.5,170
261.5,144
262.5,156
263.5,143
264.5,164
265.5,137
266.5,157
267.5,141
268.5,124
269.5,149
270.5,115
271.5,122
272.5,133
273.5,104
274.5,113
275.5,98
276.5,110
277.5,111
278.5,102
279.5,89
280.5,102
281.5,93
282.5,101
283.5,82
284.5,104
285.5,112
286.5,150
287.5,188
288.5,221
289.5,284
290.5,305
291.5,335
292.5,379
293.5,411
294.5,437
295.5,432
296.5,417
297.5,360
298.5,354
299.5,270
300.5,239
301.5,196
302.5,151
303.5,127
304.5,72
305.5,52
306.5,44
307.5,56
308.5,51
309.5,63
310.5,43
311.5,44
312.5,41
313.5,56
314.5,43
315.5,48
316.5,39
317.5,42
318.5,57
319.5,44
320.5,43
321.5,47
322.5,60
323.5,51
324.5,38
325.5,46
326.5,41
327.5,38
328.5,19
329.5,30
330.5,28
331.5,41
332.5,53
333.5,47
334.5,37
335.5,41
336.5,62
337.5,49
338.5,39
339.5,46
340.5,35
341.5,44
342.5,37
343.5,36
344.5,54
345.5,77
346.5,146
347.5,206
348.5,244
349.5,333
350.5,385
351.5,406
352.5,477
353.5,539
354.5,570
