# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 168.3798
# N_primaries = 30000000
# N_with_signal = 213337
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,112,0,1,0,0,0,0,7,0
1.5,3,0,166,1,8,0,0,0,0,3,0
2.5,2,0,163,0,6,0,0,0,0,4,0
3.5,2,0,156,1,7,0,0,0,0,7,0
4.5,1,0,173,0,19,0,0,0,0,2,0
5.5,9,0,218,1,31,0,0,0,0,2,0
6.5,9,0,171,0,47,0,0,0,0,2,0
7.5,14,0,170,1,51,0,0,0,0,1,0
8.5,12,0,205,1,49,0,0,0,0,1,0
9.5,7,0,194,3,67,0,0,0,0,4,0
10.5,9,0,194,3,56,0,0,0,0,4,0
11.5,10,0,158,3,67,0,0,0,0,53,0
12.5,6,0,191,2,51,0,0,0,0,2,0
13.5,12,0,181,1,90,0,0,0,0,13,0
14.5,10,0,171,1,82,0,0,0,0,2,0
15.5,9,0,163,1,99,0,0,0,0,1,0
16.5,11,0,150,2,99,0,0,0,0,1,0
17.5,4,0,166,3,105,0,0,0,0,1,0
18.5,8,0,171,5,129,0,0,0,0,2,0
19.5,10,0,148,3,141,1,0,0,0,0,0
20.5,8,0,172,7,146,0,0,0,0,0,0
21.5,12,0,152,3,163,1,0,0,0,2,0
22.5,7,0,145,3,142,0,0,0,0,0,0
23.5,6,0,151,2,179,0,0,0,0,2,0
24.5,6,0,133,3,162,0,0,0,0,2,0
25.5,9,0,154,6,191,0,0,0,0,0,0
26.5,9,0,169,6,193,0,0,0,0,0,0
27.5,8,0,137,10,199,0,0,0,0,1,0
28.5,4,0,129,7,195,0,0,0,0,0,0
29.5,10,0,135,5,202,1,0,0,0,0,0
30.5,8,0,140,8,222,0,0,0,0,3,0
31.5,5,0,128,6,244,0,0,0,0,2,0
32.5,9,0,136,1,229,0,0,0,0,3,0
33.5,13,0,123,7,246,0,0,0,0,1,0
34.5,16,0,139,10,224,1,0,0,0,3,0
35.5,54,0,104,8,263,0,0,0,0,0,0
36.5,69,0,146,7,256,1,0,0,0,2,0
37.5,76,0,119,9,240,0,0,0,0,3,0
