# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 116.1236
# N_primaries = 30000000
# N_with_signal = 253930
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,115
1.5,145
2.5,141
3.5,120
4.5,165
5.5,191
6.5,194
7.5,209
8.5,215
9.5,229
10.5,246
11.5,305
12.5,235
13.5,248
14.5,251
15.5,254
16.5,268
17.5,267
18.5,287
19.5,320
20.5,311
21.5,333
22.5,333
23.5,352
24.5,399
25.5,391
26.5,402
27.5,386
28.5,396
29.5,391
30.5,392
31.5,420
32.5,384
33.5,441
34.5,422
35.5,448
36.5,471
37.5,500
38.5,487
39.5,520
40.5,601
41.5,582
42.5,668
43.5,662
44.5,685
45.5,667
46.5,812
47.5,817
48.5,965
49.5,975
50.5,1080
51.5,1203
52.5,1199
53.5,1347
54.5,1354
55.5,1406
56.5,1505
57.5,1611
58.5,1623
59.5,1719
60.5,1691
61.5,1807
62.5,1867
63.5,1882
64.5,2001
65.5,1966
66.5,2057
67.5,2101
68.5,2183
69.5,2226
70.5,2271
71.5,2238
72.5,2349
73.5,2459
74.5,2335
75.5,2443
76.5,2482
77.5,2429
78.5,2535
79.5,2541
80.5,2546
81.5,2534
82.5,2625
83.5,2592
84.5,2622
85.5,2633
86.5,2641
87.5,2524
88.5,2608
89.5,2478
90.5,2488
91.5,2402
92.5,2428
93.5,2434
94.5,2406
95.5,2337
96.5,2420
97.5,2362
98.5,2410
99.5,2390
100.5,2339
101.5,2382
102.5,2405
103.5,2287
104.5,2318
105.5,2334
106.5,2195
107.5,2211
108.5,2333
109.5,2296
110.5,2323
111.5,2168
112.5,2181
113.5,2222
114.5,2209
115.5,2106
116.5,2077
117.5,1999
118.5,1931
119.5,1868
120.5,1861
121.5,1702
122.5,1566
123.5,1458
124.5,1389
125.5,1406
126.5,1426
127.5,1347
128.5,1359
129.5,1293
130.5,1339
131.5,1330
132.5,1256
133.5,1260
134.5,1306
135.5,1224
136.5,1148
137.5,1113
138.5,1142
139.5,1064
140.5,1024
141.5,1036
142.5,952
143.5,935
144.5,865
145.5,900
146.5,893
147.5,879
148.5,975
149.5,947
150.5,1085
151.5,1017
152.5,1030
153.5,1048
154.5,1078
155.5,1034
156.5,979
157.5,957
158.5,898
159.5,931
160.5,956
161.5,906
162.5,901
163.5,906
164.5,866
165.5,804
166.5,750
167.5,837
168.5,809
169.5,741
170.5,754
171.5,718
172.5,680
173.5,695
174.5,674
175.5,848
176.5,1171
177.5,1501
178.5,1859
179.5,2197
180.5,2574
181.5,2783
182.5,3216
183.5,3528
184.5,3812
