# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 116.1236
# N_primaries = 30000000
# N_with_signal = 253930
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,106,0,7,0,0,0,0,2,0
1.5,1,0,134,0,10,0,0,0,0,0,0
2.5,5,0,122,1,10,0,0,0,0,3,0
3.5,3,0,103,1,12,0,0,0,0,1,0
4.5,6,0,148,0,9,0,0,0,0,2,0
5.5,13,0,149,1,27,0,0,0,0,1,0
6.5,15,0,129,2,46,0,0,0,0,2,0
7.5,13,0,132,3,57,0,0,0,0,4,0
8.5,13,0,117,5,78,0,0,0,0,2,0
9.5,13,0,139,2,74,0,0,0,0,1,0
10.5,15,0,149,1,81,0,0,0,0,0,0
11.5,12,1,135,5,100,0,0,0,0,52,0
12.5,11,0,129,6,88,1,0,0,0,0,0
13.5,13,0,121,4,90,0,0,0,0,20,0
14.5,11,0,142,3,94,1,0,0,0,0,0
15.5,10,0,125,0,118,0,0,0,0,1,0
16.5,13,0,130,4,121,0,0,0,0,0,0
17.5,12,0,126,3,126,0,0,0,0,0,0
18.5,11,0,117,5,153,0,0,0,0,1,0
19.5,16,0,115,5,183,0,0,0,0,1,0
20.5,10,1,103,3,194,0,0,0,0,0,0
21.5,9,0,110,2,211,0,0,0,0,1,0
22.5,7,0,112,4,209,0,0,0,0,1,0
23.5,12,0,99,3,236,1,0,0,0,1,0
24.5,8,0,116,5,270,0,0,0,0,0,0
25.5,9,0,90,1,289,1,0,0,0,1,0
26.5,10,0,113,2,276,1,0,0,0,0,0
27.5,4,0,103,6,273,0,0,0,0,0,0
28.5,12,0,98,6,279,1,0,0,0,0,0
29.5,4,0,98,2,286,0,0,0,0,1,0
30.5,10,0,84,4,291,1,0,0,0,2,0
31.5,12,1,91,3,312,1,0,0,0,0,0
32.5,6,0,80,6,292,0,0,0,0,0,0
33.5,25,0,82,9,323,1,0,0,0,1,0
34.5,20,1,66,4,330,0,0,0,0,1,0
35.5,52,0,76,5,313,2,0,0,0,0,0
36.5,87,0,78,2,303,1,0,0,0,0,0
37.5,101,0,72,4,323,0,0,0,0,0,0
38.5,140,1,70,4,270,1,0,0,0,1,0
39.5,158,1,62,5,293,1,0,0,0,0,0
40.5,216,1,63,6,315,0,0,0,0,0,0
41.5,214,3,66,4,293,1,0,0,0,1,0
42.5,257,2,65,8,336,0,0,0,0,0,0
43.5,291,1,71,3,296,0,0,0,0,0,0
44.5,312,2,66,0,304,1,0,0,0,0,0
45.5,318,1,53,4,289,2,0,0,0,0,0
46.5,422,6,50,6,327,1,0,0,0,0,0
47.5,474,2,49,3,288,1,0,0,0,0,0
48.5,623,3,52,5,280,2,0,0,0,0,0
49.5,635,7,48,1,283,1,0,0,0,0,0
50.5,747,7,54,3,268,0,0,0,0,1,0
51.5,863,8,46,2,282,2,0,0,0,0,0
52.5,857,4,45,1,291,1,0,0,0,0,0
53.5,991,9,45,3,299,0,0,0,0,0,0
54.5,993,14,52,5,290,0,0,0,0,0,0
55.5,1095,9,47,2,251,1,0,0,0,1,0
56.5,1176,12,43,1,272,1,0,0,0,0,0
57.5,1291,14,41,1,262,1,0,0,0,1,0
58.5,1316,21,39,5,238,3,0,0,0,1,0
59.5,1426,12,29,2,249,1,0,0,0,0,0
60.5,1393,13,39,4,240,2,0,0,0,0,0
61.5,1491,20,42,3,250,1,0,0,0,0,0
62.5,1590,17,41,3,215,1,0,0,0,0,0
63.5,1609,28,23,1,220,1,0,0,0,0,0
64.5,1747,22,27,3,201,1,0,0,0,0,0
65.5,1685,31,32,1,216,1,0,0,0,0,0
66.5,1787,30,29,3,206,2,0,0,0,0,0
67.5,1812,33,31,3,222,0,0,0,0,0,0
68.5,1906,36,30,3,207,1,0,0,0,0,0
69.5,1955,49,37,1,182,1,0,0,0,1,0
70.5,2008,34,40,1,183,5,0,0,0,0,0
71.5,1983,40,19,4,190,2,0,0,0,0,0
72.5,2091,48,23,3,183,1,0,0,0,0,0
73.5,2202,54,24,2,177,0,0,0,0,0,0
74.5,2125,37,15,2,154,2,0,0,0,0,0
75.5,2210,44,19,3,164,3,0,0,0,0,0
76.5,2248,50,10,3,171,0,0,0,0,0,0
77.5,2205,49,9,0,164,1,0,0,0,1,0
78.5,2306,57,9,1,160,2,0,0,0,0,0
79.5,2306,73,3,4,154,1,0,0,0,0,0
80.5,2311,64,5,5,161,0,0,0,0,0,0
81.5,2319,69,3,2,140,1,0,0,0,0,0
82.5,2389,70,5,0,157,3,0,0,0,1,0
83.5,2350,79,3,0,158,2,0,0,0,0,0
84.5,2407,70,2,2,140,0,0,0,0,1,0
85.5,2402,81,1,2,146,1,0,0,0,0,0
86.5,2414,86,3,1,137,0,0,0,0,0,0
87.5,2320,78,2,1,120,3,0,0,0,0,0
88.5,2404,73,2,0,128,1,0,0,0,0,0
89.5,2290,78,2,0,107,1,0,0,0,0,0
90.5,2263,97,3,0,122,3,0,0,0,0,0
91.5,2199,93,3,1,106,0,0,0,0,0,0
92.5,2256,85,0,0,87,0,0,0,0,0,0
93.5,2250,88,2,0,92,1,0,0,0,1,0
94.5,2218,105,0,1,82,0,0,0,0,0,0
95.5,2177,85,0,0,73,2,0,0,0,0,0
96.5,2238,113,0,0,68,1,0,0,0,0,0
97.5,2193,89,2,0,75,2,0,0,0,1,0
98.5,2237,97,1,0,75,0,0,0,0,0,0
99.5,2222,95,0,1,72,0,0,0,0,0,0
100.5,2165,103,0,0,70,1,0,0,0,0,0
101.5,2192,128,0,0,62,0,0,0,0,0,0
102.5,2219,119,0,0,66,1,0,0,0,0,0
103.5,2097,122,0,0,68,0,0,0,0,0,0
104.5,2159,114,0,0,45,0,0,0,0,0,0
105.5,2120,145,0,0,68,1,0,0,0,0,0
106.5,2005,127,1,1,61,0,0,0,0,0,0
