# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 555.0366
# N_primaries = 30000000
# N_with_signal = 159758
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,63,0,3,0,0,0,0,8,0
1.5,1,0,133,0,2,0,0,0,0,9,0
2.5,5,0,153,0,9,0,0,0,0,4,0
3.5,0,0,139,2,4,0,0,0,0,4,0
4.5,1,1,112,1,5,0,0,0,0,5,0
5.5,5,0,148,0,18,0,0,0,0,5,0
6.5,8,0,151,1,30,0,0,0,0,9,0
7.5,9,0,133,2,40,0,0,0,0,6,0
8.5,6,0,140,4,51,0,0,0,0,7,0
9.5,5,0,133,0,27,0,0,0,0,11,0
10.5,7,0,141,5,43,0,0,0,0,1,0
11.5,9,0,163,4,46,0,0,0,0,32,0
12.5,4,0,133,2,50,0,0,0,0,2,0
13.5,8,0,144,3,47,0,0,0,0,10,0
14.5,10,0,154,3,58,0,0,0,0,8,0
15.5,17,0,138,3,73,0,0,0,0,2,0
16.5,3,0,132,4,76,0,0,0,0,2,0
17.5,6,0,123,3,89,0,0,0,0,4,0
18.5,8,0,131,5,92,0,0,0,0,3,0
19.5,4,0,151,4,105,0,0,0,0,5,0
20.5,5,0,138,5,109,0,0,0,0,6,0
21.5,6,0,125,2,109,0,0,0,0,0,0
22.5,3,0,101,5,125,0,0,0,0,2,0
23.5,7,0,143,2,125,0,0,0,0,8,0
24.5,3,0,119,2,138,0,0,0,0,1,0
25.5,13,0,117,2,119,0,0,0,0,4,0
26.5,10,0,105,2,131,1,0,0,0,8,0
27.5,13,0,105,6,132,0,1,0,0,2,0
28.5,11,0,133,2,159,0,0,0,0,4,0
29.5,14,0,118,2,139,0,0,0,0,1,0
30.5,15,0,136,9,161,0,0,0,0,2,0
31.5,32,0,109,4,127,0,0,0,0,0,0
32.5,20,0,121,4,150,1,0,0,0,5,0
33.5,34,0,103,4,172,0,0,0,0,6,0
34.5,33,0,90,2,143,1,0,0,0,5,0
35.5,34,0,110,7,141,0,0,0,0,2,0
36.5,48,0,104,1,156,0,0,0,0,4,0
37.5,54,0,91,4,173,0,0,0,0,5,0
38.5,102,0,86,4,155,1,0,0,0,3,0
39.5,95,0,90,4,154,1,0,0,0,5,0
40.5,120,2,105,4,141,0,0,0,0,1,0
41.5,112,0,101,7,166,0,0,0,0,5,0
42.5,136,0,94,4,126,0,0,0,0,3,0
43.5,142,1,97,7,156,1,0,0,0,2,0
44.5,195,1,95,6,135,1,0,0,0,2,0
45.5,163,1,101,3,145,0,0,0,0,5,0
46.5,217,0,87,4,146,1,0,0,0,1,0
47.5,298,4,87,6,140,0,0,0,0,4,0
48.5,331,4,86,8,143,1,0,0,0,2,0
49.5,327,4,86,6,140,0,0,0,0,5,0
50.5,383,4,94,3,146,0,0,0,0,0,0
51.5,450,0,96,5,124,0,0,0,0,1,0
52.5,456,8,81,6,133,2,0,0,0,2,0
53.5,472,9,94,4,137,0,0,0,0,3,0
54.5,563,6,83,4,131,0,0,0,0,2,0
55.5,574,7,81,2,141,1,0,0,0,3,0
56.5,625,13,103,4,119,0,0,0,0,3,0
57.5,660,4,76,5,123,1,0,0,0,1,0
58.5,667,6,73,6,115,0,0,0,0,3,0
59.5,676,9,81,4,127,0,0,0,0,4,0
