# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 589.0366
# N_primaries = 30000000
# N_with_signal = 119830
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,112
1.5,155
2.5,178
3.5,167
4.5,181
5.5,192
6.5,218
7.5,202
8.5,209
9.5,188
10.5,205
11.5,199
12.5,201
13.5,201
14.5,211
15.5,236
16.5,226
17.5,200
18.5,214
19.5,199
20.5,223
21.5,195
22.5,226
23.5,221
24.5,206
25.5,225
26.5,225
27.5,217
28.5,213
29.5,222
30.5,233
31.5,221
32.5,221
33.5,241
34.5,241
35.5,217
36.5,241
37.5,261
38.5,254
39.5,236
40.5,242
41.5,257
42.5,260
43.5,291
44.5,305
45.5,295
46.5,325
47.5,330
48.5,344
49.5,369
50.5,340
51.5,344
52.5,370
53.5,402
54.5,417
55.5,446
56.5,449
57.5,491
58.5,521
59.5,507
60.5,522
61.5,516
62.5,553
63.5,552
64.5,541
65.5,547
66.5,572
67.5,561
68.5,597
69.5,611
70.5,590
71.5,575
72.5,597
73.5,656
74.5,667
75.5,742
76.5,779
77.5,722
78.5,650
79.5,584
80.5,573
81.5,571
82.5,535
83.5,554
84.5,545
85.5,593
86.5,597
87.5,601
88.5,541
89.5,536
90.5,582
91.5,614
92.5,573
93.5,600
94.5,523
95.5,534
96.5,520
97.5,492
98.5,492
99.5,486
100.5,487
101.5,457
102.5,480
103.5,504
104.5,485
105.5,489
106.5,479
107.5,454
108.5,422
109.5,433
110.5,465
111.5,401
112.5,451
113.5,427
114.5,404
115.5,424
116.5,431
117.5,388
118.5,389
119.5,374
120.5,355
121.5,387
122.5,379
123.5,384
124.5,435
125.5,399
126.5,363
127.5,387
128.5,409
129.5,361
130.5,350
131.5,336
132.5,347
133.5,364
134.5,356
135.5,343
136.5,334
137.5,345
138.5,325
139.5,320
140.5,302
141.5,280
142.5,272
143.5,271
144.5,308
145.5,292
146.5,288
147.5,257
148.5,272
149.5,292
150.5,271
151.5,242
152.5,287
153.5,246
154.5,256
155.5,229
156.5,240
157.5,283
158.5,232
159.5,245
160.5,220
161.5,201
162.5,237
163.5,236
164.5,186
165.5,203
166.5,215
167.5,220
168.5,216
169.5,238
170.5,213
171.5,220
172.5,211
173.5,204
174.5,205
175.5,199
176.5,215
177.5,230
178.5,240
179.5,231
180.5,198
181.5,213
182.5,190
183.5,215
184.5,188
185.5,219
186.5,193
187.5,158
188.5,155
189.5,185
190.5,189
191.5,177
192.5,171
193.5,187
194.5,165
195.5,154
196.5,157
197.5,167
198.5,173
199.5,213
200.5,257
201.5,314
202.5,392
203.5,410
204.5,537
205.5,556
206.5,540
207.5,505
208.5,503
209.5,475
210.5,451
211.5,428
212.5,460
213.5,447
214.5,414
215.5,397
216.5,397
217.5,410
218.5,395
219.5,358
220.5,343
221.5,374
222.5,402
223.5,364
224.5,361
225.5,388
226.5,402
227.5,445
228.5,487
229.5,510
230.5,569
231.5,579
232.5,641
233.5,620
234.5,674
235.5,626
236.5,601
237.5,585
238.5,487
239.5,534
240.5,438
241.5,408
242.5,359
243.5,325
244.5,308
245.5,278
246.5,249
247.5,267
248.5,240
249.5,272
250.5,202
251.5,247
252.5,202
253.5,226
254.5,194
255.5,213
256.5,228
257.5,201
258.5,208
259.5,179
260.5,193
261.5,173
262.5,179
263.5,160
264.5,141
265.5,189
266.5,179
267.5,169
268.5,155
269.5,198
270.5,178
271.5,205
272.5,198
273.5,198
274.5,213
275.5,205
276.5,207
277.5,173
278.5,177
279.5,174
280.5,160
281.5,157
282.5,158
283.5,135
284.5,128
285.5,134
286.5,132
287.5,125
288.5,154
289.5,138
290.5,137
291.5,122
292.5,136
293.5,124
294.5,138
295.5,112
296.5,130
297.5,143
298.5,125
299.5,126
300.5,133
301.5,150
302.5,153
303.5,115
304.5,143
305.5,152
306.5,110
307.5,136
308.5,136
309.5,119
310.5,109
311.5,129
312.5,119
313.5,103
314.5,94
315.5,85
316.5,94
317.5,103
318.5,95
319.5,116
320.5,99
321.5,108
322.5,118
323.5,123
324.5,102
325.5,112
326.5,129
327.5,126
328.5,99
329.5,136
330.5,129
331.5,147
332.5,133
333.5,159
334.5,138
335.5,149
336.5,158
337.5,116
338.5,115
339.5,103
340.5,109
341.5,91
342.5,81
343.5,91
344.5,85
345.5,58
346.5,67
347.5,75
348.5,73
349.5,61
350.5,76
351.5,62
352.5,77
353.5,78
354.5,69
355.5,66
356.5,70
357.5,80
358.5,61
359.5,68
360.5,68
361.5,67
362.5,62
363.5,64
364.5,58
365.5,69
366.5,54
367.5,73
368.5,47
369.5,51
370.5,59
371.5,56
372.5,57
373.5,57
374.5,58
375.5,51
376.5,64
377.5,53
378.5,56
379.5,50
380.5,51
381.5,50
382.5,50
383.5,53
384.5,59
385.5,51
386.5,57
387.5,64
388.5,50
389.5,66
390.5,49
391.5,46
392.5,59
393.5,55
394.5,59
395.5,51
396.5,60
397.5,53
398.5,54
399.5,58
400.5,55
401.5,56
402.5,49
403.5,54
404.5,61
405.5,46
406.5,42
407.5,32
408.5,56
409.5,47
410.5,60
411.5,41
412.5,39
413.5,50
414.5,49
415.5,42
416.5,24
417.5,42
418.5,39
419.5,33
420.5,45
421.5,49
422.5,40
423.5,29
424.5,40
425.5,34
426.5,46
427.5,31
428.5,33
429.5,51
430.5,38
431.5,37
432.5,29
433.5,31
434.5,48
435.5,41
436.5,36
437.5,32
438.5,29
439.5,43
440.5,38
441.5,28
442.5,45
443.5,33
444.5,37
445.5,43
446.5,36
447.5,44
448.5,24
449.5,40
450.5,30
451.5,29
452.5,41
453.5,39
454.5,33
455.5,29
456.5,38
457.5,28
458.5,30
459.5,38
460.5,46
461.5,37
462.5,47
463.5,42
464.5,44
465.5,43
466.5,37
467.5,38
468.5,38
469.5,39
470.5,38
471.5,40
472.5,25
473.5,31
474.5,32
475.5,35
476.5,28
477.5,37
478.5,31
479.5,32
480.5,25
481.5,31
482.5,25
483.5,28
484.5,27
485.5,33
486.5,20
487.5,26
488.5,24
489.5,26
490.5,22
491.5,28
492.5,36
493.5,32
494.5,30
495.5,22
496.5,23
497.5,23
498.5,28
499.5,32
500.5,29
501.5,22
502.5,26
503.5,24
504.5,36
505.5,31
506.5,38
507.5,28
508.5,48
509.5,37
510.5,42
511.5,47
512.5,46
513.5,48
514.5,53
