# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 589.0366
# N_primaries = 30000000
# N_with_signal = 119830
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,96,0,2,0,1,0,0,13,0
1.5,2,0,140,0,1,0,0,0,0,12,0
2.5,2,0,163,0,5,0,0,0,0,8,0
3.5,0,0,149,0,4,0,0,0,0,14,0
4.5,1,0,165,1,5,0,0,0,0,9,0
5.5,1,0,169,1,10,0,0,0,0,11,0
6.5,2,0,195,2,13,1,0,0,0,5,0
7.5,8,0,165,1,16,0,0,0,0,12,0
8.5,7,0,167,3,25,0,0,1,0,6,0
9.5,2,0,167,0,11,0,0,0,0,8,0
10.5,8,0,174,3,16,0,0,0,0,4,0
11.5,5,0,164,1,11,0,0,0,0,18,0
12.5,9,0,165,4,20,0,0,0,0,3,0
13.5,9,0,158,2,22,0,0,0,0,10,0
14.5,9,0,165,3,28,0,0,0,0,6,0
15.5,13,0,171,7,37,0,0,0,0,8,0
16.5,8,0,169,7,34,0,0,0,0,8,0
17.5,13,0,151,3,29,0,0,0,0,4,0
18.5,4,0,156,2,50,0,0,0,0,2,0
19.5,5,0,142,5,41,0,0,0,0,6,0
20.5,3,0,168,4,41,1,0,0,0,6,0
21.5,3,0,140,2,44,0,0,0,0,6,0
22.5,10,0,155,1,56,0,0,0,0,4,0
23.5,2,0,162,2,48,1,1,0,0,5,0
24.5,4,0,150,4,44,0,0,0,0,4,0
25.5,5,0,157,4,57,0,0,0,0,2,0
26.5,4,0,151,3,60,0,0,0,0,7,0
27.5,5,0,145,6,58,0,0,0,0,3,0
28.5,9,0,141,6,55,0,0,0,0,2,0
29.5,5,0,143,2,66,0,0,0,0,6,0
30.5,3,0,138,9,76,0,1,0,0,6,0
31.5,3,0,132,7,76,0,0,0,0,3,0
32.5,5,1,140,3,69,1,0,0,0,2,0
33.5,7,0,140,6,85,0,0,0,0,3,0
34.5,21,0,141,4,72,0,0,0,0,3,0
35.5,11,0,132,9,63,0,0,0,0,2,0
36.5,18,0,136,8,73,0,0,0,0,6,0
37.5,22,0,158,8,69,0,0,0,0,4,0
38.5,39,0,134,4,75,0,0,0,0,2,0
39.5,43,0,124,2,65,1,0,0,0,1,0
40.5,40,0,129,5,66,0,0,0,0,2,0
41.5,41,0,139,7,64,0,0,0,0,6,0
42.5,63,1,121,5,67,0,0,0,0,3,0
43.5,65,0,135,9,77,0,0,0,0,5,0
44.5,83,1,116,14,88,1,0,0,0,2,0
45.5,96,0,111,9,75,0,0,1,0,3,0
46.5,118,0,127,7,72,0,0,0,0,1,0
47.5,122,0,119,8,77,0,0,0,0,4,0
48.5,148,2,122,6,62,2,1,0,0,1,0
49.5,153,2,140,10,62,0,0,0,0,2,0
50.5,143,1,119,10,65,0,0,0,0,2,0
51.5,178,2,104,6,51,0,0,0,0,3,0
52.5,193,3,115,13,40,1,0,0,0,5,0
53.5,225,3,107,10,53,0,0,0,0,4,0
54.5,238,6,111,7,53,0,0,0,0,2,0
55.5,282,5,103,4,45,2,0,0,0,5,0
56.5,300,4,87,8,48,0,0,0,0,2,0
57.5,309,4,109,8,57,1,0,0,0,3,0
58.5,350,5,114,4,45,0,0,0,0,3,0
59.5,355,4,96,4,41,1,0,0,0,6,0
60.5,340,5,118,7,50,0,0,0,0,2,0
61.5,352,4,102,6,49,0,0,0,0,3,0
62.5,385,3,101,7,53,0,0,0,0,4,0
63.5,400,5,96,14,31,1,1,0,0,4,0
64.5,405,4,90,9,32,0,0,0,0,1,0
65.5,400,11,91,5,40,0,0,0,0,0,0
66.5,413,9,100,8,38,1,0,0,0,3,0
67.5,421,7,93,9,26,0,0,0,0,5,0
68.5,446,9,97,8,35,0,0,0,0,2,0
69.5,451,4,112,5,35,0,0,0,0,4,0
70.5,432,9,111,5,29,1,0,0,0,3,0
71.5,443,8,79,9,33,1,0,0,0,2,0
72.5,442,7,94,11,38,1,0,0,0,4,0
73.5,499,10,94,15,35,0,0,0,0,3,0
74.5,524,11,94,7,25,1,0,0,0,5,0
75.5,588,20,91,12,28,1,0,0,0,2,0
76.5,627,15,94,9,33,0,0,0,0,1,0
77.5,577,17,91,12,22,0,0,0,0,3,0
78.5,515,7,94,8,24,0,0,0,0,2,0
79.5,414,18,103,14,29,1,0,0,0,5,0
80.5,445,15,81,12,18,1,0,0,0,1,0
81.5,445,14,87,7,17,1,0,0,0,0,0
82.5,396,12,99,7,20,0,0,0,0,1,0
83.5,426,11,91,6,16,3,0,0,0,1,0
84.5,398,20,92,10,20,1,0,0,0,4,0
85.5,459,15,91,9,16,1,0,0,0,2,0
86.5,434,20,107,11,22,1,0,0,0,2,0
87.5,454,21,99,4,23,0,0,0,0,0,0
88.5,395,15,104,6,18,0,0,0,0,3,0
89.5,411,11,76,12,24,1,0,0,0,1,0
90.5,424,19,113,8,14,2,0,0,0,2,0
91.5,482,16,83,7,21,2,0,0,0,3,0
92.5,433,14,100,6,19,1,0,0,0,0,0
93.5,433,20,114,11,22,0,0,0,0,0,0
94.5,400,16,82,8,16,0,0,0,0,1,0
95.5,406,12,88,5,20,0,0,0,0,3,0
96.5,364,21,103,7,18,2,0,0,0,5,0
97.5,369,19,80,7,15,0,0,0,0,2,0
98.5,364,19,87,8,14,0,0,0,0,0,0
99.5,348,18,91,9,18,0,0,0,0,2,0
100.5,368,20,78,6,13,1,0,0,0,1,0
101.5,324,21,86,7,14,0,0,0,0,5,0
102.5,335,20,106,3,13,1,0,0,0,2,0
103.5,381,23,79,7,11,1,0,0,0,2,0
104.5,353,17,78,9,23,0,0,0,0,5,0
105.5,362,20,85,8,12,0,0,0,0,2,0
106.5,337,27,94,2,18,0,0,0,0,1,0
107.5,346,13,78,6,9,0,0,0,0,2,0
108.5,302,21,79,7,12,1,0,0,0,0,0
109.5,321,27,69,8,5,1,0,0,0,2,0
110.5,337,30,70,11,15,0,0,0,0,2,0
111.5,299,15,65,8,14,0,0,0,0,0,0
112.5,321,29,76,12,9,2,0,0,0,2,0
113.5,317,23,68,3,11,2,0,0,0,3,0
114.5,292,16,74,7,11,2,0,0,0,2,0
115.5,298,24,83,6,10,2,0,0,0,1,0
116.5,299,32,78,6,11,2,0,0,0,3,0
117.5,290,21,63,2,9,0,0,0,0,3,0
118.5,282,33,49,7,14,1,0,0,0,3,0
119.5,278,19,65,3,7,0,0,0,0,2,0
120.5,244,20,69,10,9,2,0,0,0,1,0
121.5,287,16,63,9,9,1,0,0,0,2,0
122.5,282,21,55,9,10,0,0,0,0,2,0
123.5,297,17,60,6,3,0,0,0,0,1,0
124.5,310,36,74,4,9,2,0,0,0,0,0
125.5,288,22,73,9,4,2,0,0,0,1,0
126.5,266,20,55,14,6,0,0,0,0,2,0
