# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 2335.2581
# N_primaries = 30000000
# N_with_signal = 49668
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,37
1.5,41
2.5,45
3.5,32
4.5,53
5.5,48
6.5,55
7.5,52
8.5,44
9.5,54
10.5,68
11.5,83
12.5,66
13.5,46
14.5,57
15.5,52
16.5,41
17.5,50
18.5,60
19.5,72
20.5,56
21.5,52
22.5,57
23.5,48
24.5,51
25.5,61
26.5,83
27.5,62
28.5,50
29.5,69
30.5,56
31.5,69
32.5,60
33.5,60
34.5,67
35.5,53
36.5,42
37.5,57
38.5,62
39.5,58
40.5,61
41.5,75
42.5,56
43.5,64
44.5,77
45.5,70
46.5,72
47.5,65
48.5,70
49.5,74
50.5,79
51.5,74
52.5,69
53.5,86
54.5,76
55.5,66
56.5,82
57.5,99
58.5,83
59.5,89
60.5,101
61.5,110
62.5,108
63.5,89
64.5,91
65.5,105
66.5,104
67.5,132
68.5,88
69.5,103
70.5,92
71.5,128
72.5,120
73.5,135
74.5,126
75.5,143
76.5,108
77.5,102
78.5,105
79.5,92
80.5,118
81.5,119
82.5,112
83.5,119
84.5,118
85.5,103
86.5,117
87.5,117
88.5,112
89.5,122
90.5,109
91.5,136
92.5,102
93.5,106
94.5,114
95.5,96
96.5,105
97.5,109
98.5,97
99.5,99
100.5,125
101.5,88
102.5,106
103.5,91
104.5,109
105.5,95
106.5,98
107.5,100
108.5,92
109.5,78
110.5,102
111.5,97
112.5,96
113.5,82
114.5,91
115.5,94
116.5,83
117.5,86
118.5,86
119.5,82
120.5,83
121.5,79
122.5,90
123.5,78
124.5,81
125.5,73
126.5,96
127.5,83
128.5,72
129.5,81
130.5,88
131.5,81
132.5,80
133.5,98
