# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 723.5972
# N_primaries = 30000000
# N_with_signal = 100999
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,87,0,0,0,0,0,0,11,0
1.5,1,0,137,0,4,0,0,0,0,12,0
2.5,1,0,130,0,1,0,0,0,0,9,0
3.5,0,0,108,0,3,0,0,0,0,16,0
4.5,0,0,132,1,3,0,0,0,0,5,0
5.5,3,0,159,0,5,0,0,0,0,9,0
6.5,4,0,153,1,13,0,0,0,0,7,0
7.5,0,0,157,1,8,0,0,0,0,8,0
8.5,5,0,173,0,12,0,0,0,0,9,0
9.5,5,0,168,2,16,0,0,0,0,3,0
10.5,7,0,144,1,16,0,0,0,0,3,0
11.5,6,0,111,3,7,0,0,0,0,12,0
12.5,9,0,139,0,15,0,0,0,0,5,0
13.5,4,0,145,2,7,0,0,0,0,17,0
14.5,4,0,159,2,21,0,0,0,0,5,0
15.5,5,0,130,3,19,0,0,0,0,5,0
16.5,2,0,147,3,17,0,0,0,0,5,0
17.5,5,0,122,2,25,0,0,0,0,8,0
18.5,6,0,128,3,29,0,0,0,0,6,0
19.5,2,0,131,2,30,0,0,0,0,8,0
20.5,2,0,134,5,35,0,0,0,0,8,0
21.5,1,1,128,3,32,0,0,0,0,4,0
22.5,4,0,131,2,27,0,0,0,0,11,0
23.5,4,0,132,2,34,1,0,0,0,5,0
24.5,5,0,140,4,34,0,0,0,0,9,0
25.5,4,0,108,5,39,0,0,0,0,7,0
26.5,2,0,119,4,36,1,0,0,0,5,0
27.5,3,0,139,0,58,0,0,0,0,4,0
28.5,9,0,132,2,40,1,0,0,0,7,0
29.5,4,1,135,2,50,0,0,0,0,7,0
30.5,3,0,154,7,45,0,0,0,0,3,0
31.5,5,0,122,1,55,0,0,0,0,6,0
32.5,10,0,118,3,47,1,0,0,0,6,0
33.5,9,0,138,3,50,0,0,0,0,5,0
34.5,14,0,140,4,39,0,0,0,0,5,0
35.5,11,1,110,6,44,0,0,0,0,5,0
36.5,16,0,122,7,48,0,1,0,0,5,0
37.5,16,0,109,3,39,0,0,0,0,8,0
38.5,17,0,125,2,38,0,0,0,0,4,0
39.5,18,0,124,2,49,1,0,0,0,2,0
40.5,31,0,115,10,44,1,0,0,0,5,0
41.5,47,1,116,5,38,0,0,0,0,3,0
42.5,49,0,117,2,44,0,0,0,0,5,0
43.5,37,0,109,4,43,0,0,0,0,3,0
44.5,53,0,121,4,38,0,0,0,0,5,0
45.5,51,0,111,4,36,0,0,0,0,7,0
46.5,76,0,110,10,35,0,0,0,0,2,0
47.5,99,1,110,5,49,0,0,0,0,5,0
48.5,107,1,102,8,49,0,0,0,0,5,0
49.5,102,0,118,3,50,0,0,0,0,2,0
50.5,107,0,109,4,46,0,0,0,0,5,0
51.5,125,2,101,6,41,0,0,0,0,2,0
52.5,113,1,116,5,36,0,0,0,0,5,0
53.5,109,2,122,5,33,0,0,0,0,9,0
54.5,141,1,99,8,29,1,0,0,0,4,0
55.5,151,0,109,5,36,0,0,0,0,5,0
56.5,164,6,96,7,38,0,0,0,0,2,0
57.5,188,2,108,7,39,0,0,0,0,2,0
58.5,209,3,92,6,35,0,0,0,0,4,0
59.5,211,1,84,4,26,0,0,0,0,7,0
60.5,240,2,128,6,23,0,0,0,0,2,0
61.5,192,6,90,5,29,0,0,0,0,2,0
62.5,273,8,111,6,28,0,0,0,0,4,0
63.5,200,2,115,8,23,0,0,0,0,4,0
64.5,273,7,102,4,23,0,0,0,0,5,0
65.5,264,4,103,5,25,0,0,0,0,3,0
66.5,269,3,87,4,32,1,0,0,0,2,0
67.5,268,4,97,7,25,0,0,0,0,5,0
68.5,271,6,97,8,32,0,0,0,0,3,0
69.5,259,8,93,5,24,1,0,0,0,2,0
70.5,325,4,96,9,27,0,0,0,0,5,0
71.5,295,6,109,10,17,1,0,0,0,3,0
72.5,319,8,90,3,22,0,0,0,0,2,0
73.5,288,9,93,4,17,0,0,0,0,1,0
74.5,267,6,90,5,25,0,0,0,0,1,0
75.5,283,3,98,7,25,0,0,0,0,3,0
76.5,308,12,80,3,26,0,0,0,0,4,0
77.5,299,8,95,6,24,0,0,0,0,2,0
78.5,347,1,85,6,21,0,0,0,0,1,0
79.5,285,9,80,5,22,1,0,0,0,2,0
80.5,311,10,87,4,22,0,0,0,0,1,0
81.5,314,9,91,6,21,0,0,0,0,2,0
82.5,312,10,91,4,21,1,0,0,0,5,0
83.5,357,8,89,10,21,1,0,0,0,4,0
84.5,292,5,90,2,17,0,0,0,0,1,0
85.5,299,18,92,7,19,0,0,0,0,4,0
86.5,299,10,84,7,22,0,0,0,0,1,0
87.5,277,16,79,5,14,0,0,0,0,4,0
88.5,324,11,78,8,10,0,0,0,0,6,0
89.5,325,15,82,8,11,0,0,0,0,5,0
90.5,271,8,83,9,20,1,0,0,0,3,0
91.5,286,8,107,8,11,1,0,0,0,1,0
92.5,281,12,72,9,11,1,0,0,0,3,0
93.5,295,15,72,3,14,0,0,0,0,2,0
94.5,303,11,98,10,17,2,0,0,0,3,0
95.5,294,10,100,8,11,0,0,0,0,1,0
96.5,272,9,75,3,19,1,0,0,0,4,0
97.5,251,11,78,7,12,1,0,0,0,4,0
98.5,286,21,88,6,14,1,0,0,0,1,0
99.5,265,20,86,7,14,1,0,0,1,3,0
100.5,250,8,86,9,18,0,0,0,0,2,0
101.5,249,12,92,10,13,3,0,0,0,0,0
102.5,274,14,82,7,11,1,0,0,0,0,0
103.5,298,21,77,12,9,0,0,0,0,4,0
104.5,230,11,77,15,6,1,0,0,0,2,0
105.5,235,18,77,6,7,0,0,0,0,1,0
106.5,252,14,69,4,10,0,0,0,0,6,0
107.5,244,18,78,8,6,0,1,0,0,1,0
108.5,233,10,75,6,11,1,0,0,0,2,0
109.5,266,17,85,5,6,0,0,0,0,1,0
110.5,245,14,63,5,8,1,0,0,0,1,0
111.5,219,13,67,10,10,0,0,0,0,2,0
112.5,244,11,78,6,12,1,0,0,0,3,0
113.5,266,19,62,8,8,0,0,0,0,1,0
114.5,249,21,82,8,6,1,0,0,0,5,0
115.5,252,17,71,4,4,0,0,0,0,3,0
116.5,240,21,61,8,11,0,0,0,0,2,0
117.5,259,18,65,5,9,0,0,0,0,2,0
118.5,226,12,75,6,13,1,0,0,0,0,0
119.5,214,12,71,4,8,0,0,0,0,2,0
120.5,242,15,60,10,7,0,0,0,0,3,0
121.5,225,19,83,9,9,0,0,0,0,1,0
122.5,201,20,58,4,6,0,0,0,0,2,0
123.5,183,22,63,9,10,0,0,0,0,3,0
124.5,211,21,68,9,5,2,0,0,0,3,0
125.5,194,19,53,1,6,0,0,0,0,3,0
126.5,197,20,59,8,9,0,0,0,0,8,0
127.5,221,13,60,7,3,1,0,0,0,0,0
128.5,168,18,58,4,8,1,0,0,0,0,0
129.5,163,21,70,10,5,0,0,0,0,4,0
130.5,210,19,63,1,7,0,0,0,0,4,0
131.5,178,17,45,7,3,1,0,0,0,1,0
132.5,194,17,71,4,6,0,0,0,0,3,0
133.5,182,18,59,5,9,0,1,0,0,1,0
134.5,200,23,65,7,5,0,0,0,0,4,0
135.5,195,14,44,6,6,1,0,0,0,2,0
136.5,168,12,51,11,8,0,0,0,0,3,0
137.5,163,9,54,5,6,1,0,0,0,1,0
138.5,183,12,58,7,2,0,0,0,0,2,0
139.5,146,24,53,6,3,0,0,0,0,1,0
140.5,187,16,52,7,6,0,0,0,0,3,0
141.5,169,18,59,10,6,0,0,0,0,2,0
142.5,158,19,56,7,3,0,0,0,0,1,0
143.5,130,18,53,7,6,1,0,0,0,3,0
144.5,160,23,52,10,5,0,0,0,0,4,0
145.5,150,19,48,5,3,0,0,0,0,3,0
146.5,151,20,60,5,5,1,0,0,0,2,0
147.5,124,21,53,10,3,0,0,0,0,3,0
148.5,124,13,56,5,3,2,0,0,0,4,0
149.5,120,24,48,2,6,0,0,0,0,2,0
150.5,145,19,48,5,6,0,0,0,0,2,0
151.5,147,14,55,10,4,2,0,0,1,0,0
152.5,120,23,44,7,4,2,0,0,0,4,0
153.5,140,14,44,6,10,1,1,0,0,2,0
154.5,123,17,53,6,3,0,0,0,0,0,0
155.5,134,16,48,7,4,0,0,0,0,3,0
156.5,131,12,60,9,5,0,0,0,0,1,0
157.5,117,22,50,2,2,0,0,0,0,2,0
158.5,108,22,44,5,5,0,0,0,0,1,0
159.5,103,18,41,5,4,1,0,0,0,3,0
160.5,124,20,50,6,5,1,0,0,0,3,0
161.5,129,19,46,2,5,0,0,0,0,2,0
162.5,116,30,44,5,2,0,0,0,0,3,0
163.5,108,23,54,4,5,1,0,0,0,2,0
164.5,112,20,46,9,7,0,0,0,0,6,0
165.5,122,23,51,4,2,0,0,0,0,0,0
166.5,99,18,51,4,2,1,0,0,0,2,0
167.5,111,12,37,7,5,0,0,0,0,3,0
168.5,105,18,50,9,3,0,0,0,0,0,0
169.5,102,21,53,6,3,1,0,0,0,0,0
170.5,94,14,41,7,8,0,0,0,0,2,0
