# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 696.4097
# N_primaries = 30000000
# N_with_signal = 130324
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,78
1.5,111
2.5,120
3.5,110
4.5,127
5.5,148
6.5,162
7.5,165
8.5,146
9.5,141
10.5,153
11.5,173
12.5,163
13.5,155
14.5,195
15.5,194
16.5,201
17.5,211
18.5,190
19.5,239
20.5,261
21.5,219
22.5,233
23.5,218
24.5,228
25.5,267
26.5,240
27.5,259
28.5,260
29.5,256
30.5,272
31.5,274
32.5,242
33.5,212
34.5,225
35.5,238
36.5,231
37.5,252
38.5,260
39.5,246
40.5,253
41.5,270
42.5,268
43.5,289
44.5,306
45.5,318
46.5,354
47.5,381
48.5,423
49.5,457
50.5,517
51.5,585
52.5,496
53.5,516
54.5,603
55.5,639
56.5,622
57.5,712
58.5,836
59.5,819
60.5,818
61.5,801
62.5,785
63.5,697
64.5,731
65.5,747
66.5,718
67.5,714
68.5,744
69.5,826
70.5,942
71.5,950
72.5,870
73.5,731
74.5,791
75.5,874
76.5,1015
77.5,1021
78.5,927
79.5,796
80.5,775
81.5,770
82.5,773
83.5,737
84.5,723
85.5,718
86.5,860
87.5,905
88.5,1031
89.5,1104
90.5,1092
91.5,984
92.5,906
93.5,956
94.5,1045
95.5,991
96.5,842
97.5,798
98.5,900
99.5,907
100.5,747
101.5,730
102.5,802
103.5,802
104.5,577
105.5,568
106.5,726
107.5,852
108.5,863
109.5,808
110.5,682
111.5,623
112.5,757
113.5,756
114.5,610
115.5,576
116.5,634
117.5,675
118.5,582
119.5,541
120.5,624
121.5,636
122.5,714
123.5,714
124.5,660
125.5,626
126.5,557
127.5,544
128.5,450
129.5,498
130.5,640
131.5,697
132.5,588
133.5,619
134.5,555
135.5,626
136.5,668
137.5,689
138.5,490
139.5,429
140.5,462
141.5,547
142.5,550
143.5,545
144.5,516
145.5,474
146.5,446
147.5,439
148.5,482
149.5,454
150.5,348
151.5,408
152.5,390
153.5,414
154.5,413
155.5,385
156.5,280
157.5,302
158.5,399
159.5,404
160.5,372
161.5,346
162.5,356
163.5,327
164.5,350
165.5,350
166.5,353
167.5,435
168.5,381
169.5,378
170.5,294
171.5,264
172.5,273
173.5,292
174.5,243
175.5,247
176.5,301
177.5,258
178.5,265
179.5,248
180.5,240
181.5,181
182.5,169
183.5,167
184.5,178
185.5,192
186.5,207
187.5,249
188.5,196
189.5,196
190.5,208
191.5,198
192.5,192
193.5,189
194.5,249
195.5,255
196.5,281
197.5,236
198.5,217
199.5,208
200.5,178
201.5,189
202.5,246
203.5,231
204.5,243
205.5,193
206.5,176
207.5,175
208.5,213
209.5,200
210.5,199
211.5,214
212.5,233
213.5,240
214.5,181
215.5,180
216.5,168
217.5,159
218.5,214
219.5,190
220.5,168
221.5,154
222.5,201
223.5,220
224.5,165
225.5,188
226.5,230
227.5,224
228.5,175
229.5,119
230.5,115
231.5,111
232.5,167
233.5,194
234.5,195
235.5,184
236.5,219
237.5,227
238.5,149
239.5,152
240.5,175
241.5,174
242.5,168
243.5,194
244.5,141
245.5,133
246.5,146
247.5,147
248.5,96
249.5,103
250.5,114
251.5,114
252.5,131
253.5,142
254.5,131
255.5,119
256.5,138
257.5,143
258.5,140
259.5,145
260.5,148
261.5,138
262.5,88
263.5,89
264.5,92
265.5,105
266.5,97
267.5,92
268.5,90
269.5,83
270.5,103
271.5,134
272.5,117
273.5,92
274.5,93
275.5,62
276.5,71
277.5,69
278.5,75
279.5,88
280.5,86
281.5,76
282.5,100
283.5,75
284.5,68
285.5,78
286.5,60
287.5,93
288.5,70
289.5,47
290.5,37
291.5,43
292.5,78
293.5,85
294.5,77
295.5,70
296.5,82
297.5,61
298.5,73
299.5,86
300.5,83
301.5,70
302.5,77
303.5,106
304.5,76
305.5,87
306.5,76
307.5,80
308.5,56
309.5,55
310.5,61
311.5,48
312.5,53
313.5,43
314.5,49
315.5,66
316.5,68
317.5,86
318.5,57
319.5,53
320.5,52
321.5,52
322.5,61
323.5,43
324.5,59
325.5,57
326.5,59
327.5,60
328.5,50
329.5,42
330.5,58
331.5,45
332.5,52
333.5,54
334.5,35
335.5,49
336.5,61
337.5,34
338.5,55
339.5,47
340.5,42
341.5,41
342.5,61
343.5,63
344.5,39
345.5,43
346.5,65
347.5,67
348.5,48
349.5,49
350.5,32
351.5,36
352.5,52
353.5,64
354.5,51
355.5,47
356.5,58
357.5,50
358.5,51
359.5,39
360.5,49
361.5,49
362.5,62
363.5,50
364.5,39
365.5,45
366.5,17
367.5,35
368.5,36
369.5,34
370.5,33
371.5,25
372.5,34
373.5,43
374.5,36
375.5,38
376.5,50
377.5,41
378.5,46
379.5,47
380.5,28
381.5,45
382.5,32
383.5,50
384.5,37
385.5,36
386.5,40
387.5,37
388.5,40
389.5,36
390.5,38
391.5,37
392.5,39
393.5,49
394.5,47
395.5,48
396.5,33
397.5,28
398.5,14
399.5,24
400.5,36
401.5,45
402.5,28
403.5,36
404.5,38
405.5,35
406.5,37
407.5,28
408.5,31
409.5,22
410.5,31
411.5,28
412.5,25
413.5,27
414.5,17
415.5,27
416.5,16
417.5,34
418.5,30
419.5,31
420.5,38
421.5,25
422.5,27
423.5,31
424.5,31
425.5,31
426.5,32
427.5,33
428.5,39
429.5,34
430.5,26
431.5,21
432.5,31
433.5,32
434.5,32
435.5,42
436.5,37
437.5,52
438.5,59
439.5,22
440.5,34
441.5,32
442.5,20
443.5,20
444.5,23
445.5,29
446.5,30
447.5,37
448.5,30
449.5,30
450.5,35
451.5,24
452.5,28
453.5,29
454.5,27
455.5,27
456.5,27
457.5,26
458.5,22
459.5,34
460.5,25
461.5,37
462.5,13
463.5,18
464.5,26
465.5,38
466.5,25
467.5,37
468.5,31
469.5,40
470.5,23
471.5,22
472.5,12
473.5,23
474.5,29
475.5,23
476.5,38
477.5,23
478.5,20
479.5,19
480.5,22
481.5,32
482.5,29
483.5,18
484.5,25
485.5,35
486.5,15
487.5,21
488.5,28
489.5,16
490.5,15
491.5,17
492.5,13
493.5,15
494.5,21
495.5,14
496.5,14
497.5,12
498.5,20
499.5,26
500.5,23
