# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 696.4097
# N_primaries = 30000000
# N_with_signal = 130324
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,70,0,0,0,0,0,0,8,0
1.5,3,0,93,0,6,0,0,0,0,9,0
2.5,5,0,101,1,4,0,0,0,0,9,0
3.5,3,0,101,1,1,0,0,0,0,4,0
4.5,1,0,105,0,11,0,0,0,0,10,0
5.5,10,0,114,1,15,0,0,0,0,8,0
6.5,9,0,121,1,22,1,0,0,0,8,0
7.5,7,0,130,1,25,0,0,0,0,2,0
8.5,7,0,107,1,24,1,0,0,0,6,0
9.5,10,0,105,1,13,0,0,0,0,12,0
10.5,9,0,107,0,27,0,0,0,0,10,0
11.5,19,0,104,3,21,0,0,0,0,26,0
12.5,12,0,119,2,25,0,0,0,0,5,0
13.5,22,0,92,2,27,0,0,0,0,12,0
14.5,20,0,122,0,47,0,0,0,0,6,0
15.5,28,0,108,0,47,0,0,0,0,11,0
16.5,36,0,96,0,60,0,0,0,0,9,0
17.5,27,0,116,4,58,0,0,0,0,6,0
18.5,37,1,73,2,74,0,0,0,0,3,0
19.5,32,1,112,1,86,0,0,0,0,7,0
20.5,27,1,127,4,99,0,0,0,0,3,0
21.5,36,0,100,2,77,0,0,0,0,4,0
22.5,37,0,110,1,75,0,0,0,0,10,0
23.5,36,0,85,2,89,0,0,0,0,6,0
24.5,30,0,96,2,95,0,0,0,0,5,0
25.5,31,0,103,6,118,0,0,0,0,9,0
26.5,22,0,90,5,115,0,0,0,0,8,0
27.5,33,0,101,7,113,0,0,0,0,5,0
28.5,27,0,101,3,126,0,0,0,0,3,0
29.5,40,0,97,7,104,0,0,0,0,8,0
30.5,45,1,92,1,123,0,0,0,0,10,0
31.5,51,1,94,3,118,0,0,0,0,7,0
32.5,41,0,88,3,104,0,0,0,0,6,0
33.5,24,0,84,5,98,0,0,0,0,1,0
34.5,23,0,84,4,108,0,0,0,0,6,0
35.5,40,1,91,5,94,0,0,0,0,7,0
36.5,38,0,91,2,95,0,0,0,0,5,0
37.5,51,0,86,6,105,0,0,0,0,4,0
38.5,49,1,86,4,110,0,0,0,0,10,0
39.5,30,0,73,2,140,0,0,0,0,1,0
40.5,36,0,103,2,107,0,0,0,0,5,0
41.5,55,0,78,4,126,1,0,0,0,6,0
42.5,79,0,83,2,98,0,0,0,0,6,0
43.5,86,0,81,5,114,1,0,0,0,2,0
44.5,104,0,81,0,117,0,0,0,0,4,0
45.5,132,0,72,5,104,0,0,0,0,5,0
46.5,188,1,78,0,83,0,0,0,0,4,0
47.5,198,6,84,6,82,0,0,0,0,5,0
48.5,241,0,78,3,95,1,0,0,0,5,0
49.5,293,3,75,1,80,0,0,0,0,5,0
50.5,361,2,65,2,86,0,0,0,0,1,0
51.5,399,4,72,2,100,1,0,0,0,7,0
52.5,343,3,71,1,76,1,0,0,0,1,0
53.5,354,1,52,4,101,0,0,0,0,4,0
54.5,455,5,62,2,75,0,0,0,0,4,0
55.5,488,5,64,4,75,0,0,0,0,3,0
56.5,460,5,79,1,76,1,0,0,0,0,0
57.5,528,6,76,3,93,0,0,0,0,6,0
58.5,669,8,63,5,84,0,0,0,0,7,0
59.5,641,14,75,1,85,0,0,0,0,3,0
60.5,627,12,68,3,105,1,0,0,0,2,0
61.5,628,8,80,3,81,0,0,0,0,1,0
62.5,626,6,62,6,82,0,0,0,0,3,0
63.5,541,8,51,3,88,0,0,0,0,6,0
64.5,583,4,54,3,81,0,0,0,0,6,0
65.5,590,15,48,5,87,1,0,0,0,1,0
66.5,583,8,56,4,66,0,0,0,0,1,0
67.5,554,3,63,7,84,0,0,0,0,3,0
68.5,611,11,56,4,61,1,0,0,0,0,0
69.5,668,15,62,4,75,1,0,0,0,1,0
70.5,817,14,42,4,58,1,0,0,0,6,0
71.5,786,16,65,3,74,1,0,0,0,5,0
72.5,724,17,67,2,56,1,0,0,0,3,0
73.5,583,12,56,6,66,3,0,0,0,5,0
74.5,661,14,66,5,40,0,0,0,0,5,0
75.5,740,11,63,7,49,1,0,0,0,3,0
76.5,897,17,45,3,50,1,0,0,0,2,0
77.5,909,12,48,4,43,0,0,0,0,5,0
78.5,799,23,42,6,54,0,0,0,0,3,0
79.5,662,21,63,3,43,0,0,0,0,4,0
80.5,664,20,49,2,37,0,0,0,1,2,0
81.5,633,23,60,8,45,0,0,0,0,1,0
82.5,648,15,52,4,49,0,0,0,0,5,0
83.5,612,22,59,6,35,2,0,0,0,1,0
84.5,596,33,52,3,37,0,0,0,0,2,0
85.5,617,26,44,2,27,0,0,0,0,2,0
86.5,744,21,53,1,38,0,0,0,0,3,0
87.5,780,24,58,6,36,0,0,0,0,1,0
88.5,904,33,50,3,38,0,0,0,0,3,0
89.5,988,32,46,5,30,0,0,0,0,3,0
90.5,955,46,53,3,32,1,0,0,0,2,0
91.5,861,30,54,4,31,0,0,0,0,4,0
92.5,772,38,55,4,34,0,0,0,0,3,0
93.5,828,31,52,4,39,0,0,0,0,2,0
94.5,918,27,57,7,31,2,0,0,0,3,0
95.5,870,37,52,4,26,1,0,0,0,1,0
96.5,715,34,51,5,36,0,0,0,0,1,0
97.5,679,33,53,3,25,1,0,0,0,4,0
98.5,785,35,51,2,24,0,0,0,0,3,0
99.5,787,36,45,3,29,0,0,0,0,7,0
100.5,651,27,39,4,23,0,0,0,0,3,0
101.5,633,21,45,4,23,0,0,0,0,4,0
102.5,689,32,37,4,37,0,0,0,0,3,0
103.5,677,39,52,4,27,0,0,0,0,3,0
104.5,485,23,33,5,30,0,0,0,0,1,0
105.5,473,28,46,4,16,0,0,0,0,1,0
106.5,619,30,38,2,33,0,0,0,0,4,0
107.5,716,47,48,6,29,1,0,0,0,5,0
108.5,723,52,49,2,33,1,0,0,0,3,0
109.5,686,50,42,2,25,1,0,0,0,2,0
110.5,584,39,34,2,21,1,0,0,0,1,0
111.5,529,34,36,3,17,0,0,0,0,4,0
112.5,630,51,48,5,19,0,0,0,0,4,0
113.5,643,35,47,2,25,2,0,0,0,2,0
114.5,502,34,41,6,23,1,0,0,0,3,0
