# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 629.9356
# N_primaries = 30000000
# N_with_signal = 112618
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,109
1.5,141
2.5,170
3.5,148
4.5,171
5.5,188
6.5,210
7.5,201
8.5,189
9.5,203
10.5,177
11.5,240
12.5,191
13.5,179
14.5,187
15.5,206
16.5,188
17.5,189
18.5,214
19.5,195
20.5,226
21.5,211
22.5,204
23.5,224
24.5,222
25.5,201
26.5,217
27.5,226
28.5,212
29.5,220
30.5,196
31.5,182
32.5,180
33.5,222
34.5,233
35.5,226
36.5,220
37.5,212
38.5,222
39.5,231
40.5,244
41.5,224
42.5,252
43.5,277
44.5,282
45.5,301
46.5,328
47.5,357
48.5,327
49.5,339
50.5,346
51.5,359
52.5,374
53.5,318
54.5,357
55.5,387
56.5,413
57.5,432
58.5,433
59.5,439
60.5,481
61.5,471
62.5,490
63.5,481
64.5,511
65.5,521
66.5,528
67.5,494
68.5,507
69.5,543
70.5,534
71.5,538
72.5,554
73.5,535
74.5,568
75.5,612
76.5,691
77.5,648
78.5,537
79.5,538
80.5,533
81.5,521
82.5,566
83.5,523
84.5,555
85.5,499
86.5,503
87.5,520
88.5,478
89.5,494
90.5,428
91.5,482
92.5,463
93.5,470
94.5,421
95.5,457
96.5,439
97.5,467
98.5,483
99.5,496
100.5,442
101.5,416
102.5,438
103.5,441
104.5,436
105.5,398
106.5,457
107.5,432
108.5,364
109.5,427
110.5,410
111.5,421
112.5,336
113.5,389
114.5,413
115.5,366
116.5,366
117.5,397
118.5,392
119.5,379
120.5,397
121.5,347
122.5,361
123.5,339
124.5,310
125.5,331
126.5,355
127.5,320
128.5,343
129.5,293
130.5,349
131.5,311
132.5,327
133.5,324
134.5,320
135.5,309
136.5,318
137.5,299
138.5,300
139.5,319
140.5,281
141.5,242
142.5,266
143.5,284
144.5,258
145.5,266
146.5,267
147.5,266
148.5,297
149.5,279
150.5,252
151.5,243
152.5,277
153.5,243
154.5,257
155.5,229
156.5,217
157.5,250
158.5,235
159.5,226
160.5,224
161.5,256
162.5,213
163.5,223
164.5,207
165.5,203
166.5,204
167.5,212
168.5,205
169.5,204
170.5,207
171.5,193
172.5,190
173.5,195
174.5,201
175.5,169
176.5,190
177.5,177
178.5,195
179.5,197
180.5,188
181.5,156
182.5,192
183.5,171
184.5,168
185.5,176
186.5,183
187.5,206
188.5,181
189.5,180
190.5,168
191.5,189
192.5,158
193.5,177
194.5,161
195.5,156
196.5,155
197.5,152
198.5,161
199.5,169
200.5,230
201.5,276
202.5,329
203.5,361
204.5,422
205.5,477
206.5,441
207.5,420
208.5,404
209.5,426
210.5,416
211.5,376
212.5,387
213.5,417
214.5,395
215.5,399
216.5,380
217.5,347
218.5,350
219.5,367
220.5,350
221.5,319
222.5,351
223.5,344
224.5,309
225.5,354
226.5,367
227.5,326
228.5,304
229.5,296
230.5,285
231.5,352
232.5,307
233.5,290
234.5,283
235.5,295
236.5,310
237.5,297
238.5,256
239.5,314
240.5,300
241.5,283
242.5,298
243.5,303
244.5,342
245.5,314
246.5,312
247.5,280
248.5,304
249.5,270
250.5,273
251.5,259
252.5,251
253.5,211
254.5,210
255.5,248
256.5,230
257.5,243
258.5,235
259.5,221
260.5,187
261.5,192
262.5,212
263.5,181
264.5,209
265.5,207
266.5,189
267.5,199
268.5,208
269.5,205
270.5,187
271.5,176
272.5,175
273.5,185
274.5,196
275.5,176
276.5,144
277.5,165
278.5,173
279.5,161
280.5,164
281.5,165
282.5,172
283.5,170
284.5,159
285.5,144
286.5,166
287.5,202
288.5,218
289.5,215
290.5,204
291.5,209
292.5,246
293.5,267
294.5,270
295.5,259
296.5,258
297.5,219
298.5,256
299.5,199
300.5,201
301.5,159
302.5,157
303.5,152
304.5,130
305.5,118
306.5,105
307.5,105
308.5,98
309.5,109
310.5,112
311.5,102
