# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 629.9356
# N_primaries = 30000000
# N_with_signal = 112618
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,97,0,1,0,0,0,0,11,0
1.5,1,0,128,0,3,0,0,0,0,9,0
2.5,0,0,154,1,2,0,0,0,0,13,0
3.5,0,0,136,0,1,0,0,0,0,11,0
4.5,1,0,158,2,2,0,0,0,0,8,0
5.5,3,0,167,0,8,0,0,0,0,10,0
6.5,3,0,185,1,12,0,0,0,0,9,0
7.5,3,0,176,1,10,0,0,0,0,11,0
8.5,3,0,161,1,18,0,0,0,0,6,0
9.5,4,0,171,4,12,0,0,0,0,12,0
10.5,5,0,153,0,14,0,0,0,0,5,0
11.5,6,0,184,4,16,0,0,0,0,30,0
12.5,8,0,161,1,16,0,0,0,0,5,0
13.5,7,0,141,2,21,0,0,0,0,8,0
14.5,6,0,151,1,25,0,0,0,0,4,0
15.5,4,0,160,2,35,0,0,0,0,5,0
16.5,3,0,151,5,22,0,0,0,0,7,0
17.5,6,0,132,2,45,0,0,0,0,4,0
18.5,4,0,166,2,33,0,0,0,0,9,0
19.5,3,0,155,0,36,0,0,0,0,1,0
20.5,3,0,164,4,48,0,0,0,0,7,0
21.5,5,0,153,3,44,1,0,0,0,5,0
22.5,6,0,149,3,40,1,0,0,0,5,0
23.5,3,0,152,6,57,0,0,0,0,6,0
24.5,3,0,157,5,51,0,0,0,0,6,0
25.5,4,0,134,3,58,0,0,0,0,2,0
26.5,2,0,150,4,55,0,0,0,0,6,0
27.5,4,0,143,7,63,1,0,0,0,8,0
28.5,5,0,141,2,61,0,0,0,0,3,0
29.5,8,0,141,4,62,0,0,0,0,5,0
30.5,1,1,140,4,46,0,0,0,0,4,0
31.5,4,0,124,4,50,0,0,0,0,0,0
32.5,3,0,115,5,50,0,0,0,0,7,0
33.5,13,0,139,3,59,0,0,0,0,8,0
34.5,14,0,142,8,67,0,0,0,0,2,0
35.5,14,2,132,5,67,2,0,0,0,4,0
