# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 616.0898
# N_primaries = 30000000
# N_with_signal = 114105
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,113
1.5,154
2.5,158
3.5,160
4.5,186
5.5,208
6.5,174
7.5,187
8.5,188
9.5,198
10.5,184
11.5,210
12.5,203
13.5,179
14.5,190
15.5,169
16.5,196
17.5,202
18.5,208
19.5,187
20.5,221
21.5,209
22.5,202
23.5,214
24.5,214
25.5,213
26.5,200
27.5,218
28.5,222
29.5,219
30.5,175
31.5,205
32.5,182
33.5,215
34.5,207
35.5,219
36.5,247
37.5,212
38.5,252
39.5,241
40.5,246
41.5,273
42.5,261
43.5,261
44.5,267
45.5,282
46.5,338
47.5,351
48.5,317
49.5,323
50.5,341
51.5,360
52.5,370
53.5,347
54.5,342
55.5,365
56.5,426
57.5,430
58.5,441
59.5,446
60.5,518
61.5,495
62.5,511
63.5,482
64.5,480
65.5,467
66.5,511
67.5,533
68.5,537
69.5,516
70.5,542
71.5,531
72.5,554
73.5,601
74.5,626
75.5,703
76.5,698
77.5,664
78.5,531
79.5,529
80.5,519
81.5,554
82.5,535
83.5,516
84.5,520
85.5,502
86.5,524
87.5,529
88.5,509
89.5,496
90.5,496
91.5,504
92.5,481
93.5,497
94.5,471
95.5,484
96.5,468
97.5,483
98.5,446
99.5,482
100.5,488
101.5,466
102.5,508
103.5,479
104.5,486
105.5,436
106.5,427
107.5,408
108.5,437
109.5,403
110.5,410
111.5,407
112.5,437
113.5,425
114.5,398
115.5,416
116.5,372
117.5,392
118.5,406
119.5,407
120.5,389
121.5,400
122.5,399
123.5,370
124.5,365
125.5,352
126.5,358
127.5,329
128.5,334
129.5,314
130.5,326
131.5,340
132.5,342
133.5,309
134.5,343
135.5,315
136.5,281
137.5,292
138.5,342
139.5,285
140.5,305
141.5,305
142.5,287
143.5,267
144.5,278
145.5,292
146.5,263
147.5,276
148.5,248
149.5,269
150.5,270
151.5,263
152.5,294
153.5,256
154.5,267
155.5,266
156.5,242
157.5,259
158.5,230
159.5,265
160.5,223
161.5,221
162.5,238
163.5,230
164.5,217
165.5,202
166.5,226
167.5,198
168.5,198
169.5,184
170.5,206
171.5,190
172.5,191
173.5,198
174.5,218
175.5,187
176.5,213
177.5,174
178.5,178
179.5,179
180.5,216
181.5,218
182.5,201
183.5,197
184.5,170
185.5,190
186.5,226
187.5,235
188.5,201
189.5,189
190.5,185
191.5,190
192.5,192
193.5,172
194.5,188
195.5,159
196.5,141
197.5,136
198.5,160
199.5,180
200.5,236
201.5,266
202.5,320
203.5,370
204.5,437
205.5,436
206.5,429
207.5,437
208.5,402
209.5,431
210.5,423
211.5,354
212.5,389
213.5,387
214.5,415
215.5,411
216.5,394
217.5,362
218.5,356
219.5,365
220.5,336
221.5,339
222.5,351
223.5,350
224.5,325
225.5,350
226.5,337
227.5,321
228.5,281
229.5,263
230.5,294
231.5,278
232.5,311
233.5,286
234.5,258
235.5,292
236.5,277
237.5,280
238.5,314
239.5,334
240.5,333
241.5,311
242.5,303
243.5,316
244.5,339
245.5,357
246.5,294
247.5,318
248.5,301
249.5,276
250.5,264
251.5,286
252.5,251
253.5,262
254.5,207
255.5,210
256.5,205
257.5,209
258.5,206
259.5,200
260.5,210
261.5,199
262.5,198
263.5,168
264.5,191
265.5,186
266.5,182
267.5,204
268.5,189
269.5,187
270.5,184
271.5,191
272.5,187
273.5,167
274.5,181
275.5,162
276.5,198
277.5,178
278.5,167
279.5,182
280.5,160
281.5,143
282.5,153
283.5,161
284.5,149
285.5,118
286.5,174
287.5,177
288.5,209
289.5,246
290.5,235
291.5,230
292.5,266
293.5,261
294.5,265
295.5,265
296.5,239
297.5,211
298.5,233
299.5,179
300.5,179
301.5,183
302.5,152
303.5,133
304.5,122
