# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 2383.7926
# N_primaries = 30000000
# N_with_signal = 48107
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,31
1.5,32
2.5,41
3.5,38
4.5,42
5.5,37
6.5,55
7.5,39
8.5,43
9.5,52
10.5,56
11.5,57
12.5,50
13.5,51
14.5,44
15.5,54
16.5,65
17.5,56
18.5,49
19.5,44
20.5,45
21.5,62
22.5,40
23.5,59
24.5,55
25.5,58
26.5,56
27.5,47
28.5,52
29.5,52
30.5,63
31.5,52
32.5,50
33.5,65
34.5,49
35.5,50
36.5,57
37.5,49
38.5,56
39.5,58
40.5,66
41.5,69
42.5,50
43.5,63
44.5,70
45.5,62
46.5,69
47.5,62
48.5,54
49.5,76
50.5,79
51.5,56
52.5,68
53.5,79
54.5,76
55.5,80
56.5,87
57.5,92
58.5,93
59.5,77
60.5,87
61.5,91
62.5,104
63.5,94
64.5,85
65.5,95
66.5,85
67.5,112
68.5,95
69.5,106
70.5,98
71.5,93
72.5,100
73.5,118
74.5,105
75.5,121
76.5,99
77.5,106
78.5,113
79.5,86
80.5,91
81.5,100
82.5,104
83.5,104
84.5,106
85.5,117
86.5,109
87.5,106
88.5,103
89.5,97
90.5,100
91.5,120
92.5,120
93.5,102
94.5,103
95.5,100
96.5,97
97.5,87
98.5,73
99.5,87
100.5,88
101.5,90
102.5,96
103.5,101
104.5,95
105.5,79
106.5,97
107.5,79
108.5,67
109.5,74
110.5,86
111.5,73
112.5,76
113.5,91
114.5,76
115.5,83
116.5,79
117.5,80
118.5,80
119.5,81
120.5,72
121.5,75
122.5,80
123.5,74
124.5,66
125.5,75
126.5,79
127.5,79
128.5,67
129.5,88
130.5,78
131.5,71
132.5,70
133.5,77
134.5,85
135.5,61
136.5,53
137.5,65
138.5,85
139.5,62
140.5,64
141.5,51
142.5,51
143.5,52
144.5,45
145.5,55
146.5,50
147.5,58
148.5,80
149.5,76
150.5,55
151.5,58
152.5,44
153.5,51
154.5,64
155.5,72
156.5,49
157.5,48
158.5,52
159.5,57
160.5,71
161.5,43
162.5,54
163.5,50
164.5,58
165.5,47
166.5,46
167.5,64
168.5,46
169.5,56
170.5,56
171.5,57
172.5,49
173.5,57
174.5,43
175.5,49
176.5,48
177.5,59
178.5,53
179.5,62
180.5,49
181.5,56
182.5,36
183.5,56
184.5,48
185.5,53
186.5,42
187.5,57
188.5,45
189.5,49
190.5,35
191.5,49
192.5,41
193.5,45
194.5,51
195.5,30
196.5,43
197.5,37
198.5,57
199.5,51
200.5,51
201.5,73
202.5,62
203.5,86
204.5,99
205.5,65
206.5,92
207.5,96
208.5,103
209.5,92
210.5,87
211.5,90
212.5,82
213.5,76
214.5,84
215.5,86
216.5,86
217.5,75
218.5,92
219.5,77
220.5,84
221.5,74
222.5,81
223.5,64
224.5,63
225.5,65
226.5,62
227.5,60
228.5,63
229.5,66
230.5,79
231.5,58
232.5,66
233.5,53
234.5,83
235.5,66
236.5,63
237.5,54
238.5,59
239.5,61
240.5,64
241.5,60
242.5,56
243.5,49
244.5,55
245.5,57
246.5,54
247.5,63
248.5,80
249.5,54
250.5,56
251.5,49
252.5,65
253.5,62
254.5,43
255.5,51
256.5,62
257.5,69
258.5,57
259.5,54
260.5,38
261.5,47
262.5,39
263.5,49
264.5,47
265.5,46
266.5,45
267.5,47
268.5,49
269.5,54
270.5,51
271.5,36
272.5,57
273.5,53
274.5,64
275.5,57
276.5,51
277.5,45
278.5,48
279.5,52
280.5,38
281.5,48
282.5,51
283.5,32
284.5,40
285.5,35
286.5,41
287.5,34
288.5,51
289.5,48
290.5,46
291.5,34
292.5,38
293.5,36
294.5,29
295.5,27
296.5,44
297.5,43
298.5,34
299.5,42
300.5,23
301.5,39
302.5,38
303.5,44
304.5,28
305.5,36
306.5,45
307.5,41
308.5,38
309.5,37
310.5,36
311.5,38
312.5,30
313.5,27
314.5,43
315.5,27
316.5,46
317.5,28
318.5,21
319.5,38
320.5,28
321.5,24
322.5,26
323.5,34
324.5,34
325.5,34
326.5,31
327.5,19
328.5,29
329.5,23
330.5,22
331.5,27
332.5,29
333.5,26
334.5,28
335.5,27
336.5,29
337.5,30
338.5,21
339.5,26
340.5,25
341.5,30
342.5,29
343.5,29
344.5,34
345.5,32
346.5,24
347.5,16
348.5,28
349.5,29
350.5,32
351.5,25
352.5,26
353.5,26
354.5,34
355.5,19
356.5,22
357.5,29
358.5,21
359.5,27
360.5,25
361.5,16
362.5,32
363.5,21
364.5,25
365.5,32
366.5,36
367.5,29
368.5,28
369.5,31
370.5,22
371.5,24
372.5,25
373.5,23
374.5,18
375.5,25
376.5,23
377.5,17
378.5,27
379.5,24
380.5,12
381.5,24
382.5,27
383.5,21
384.5,18
385.5,24
386.5,26
387.5,27
388.5,19
389.5,22
390.5,22
391.5,19
392.5,26
393.5,24
394.5,28
395.5,21
396.5,22
397.5,27
398.5,25
399.5,23
400.5,19
401.5,26
402.5,17
403.5,24
404.5,24
405.5,10
406.5,20
407.5,29
408.5,22
409.5,21
410.5,25
411.5,24
412.5,11
413.5,18
414.5,23
415.5,22
416.5,22
417.5,26
418.5,12
419.5,22
420.5,21
421.5,15
422.5,12
423.5,16
424.5,22
425.5,18
426.5,17
427.5,21
428.5,16
429.5,16
430.5,24
431.5,20
432.5,16
433.5,17
434.5,16
435.5,12
436.5,13
437.5,21
438.5,15
439.5,21
440.5,16
441.5,17
442.5,15
443.5,21
444.5,14
445.5,17
446.5,21
447.5,18
448.5,17
449.5,10
450.5,16
451.5,19
452.5,16
453.5,16
454.5,16
455.5,18
456.5,11
457.5,12
458.5,12
459.5,23
460.5,11
461.5,13
462.5,16
463.5,11
464.5,17
465.5,10
466.5,18
467.5,24
468.5,23
469.5,20
470.5,18
471.5,12
472.5,16
473.5,18
474.5,14
475.5,18
476.5,19
