# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 348.0316
# N_primaries = 30000000
# N_with_signal = 173775
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,95
1.5,157
2.5,168
3.5,157
4.5,146
5.5,203
6.5,201
7.5,183
8.5,196
9.5,203
10.5,219
11.5,234
12.5,228
13.5,251
14.5,260
15.5,238
16.5,257
17.5,257
18.5,258
19.5,252
20.5,264
21.5,274
22.5,255
23.5,319
24.5,308
25.5,278
26.5,300
27.5,286
28.5,302
29.5,288
30.5,274
31.5,305
32.5,299
33.5,318
34.5,318
35.5,370
36.5,358
37.5,338
38.5,392
39.5,318
40.5,377
41.5,348
42.5,459
43.5,415
44.5,455
45.5,486
46.5,572
47.5,540
48.5,566
49.5,552
50.5,684
51.5,695
52.5,699
53.5,708
54.5,994
55.5,944
56.5,977
57.5,966
58.5,1107
59.5,1125
60.5,1115
61.5,1082
62.5,1165
63.5,1136
64.5,1139
65.5,1098
66.5,1255
67.5,1304
68.5,1263
69.5,1231
70.5,1395
71.5,1356
72.5,1369
73.5,1405
74.5,1368
75.5,1398
76.5,1366
77.5,1345
78.5,1439
79.5,1431
80.5,1440
81.5,1401
82.5,1460
83.5,1487
84.5,1363
85.5,1333
86.5,1385
87.5,1379
88.5,1414
89.5,1316
90.5,1625
91.5,1691
92.5,1646
93.5,1573
94.5,1208
95.5,1159
96.5,1152
97.5,1198
98.5,1248
99.5,1284
100.5,1277
101.5,1240
102.5,1130
103.5,1157
104.5,1152
105.5,1156
106.5,1116
107.5,1182
108.5,1162
109.5,1206
110.5,1099
111.5,1024
112.5,1029
113.5,1081
114.5,998
115.5,1010
116.5,979
117.5,1035
118.5,942
119.5,958
120.5,930
121.5,948
122.5,825
123.5,827
124.5,814
125.5,837
126.5,934
127.5,992
128.5,932
129.5,956
130.5,886
131.5,779
132.5,836
133.5,771
134.5,691
135.5,748
136.5,682
137.5,672
138.5,698
139.5,692
140.5,671
141.5,721
142.5,616
143.5,637
144.5,656
145.5,618
146.5,593
147.5,659
148.5,615
149.5,585
150.5,617
151.5,596
152.5,657
153.5,608
154.5,597
155.5,599
156.5,613
157.5,553
158.5,482
159.5,504
160.5,511
161.5,475
162.5,504
163.5,500
164.5,470
165.5,501
166.5,454
167.5,445
168.5,435
169.5,415
170.5,480
171.5,400
172.5,428
173.5,421
174.5,443
175.5,437
176.5,413
177.5,444
178.5,431
179.5,405
180.5,399
181.5,385
182.5,342
183.5,377
184.5,380
185.5,340
186.5,360
187.5,338
188.5,359
189.5,311
190.5,313
191.5,322
192.5,319
193.5,304
194.5,308
195.5,316
196.5,323
197.5,292
198.5,320
199.5,329
200.5,309
201.5,340
202.5,259
203.5,279
204.5,264
205.5,251
206.5,397
207.5,401
208.5,429
209.5,366
210.5,269
211.5,287
212.5,251
213.5,245
214.5,225
215.5,228
216.5,250
217.5,214
218.5,218
219.5,223
220.5,226
221.5,196
222.5,233
223.5,232
224.5,224
225.5,220
226.5,185
227.5,171
228.5,182
229.5,192
230.5,203
231.5,191
232.5,214
233.5,185
234.5,160
235.5,156
236.5,169
237.5,163
238.5,181
239.5,187
240.5,188
241.5,176
242.5,146
243.5,126
244.5,117
245.5,127
246.5,140
247.5,131
248.5,139
249.5,139
250.5,164
251.5,133
252.5,148
253.5,125
254.5,141
255.5,112
256.5,116
257.5,99
258.5,112
259.5,123
260.5,147
261.5,116
262.5,121
263.5,127
264.5,116
265.5,129
266.5,122
267.5,115
268.5,119
269.5,109
270.5,176
271.5,208
272.5,169
273.5,192
274.5,103
275.5,101
276.5,109
277.5,102
278.5,103
279.5,105
280.5,105
281.5,92
282.5,98
283.5,90
284.5,91
285.5,88
286.5,86
287.5,90
288.5,101
289.5,86
290.5,83
291.5,70
292.5,66
293.5,80
294.5,95
295.5,94
296.5,85
297.5,69
298.5,87
299.5,76
300.5,76
301.5,88
302.5,70
303.5,71
304.5,83
305.5,84
306.5,78
307.5,84
308.5,71
309.5,85
310.5,93
311.5,80
312.5,68
313.5,57
314.5,73
315.5,70
316.5,56
317.5,73
318.5,66
319.5,48
320.5,57
321.5,63
322.5,45
323.5,48
324.5,62
325.5,47
326.5,105
327.5,136
328.5,118
329.5,110
330.5,62
331.5,62
332.5,70
333.5,67
334.5,39
335.5,47
336.5,50
337.5,45
338.5,228
339.5,260
340.5,248
341.5,237
342.5,39
343.5,55
344.5,37
345.5,35
346.5,44
347.5,49
348.5,40
349.5,43
350.5,47
351.5,36
352.5,49
353.5,33
354.5,35
355.5,45
356.5,31
357.5,24
358.5,50
359.5,38
360.5,44
361.5,34
362.5,30
363.5,29
364.5,39
365.5,27
366.5,30
367.5,35
368.5,27
369.5,41
370.5,27
371.5,29
372.5,31
373.5,46
374.5,42
375.5,29
376.5,39
377.5,42
378.5,34
379.5,24
380.5,33
381.5,28
382.5,38
383.5,35
384.5,35
385.5,33
386.5,26
387.5,43
388.5,39
389.5,25
390.5,30
391.5,35
392.5,34
393.5,32
394.5,33
395.5,35
396.5,26
397.5,32
398.5,31
399.5,26
400.5,27
401.5,27
402.5,21
403.5,30
404.5,25
405.5,36
406.5,42
407.5,43
408.5,38
409.5,50
410.5,34
411.5,38
412.5,25
413.5,30
414.5,27
415.5,40
416.5,34
417.5,33
418.5,26
419.5,31
420.5,24
421.5,41
422.5,21
423.5,27
424.5,26
425.5,14
426.5,21
427.5,27
428.5,20
429.5,27
430.5,37
431.5,20
432.5,18
433.5,22
434.5,22
435.5,26
436.5,21
437.5,28
438.5,30
439.5,28
440.5,28
441.5,23
442.5,17
443.5,39
444.5,22
445.5,21
446.5,19
447.5,19
448.5,30
449.5,22
450.5,24
451.5,15
452.5,23
453.5,24
454.5,17
455.5,31
456.5,20
457.5,17
458.5,24
459.5,32
460.5,22
461.5,17
462.5,46
463.5,51
464.5,44
465.5,57
466.5,17
467.5,22
468.5,14
469.5,17
470.5,27
471.5,19
472.5,19
473.5,19
474.5,27
475.5,17
476.5,21
477.5,12
478.5,18
479.5,37
480.5,30
481.5,28
482.5,21
483.5,19
484.5,17
485.5,21
486.5,18
487.5,22
488.5,14
489.5,11
490.5,9
491.5,14
492.5,20
493.5,16
494.5,17
495.5,18
496.5,18
497.5,24
498.5,23
499.5,19
500.5,16
501.5,18
502.5,20
503.5,18
504.5,22
505.5,31
506.5,32
507.5,23
508.5,16
509.5,18
510.5,13
511.5,17
512.5,23
513.5,25
514.5,13
515.5,17
516.5,19
517.5,16
518.5,13
519.5,18
520.5,13
521.5,16
522.5,19
523.5,26
524.5,16
525.5,13
526.5,17
527.5,16
528.5,20
529.5,12
530.5,16
531.5,19
532.5,12
533.5,21
534.5,20
535.5,8
536.5,13
537.5,20
538.5,12
539.5,14
540.5,16
541.5,17
542.5,16
543.5,12
544.5,12
545.5,16
546.5,26
547.5,17
548.5,18
549.5,14
550.5,14
551.5,14
552.5,21
553.5,21
554.5,12
555.5,12
556.5,17
557.5,8
558.5,15
