# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 348.0316
# N_primaries = 30000000
# N_with_signal = 173775
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,1,0,83,0,1,0,0,0,0,10,0
1.5,2,0,143,0,6,0,0,0,0,6,0
2.5,1,0,157,0,6,0,0,0,0,4,0
3.5,2,0,144,0,5,0,0,0,0,6,0
4.5,4,0,127,0,7,0,0,0,0,8,0
5.5,7,0,157,0,29,0,0,0,0,10,0
6.5,14,0,152,2,28,0,0,0,0,5,0
7.5,4,0,142,2,28,0,0,0,0,7,0
8.5,9,0,156,0,26,0,0,0,0,5,0
9.5,5,0,146,3,44,0,0,0,0,5,0
10.5,10,0,167,2,35,0,0,0,0,5,0
11.5,11,0,137,3,39,0,0,0,0,44,0
12.5,15,0,159,0,48,0,0,0,0,6,0
13.5,15,0,161,4,61,0,0,0,0,10,0
14.5,32,0,167,3,54,0,0,0,0,4,0
15.5,27,0,134,3,73,0,0,0,0,1,0
16.5,52,0,133,7,61,0,0,0,0,4,0
17.5,36,0,140,4,71,0,0,0,0,6,0
18.5,11,0,145,2,94,0,0,0,0,6,0
19.5,11,0,127,1,111,0,0,0,0,2,0
20.5,11,0,149,3,96,0,0,0,0,5,0
21.5,14,0,135,4,117,1,0,0,0,3,0
22.5,2,0,129,7,115,0,0,0,0,2,0
23.5,14,0,168,3,131,0,0,0,0,3,0
24.5,3,0,135,5,162,0,0,0,0,3,0
25.5,3,0,125,4,145,0,0,0,0,1,0
26.5,6,0,113,4,175,1,0,0,0,1,0
27.5,8,0,111,4,157,3,0,0,0,3,0
28.5,8,0,112,6,176,0,0,0,0,0,0
29.5,11,0,102,4,169,1,0,0,0,1,0
30.5,12,0,88,5,166,0,0,0,0,3,0
31.5,11,0,128,6,159,0,0,0,0,1,0
32.5,7,0,107,3,179,1,0,0,0,2,0
33.5,10,0,118,5,183,1,0,0,0,1,0
34.5,31,1,111,9,162,1,0,0,0,3,0
35.5,48,0,109,5,206,0,0,0,0,2,0
36.5,50,0,116,10,177,0,0,0,0,5,0
37.5,60,0,93,6,178,0,0,0,0,1,0
38.5,97,0,101,7,187,0,0,0,0,0,0
39.5,68,0,97,5,144,1,0,0,0,3,0
40.5,82,0,116,5,172,0,0,0,0,2,0
41.5,76,1,110,4,154,0,0,0,0,3,0
42.5,161,3,109,5,179,0,0,0,0,2,0
43.5,167,1,91,6,148,0,0,0,0,2,0
44.5,171,0,105,3,174,0,0,0,0,2,0
45.5,192,1,102,8,180,1,0,0,0,2,0
46.5,296,0,104,5,167,0,0,0,0,0,0
47.5,268,1,83,7,181,0,0,0,0,0,0
48.5,304,2,98,5,155,1,0,0,0,1,0
49.5,292,3,81,3,171,2,0,0,0,0,0
50.5,442,7,88,8,136,1,0,0,0,2,0
51.5,469,5,97,3,118,0,0,0,0,3,0
52.5,477,3,82,4,131,0,0,0,0,2,0
53.5,464,3,79,5,153,2,0,0,0,2,0
54.5,746,5,88,7,143,1,0,0,0,4,0
55.5,706,8,101,4,123,1,0,0,0,1,0
56.5,741,9,82,5,138,1,0,0,0,1,0
57.5,727,10,81,7,138,0,0,0,0,3,0
58.5,874,14,77,5,137,0,0,0,0,0,0
59.5,904,10,93,4,111,2,0,0,0,1,0
60.5,869,11,92,3,137,0,0,0,0,3,0
61.5,866,12,79,4,116,2,0,0,0,3,0
62.5,916,16,77,5,147,2,0,0,0,2,0
63.5,927,15,79,4,110,1,0,0,0,0,0
64.5,912,12,79,7,124,1,0,0,0,4,0
65.5,916,7,74,4,93,1,0,0,0,3,0
66.5,1086,22,59,2,85,0,0,0,0,1,0
67.5,1100,21,76,1,104,0,0,0,0,2,0
68.5,1083,17,55,6,100,0,0,0,0,2,0
69.5,1042,16,76,3,90,2,0,0,0,2,0
70.5,1185,28,72,5,102,1,0,0,0,2,0
71.5,1153,31,65,3,101,2,0,0,0,1,0
72.5,1173,24,76,7,86,1,0,0,0,2,0
73.5,1206,25,63,10,97,2,0,0,0,2,0
74.5,1216,25,43,6,78,0,0,0,0,0,0
75.5,1216,28,69,5,76,3,0,0,0,1,0
76.5,1211,30,47,6,70,0,0,0,0,2,0
77.5,1170,31,60,5,77,0,0,0,0,2,0
78.5,1264,23,66,4,78,1,0,0,0,3,0
79.5,1244,34,65,3,84,0,0,0,0,1,0
80.5,1252,42,65,4,74,2,0,0,0,1,0
81.5,1226,39,67,6,58,1,0,0,0,4,0
82.5,1288,37,60,4,67,0,0,0,0,4,0
83.5,1309,38,60,6,69,0,0,0,0,5,0
84.5,1174,35,66,9,76,0,0,0,0,3,0
85.5,1165,43,52,7,65,0,0,0,0,1,0
86.5,1215,47,60,5,58,0,0,0,0,0,0
87.5,1191,59,55,8,61,3,0,0,0,2,0
88.5,1261,36,62,6,48,1,0,0,0,0,0
89.5,1141,57,46,9,59,0,0,0,0,4,0
90.5,1453,60,53,1,56,0,0,0,0,2,0
91.5,1517,56,56,8,51,0,0,0,0,3,0
92.5,1479,50,60,5,50,2,0,0,0,0,0
93.5,1396,68,63,3,42,0,0,0,0,1,0
94.5,1052,49,57,6,41,2,0,0,0,1,0
95.5,1019,47,43,8,39,0,0,0,0,3,0
96.5,992,53,44,2,61,0,0,0,0,0,0
97.5,1035,46,56,5,53,2,0,0,0,1,0
98.5,1067,61,61,4,53,2,0,0,0,0,0
99.5,1101,63,61,6,50,0,0,0,0,3,0
100.5,1115,61,46,8,42,1,0,0,0,4,0
101.5,1088,72,40,4,35,0,0,0,0,1,0
102.5,978,42,52,7,49,1,0,0,0,1,0
103.5,1009,50,52,9,35,1,0,0,0,1,0
