# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 370.0333
# N_primaries = 30000000
# N_with_signal = 170132
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,99
1.5,162
2.5,140
3.5,150
4.5,187
5.5,177
6.5,209
7.5,255
8.5,258
9.5,202
10.5,234
11.5,298
12.5,231
13.5,276
14.5,245
15.5,248
16.5,247
17.5,267
18.5,278
19.5,256
20.5,270
21.5,267
22.5,281
23.5,278
24.5,295
25.5,302
26.5,259
27.5,263
28.5,349
29.5,353
30.5,296
31.5,334
32.5,356
33.5,335
34.5,305
35.5,339
36.5,315
37.5,308
38.5,653
39.5,644
40.5,352
41.5,342
42.5,410
43.5,405
44.5,502
45.5,619
46.5,582
47.5,587
48.5,718
49.5,753
50.5,596
51.5,613
52.5,837
53.5,813
54.5,850
55.5,857
56.5,815
57.5,792
58.5,793
59.5,797
60.5,999
61.5,1006
62.5,1034
63.5,1010
64.5,1220
65.5,1168
66.5,1218
67.5,1171
68.5,1187
69.5,1200
70.5,1648
71.5,1670
72.5,1693
73.5,1644
74.5,1197
75.5,1162
76.5,1229
77.5,1180
78.5,1195
79.5,1202
80.5,1376
81.5,1393
82.5,1969
83.5,2014
84.5,1493
85.5,1491
86.5,1237
87.5,1182
88.5,1258
89.5,1255
90.5,1322
91.5,1406
92.5,1185
93.5,1132
94.5,1354
95.5,1367
96.5,1347
97.5,1307
98.5,1293
99.5,1306
100.5,1472
101.5,1480
102.5,1118
103.5,1224
104.5,1054
105.5,1044
106.5,1048
107.5,998
108.5,795
109.5,865
110.5,950
111.5,909
112.5,859
113.5,823
114.5,926
115.5,959
116.5,832
117.5,855
118.5,755
119.5,818
120.5,824
121.5,850
122.5,940
123.5,976
124.5,1050
125.5,1054
126.5,520
127.5,515
128.5,610
129.5,578
130.5,846
131.5,765
132.5,748
133.5,734
134.5,898
135.5,912
136.5,716
137.5,724
138.5,755
139.5,734
140.5,828
141.5,752
142.5,612
143.5,628
144.5,550
145.5,521
146.5,474
147.5,460
148.5,629
149.5,590
150.5,645
151.5,620
152.5,630
153.5,670
154.5,586
155.5,582
156.5,536
157.5,508
158.5,415
159.5,414
160.5,510
161.5,482
162.5,448
163.5,415
164.5,523
165.5,554
166.5,431
167.5,422
168.5,483
169.5,491
170.5,429
171.5,431
172.5,327
173.5,301
174.5,364
175.5,327
176.5,376
177.5,399
178.5,373
179.5,359
180.5,392
181.5,396
182.5,580
183.5,593
184.5,375
185.5,414
186.5,294
187.5,317
188.5,383
189.5,359
190.5,465
191.5,449
192.5,330
193.5,325
194.5,351
195.5,353
196.5,328
197.5,364
198.5,344
199.5,309
200.5,217
201.5,231
202.5,346
203.5,396
204.5,142
205.5,140
206.5,338
207.5,321
208.5,321
209.5,323
210.5,293
211.5,280
212.5,230
213.5,260
214.5,244
215.5,242
216.5,304
217.5,289
218.5,226
219.5,225
220.5,253
221.5,270
222.5,199
223.5,242
224.5,173
225.5,195
226.5,284
227.5,279
228.5,247
229.5,233
230.5,193
231.5,183
232.5,160
233.5,137
234.5,153
235.5,154
236.5,106
237.5,98
238.5,174
239.5,182
240.5,203
241.5,200
242.5,136
243.5,114
244.5,145
245.5,141
246.5,89
247.5,82
248.5,159
249.5,139
250.5,151
251.5,135
252.5,95
253.5,83
254.5,110
255.5,116
256.5,121
257.5,93
258.5,123
259.5,141
260.5,80
261.5,67
262.5,83
263.5,84
264.5,89
265.5,99
266.5,80
267.5,107
268.5,78
269.5,105
270.5,76
271.5,70
272.5,154
273.5,174
274.5,88
275.5,82
276.5,140
277.5,118
278.5,108
279.5,89
280.5,158
281.5,137
282.5,57
283.5,60
284.5,111
285.5,112
286.5,155
287.5,175
288.5,224
289.5,202
290.5,111
291.5,117
292.5,68
293.5,63
294.5,58
295.5,50
296.5,75
297.5,86
298.5,134
299.5,140
300.5,91
301.5,88
302.5,79
303.5,84
304.5,48
305.5,53
306.5,48
307.5,52
308.5,61
309.5,65
310.5,71
311.5,57
312.5,97
313.5,98
314.5,71
315.5,90
316.5,96
317.5,63
318.5,66
319.5,64
320.5,82
321.5,82
322.5,34
323.5,35
324.5,45
325.5,41
326.5,120
327.5,111
328.5,58
329.5,61
330.5,40
331.5,34
332.5,84
333.5,82
334.5,56
335.5,54
336.5,34
337.5,34
338.5,76
339.5,80
340.5,45
341.5,51
342.5,55
343.5,45
344.5,36
345.5,30
346.5,31
347.5,23
348.5,38
349.5,32
350.5,53
351.5,56
352.5,37
353.5,58
354.5,36
355.5,42
356.5,32
357.5,42
358.5,59
359.5,51
360.5,52
361.5,53
362.5,47
363.5,42
364.5,61
365.5,41
366.5,26
367.5,29
368.5,37
369.5,43
370.5,52
371.5,49
372.5,44
373.5,44
374.5,41
375.5,54
376.5,33
377.5,31
378.5,26
379.5,31
380.5,41
381.5,25
382.5,32
383.5,23
384.5,35
385.5,37
386.5,56
387.5,61
388.5,47
389.5,48
390.5,45
391.5,54
392.5,23
393.5,18
394.5,27
395.5,23
396.5,28
397.5,38
398.5,28
399.5,34
400.5,19
401.5,25
402.5,51
403.5,39
404.5,19
405.5,26
406.5,30
407.5,43
408.5,34
409.5,28
410.5,30
411.5,24
412.5,49
413.5,46
414.5,57
415.5,54
416.5,34
417.5,30
418.5,28
419.5,21
420.5,30
421.5,32
422.5,30
423.5,20
424.5,25
425.5,30
426.5,53
427.5,50
428.5,43
429.5,58
430.5,29
431.5,26
432.5,25
433.5,36
434.5,26
435.5,18
436.5,22
437.5,27
438.5,25
439.5,22
440.5,33
441.5,19
442.5,25
443.5,25
444.5,21
445.5,24
446.5,32
447.5,26
448.5,26
449.5,31
450.5,35
451.5,23
452.5,95
453.5,130
454.5,33
455.5,27
456.5,30
457.5,32
458.5,28
459.5,21
460.5,36
461.5,31
462.5,34
463.5,25
464.5,26
465.5,25
466.5,32
467.5,22
468.5,23
469.5,32
470.5,43
471.5,38
472.5,27
473.5,29
474.5,22
475.5,23
476.5,23
477.5,31
478.5,19
479.5,36
480.5,26
481.5,27
482.5,26
483.5,30
484.5,30
485.5,22
486.5,17
487.5,13
488.5,22
489.5,27
490.5,20
491.5,22
492.5,24
493.5,25
494.5,16
495.5,13
496.5,19
497.5,25
498.5,19
499.5,13
500.5,29
501.5,34
502.5,27
503.5,22
504.5,18
505.5,18
506.5,39
507.5,44
508.5,17
509.5,20
510.5,41
511.5,33
512.5,28
513.5,23
514.5,16
515.5,19
516.5,21
517.5,19
518.5,38
519.5,24
520.5,26
521.5,21
522.5,28
523.5,22
524.5,16
525.5,18
526.5,21
527.5,20
528.5,24
529.5,25
530.5,20
531.5,18
532.5,23
533.5,17
534.5,25
535.5,18
536.5,15
537.5,11
538.5,21
539.5,28
540.5,15
541.5,18
542.5,10
543.5,14
544.5,8
545.5,15
546.5,18
547.5,19
548.5,13
549.5,3
550.5,17
551.5,12
552.5,10
553.5,20
554.5,14
555.5,20
556.5,10
557.5,17
558.5,14
559.5,16
560.5,18
561.5,16
562.5,17
563.5,10
564.5,17
565.5,12
566.5,8
567.5,3
568.5,10
569.5,12
570.5,15
571.5,9
572.5,12
573.5,8
574.5,21
575.5,31
576.5,21
577.5,15
578.5,9
579.5,8
580.5,9
581.5,10
582.5,12
583.5,6
584.5,5
585.5,8
586.5,6
587.5,12
588.5,3
589.5,10
590.5,15
591.5,21
592.5,18
593.5,18
594.5,5
595.5,10
596.5,15
597.5,16
598.5,27
599.5,21
600.5,6
601.5,17
602.5,10
603.5,9
604.5,3
605.5,4
606.5,9
607.5,5
608.5,9
609.5,7
610.5,11
611.5,6
612.5,11
613.5,13
614.5,7
615.5,12
616.5,15
617.5,17
618.5,12
619.5,10
620.5,6
621.5,13
622.5,10
623.5,14
624.5,11
625.5,9
626.5,6
627.5,8
628.5,12
629.5,7
630.5,10
631.5,10
632.5,10
633.5,8
634.5,4
635.5,4
636.5,9
637.5,9
638.5,7
639.5,7
640.5,9
641.5,13
642.5,9
643.5,20
644.5,9
645.5,8
646.5,9
647.5,3
648.5,4
649.5,5
650.5,2
651.5,8
652.5,9
653.5,9
654.5,2
655.5,3
656.5,10
657.5,5
658.5,9
659.5,5
660.5,7
661.5,2
662.5,5
663.5,9
664.5,10
665.5,8
666.5,1
667.5,8
668.5,6
669.5,14
670.5,2
671.5,7
672.5,3
673.5,3
674.5,10
675.5,10
676.5,9
677.5,6
678.5,10
679.5,17
680.5,4
681.5,3
682.5,8
683.5,9
684.5,7
685.5,7
686.5,2
687.5,4
688.5,6
689.5,9
690.5,3
691.5,5
692.5,9
693.5,10
694.5,5
695.5,8
696.5,7
697.5,10
698.5,5
699.5,2
700.5,5
701.5,5
702.5,7
703.5,4
704.5,6
705.5,6
706.5,2
707.5,5
708.5,5
709.5,7
710.5,6
711.5,7
712.5,12
713.5,4
714.5,5
715.5,3
716.5,7
717.5,5
718.5,8
719.5,9
720.5,8
721.5,5
722.5,12
723.5,14
724.5,6
725.5,10
726.5,622
727.5,636
728.5,2
729.5,3
730.5,2
731.5,3
732.5,4
733.5,4
734.5,1
735.5,1
736.5,1
737.5,4
738.5,3
739.5,3
740.5,1
741.5,2
742.5,2
743.5,4
744.5,2
745.5,4
746.5,1
747.5,2
748.5,3
750.5,5
751.5,1
752.5,3
753.5,5
754.5,1
755.5,1
756.5,3
757.5,3
758.5,11
759.5,5
760.5,3
761.5,2
762.5,1
763.5,3
764.5,2
765.5,1
766.5,2
767.5,3
768.5,1
769.5,3
770.5,2
771.5,3
772.5,7
773.5,5
774.5,1
775.5,1
776.5,4
778.5,3
779.5,1
780.5,1
781.5,4
782.5,2
783.5,4
784.5,84
785.5,93
786.5,2
787.5,2
788.5,4
789.5,7
791.5,2
792.5,3
793.5,1
794.5,1
795.5,1
796.5,10
797.5,10
799.5,1
800.5,3
801.5,2
802.5,3
803.5,2
806.5,3
807.5,3
808.5,6
809.5,1
811.5,1
812.5,2
814.5,3
815.5,2
816.5,2
818.5,4
819.5,4
820.5,2
821.5,2
822.5,2
823.5,2
827.5,4
828.5,3
829.5,3
830.5,1
831.5,2
832.5,5
833.5,1
834.5,4
836.5,2
838.5,3
839.5,2
840.5,1
841.5,3
842.5,4
843.5,7
844.5,2
845.5,3
846.5,3
847.5,2
848.5,2
849.5,3
850.5,1
851.5,1
852.5,2
853.5,2
854.5,1
855.5,3
856.5,1
857.5,2
858.5,1
859.5,2
