# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 370.0333
# N_primaries = 30000000
# N_with_signal = 170132
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,1,0,88,0,1,0,0,0,0,9,0
1.5,0,0,150,1,7,0,0,0,0,4,0
2.5,3,0,123,0,5,0,0,0,0,9,0
3.5,2,0,131,1,12,0,0,0,0,4,0
4.5,1,0,153,0,22,0,0,0,0,11,0
5.5,3,0,135,1,32,0,0,0,0,6,0
6.5,20,0,147,2,32,0,0,0,0,8,0
7.5,19,0,161,0,67,0,0,0,0,8,0
8.5,10,0,168,2,75,0,0,0,0,3,0
9.5,6,0,136,1,55,0,0,0,0,4,0
10.5,27,0,130,0,75,0,0,0,0,2,0
11.5,35,0,165,2,54,0,0,0,0,42,0
12.5,38,0,136,2,47,0,0,0,0,8,0
13.5,40,0,167,1,57,0,0,0,0,11,0
14.5,12,0,142,5,80,0,0,0,0,6,0
15.5,6,0,155,3,77,0,0,0,0,7,0
16.5,9,0,149,5,81,1,0,0,0,2,0
17.5,8,0,129,6,122,0,0,0,0,2,0
18.5,4,0,147,2,124,0,0,0,0,1,0
19.5,6,0,141,2,103,0,0,0,0,4,0
20.5,8,0,138,3,117,0,0,0,0,4,0
21.5,7,1,134,1,119,0,0,0,0,5,0
22.5,7,1,153,2,113,0,0,0,0,5,0
23.5,6,0,128,2,140,0,0,0,0,2,0
24.5,5,0,135,1,151,0,0,0,0,3,0
25.5,8,0,142,3,144,0,0,0,0,5,0
26.5,5,0,118,3,125,0,0,0,0,8,0
27.5,4,0,124,6,127,0,0,0,0,2,0
28.5,69,0,125,7,145,1,0,0,0,2,0
