# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 601.7894
# N_primaries = 30000000
# N_with_signal = 142458
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,89
1.5,110
2.5,136
3.5,135
4.5,140
5.5,169
6.5,148
7.5,169
8.5,179
9.5,159
10.5,161
11.5,173
12.5,175
13.5,193
14.5,207
15.5,200
16.5,182
17.5,204
18.5,223
19.5,260
20.5,233
21.5,234
22.5,284
23.5,282
24.5,239
25.5,238
26.5,264
27.5,280
28.5,256
29.5,265
30.5,306
31.5,306
32.5,280
33.5,268
34.5,265
35.5,294
36.5,274
37.5,269
38.5,273
39.5,263
40.5,262
41.5,260
42.5,328
43.5,315
44.5,375
45.5,363
46.5,431
47.5,414
48.5,496
49.5,494
50.5,655
51.5,673
52.5,508
53.5,508
54.5,707
55.5,751
56.5,716
57.5,798
58.5,960
59.5,979
60.5,973
61.5,934
62.5,816
63.5,851
64.5,859
65.5,811
66.5,898
67.5,900
68.5,910
69.5,852
70.5,1159
71.5,1190
72.5,950
73.5,851
74.5,889
75.5,912
76.5,1256
77.5,1242
78.5,939
79.5,985
80.5,879
81.5,889
82.5,839
83.5,864
84.5,871
85.5,837
86.5,1044
87.5,997
88.5,1210
89.5,1218
90.5,1213
91.5,1134
92.5,991
93.5,966
94.5,1340
95.5,1262
96.5,770
97.5,795
98.5,1101
99.5,1062
100.5,752
101.5,778
102.5,1073
103.5,1029
104.5,487
105.5,524
106.5,950
107.5,950
108.5,974
109.5,929
110.5,639
111.5,680
112.5,904
113.5,882
114.5,647
115.5,646
116.5,759
117.5,738
118.5,617
119.5,626
120.5,704
121.5,749
122.5,835
123.5,799
124.5,697
125.5,689
126.5,663
127.5,648
128.5,509
129.5,453
130.5,760
131.5,798
132.5,721
133.5,682
134.5,679
135.5,668
136.5,832
137.5,844
138.5,457
139.5,491
140.5,619
141.5,580
142.5,636
143.5,600
144.5,573
145.5,527
146.5,502
147.5,498
148.5,518
149.5,515
150.5,392
151.5,402
152.5,512
153.5,467
154.5,463
155.5,452
156.5,272
157.5,289
158.5,497
159.5,484
160.5,403
161.5,354
162.5,409
163.5,378
164.5,388
165.5,411
166.5,438
167.5,435
168.5,455
169.5,447
170.5,315
171.5,312
172.5,322
173.5,325
174.5,255
175.5,259
176.5,310
177.5,315
178.5,282
179.5,298
180.5,263
181.5,223
182.5,214
183.5,204
184.5,179
185.5,196
186.5,279
187.5,272
188.5,203
189.5,221
190.5,291
191.5,262
192.5,195
193.5,209
194.5,246
195.5,273
196.5,259
197.5,305
198.5,230
199.5,210
200.5,171
201.5,176
202.5,271
203.5,252
204.5,241
205.5,275
206.5,164
207.5,139
208.5,240
209.5,253
210.5,182
211.5,183
212.5,282
213.5,272
214.5,234
215.5,226
216.5,167
217.5,135
218.5,228
219.5,256
220.5,153
221.5,157
222.5,255
223.5,233
224.5,206
225.5,217
226.5,274
227.5,280
228.5,152
229.5,181
230.5,103
231.5,110
232.5,252
233.5,244
234.5,194
235.5,207
236.5,237
237.5,223
238.5,169
239.5,189
240.5,143
241.5,167
242.5,236
243.5,220
244.5,123
245.5,137
246.5,164
247.5,148
248.5,93
249.5,91
250.5,102
251.5,117
252.5,158
253.5,151
254.5,138
255.5,170
256.5,139
257.5,164
258.5,167
259.5,157
260.5,184
261.5,159
262.5,87
263.5,100
264.5,111
265.5,106
266.5,102
267.5,130
268.5,74
269.5,72
270.5,152
271.5,153
272.5,117
273.5,99
274.5,85
275.5,93
276.5,76
277.5,80
278.5,122
279.5,107
280.5,84
281.5,88
282.5,113
283.5,82
284.5,59
285.5,52
286.5,91
287.5,91
288.5,33
289.5,46
290.5,26
291.5,39
292.5,94
293.5,75
294.5,74
295.5,80
296.5,74
297.5,73
298.5,80
299.5,104
300.5,66
301.5,60
302.5,88
303.5,93
304.5,105
305.5,86
306.5,80
307.5,80
308.5,56
309.5,58
310.5,66
311.5,73
312.5,47
313.5,47
314.5,53
315.5,66
316.5,97
317.5,97
318.5,68
319.5,56
320.5,46
321.5,58
322.5,52
323.5,57
324.5,80
325.5,79
326.5,51
327.5,43
328.5,52
329.5,40
330.5,47
331.5,57
332.5,53
333.5,45
334.5,30
335.5,44
336.5,55
337.5,67
338.5,47
339.5,49
340.5,27
341.5,30
342.5,66
343.5,75
344.5,36
345.5,48
346.5,64
347.5,69
348.5,43
349.5,36
350.5,34
351.5,34
352.5,61
353.5,76
354.5,63
355.5,52
356.5,42
357.5,57
358.5,29
359.5,28
360.5,46
361.5,49
362.5,51
363.5,72
364.5,35
365.5,46
366.5,18
367.5,24
368.5,28
369.5,46
370.5,32
371.5,23
372.5,36
373.5,44
374.5,34
375.5,31
376.5,50
377.5,54
378.5,37
379.5,33
380.5,57
381.5,52
382.5,45
383.5,37
384.5,50
385.5,54
386.5,28
387.5,23
388.5,35
389.5,38
390.5,35
391.5,33
392.5,45
393.5,38
394.5,53
395.5,60
396.5,22
397.5,21
398.5,19
399.5,14
400.5,44
401.5,37
402.5,31
403.5,26
404.5,35
405.5,38
406.5,27
407.5,37
408.5,21
409.5,29
410.5,28
411.5,19
412.5,35
413.5,33
414.5,20
415.5,28
416.5,35
417.5,21
418.5,34
419.5,29
420.5,29
421.5,22
422.5,23
423.5,40
424.5,23
425.5,33
426.5,29
427.5,44
428.5,26
429.5,29
430.5,25
431.5,23
432.5,31
433.5,31
434.5,14
435.5,13
436.5,23
437.5,24
438.5,74
439.5,56
440.5,41
441.5,33
442.5,23
443.5,17
444.5,16
445.5,17
446.5,27
447.5,36
448.5,18
449.5,25
450.5,30
451.5,33
452.5,39
453.5,41
454.5,34
455.5,29
456.5,20
457.5,28
458.5,29
459.5,19
460.5,43
461.5,35
462.5,19
463.5,17
464.5,25
465.5,25
466.5,33
467.5,31
468.5,30
469.5,24
470.5,28
471.5,20
472.5,15
473.5,18
474.5,27
475.5,38
476.5,24
477.5,23
478.5,12
479.5,27
480.5,15
481.5,20
482.5,29
483.5,19
484.5,36
485.5,30
486.5,22
487.5,17
488.5,19
489.5,29
490.5,21
491.5,15
492.5,19
493.5,17
494.5,14
495.5,14
496.5,14
497.5,12
498.5,26
499.5,26
500.5,30
501.5,32
502.5,29
503.5,30
504.5,23
505.5,13
506.5,20
507.5,14
508.5,12
509.5,16
510.5,26
511.5,35
512.5,17
513.5,16
514.5,24
515.5,18
516.5,20
517.5,18
518.5,17
519.5,21
520.5,16
521.5,27
522.5,12
523.5,19
524.5,18
525.5,12
526.5,19
527.5,16
528.5,13
529.5,7
530.5,15
531.5,13
532.5,16
533.5,14
534.5,21
535.5,15
536.5,29
537.5,24
538.5,15
539.5,21
540.5,24
541.5,25
542.5,10
543.5,10
544.5,23
545.5,27
546.5,16
547.5,17
548.5,20
549.5,14
550.5,13
551.5,15
552.5,30
553.5,19
554.5,10
555.5,10
556.5,12
557.5,24
558.5,16
559.5,9
560.5,17
561.5,21
562.5,12
563.5,13
564.5,21
565.5,16
566.5,24
567.5,19
568.5,13
569.5,17
570.5,21
571.5,13
572.5,18
573.5,14
574.5,16
575.5,20
576.5,12
577.5,18
578.5,15
579.5,18
580.5,18
581.5,13
582.5,22
583.5,15
584.5,22
585.5,8
586.5,15
587.5,20
588.5,15
589.5,11
590.5,12
591.5,11
592.5,25
593.5,11
594.5,27
595.5,26
596.5,16
597.5,16
598.5,16
599.5,21
600.5,17
601.5,16
602.5,18
603.5,21
604.5,20
605.5,19
606.5,21
607.5,15
608.5,11
609.5,13
610.5,13
611.5,14
612.5,26
613.5,14
614.5,10
615.5,14
616.5,15
617.5,10
618.5,10
619.5,13
620.5,21
621.5,11
622.5,15
623.5,23
624.5,12
625.5,11
626.5,19
627.5,10
628.5,12
629.5,18
630.5,10
631.5,9
632.5,14
633.5,10
634.5,10
635.5,13
636.5,20
637.5,16
638.5,13
639.5,16
640.5,13
641.5,13
642.5,12
643.5,13
644.5,12
645.5,6
646.5,12
647.5,18
648.5,21
649.5,15
650.5,14
651.5,10
652.5,17
653.5,15
654.5,21
655.5,16
656.5,17
657.5,16
658.5,14
659.5,11
660.5,10
661.5,11
662.5,7
663.5,9
664.5,10
665.5,17
666.5,6
667.5,10
668.5,13
669.5,17
670.5,8
671.5,12
672.5,14
673.5,8
674.5,20
675.5,20
676.5,18
677.5,15
678.5,13
679.5,9
680.5,6
681.5,4
682.5,10
683.5,21
684.5,14
685.5,12
686.5,14
687.5,12
688.5,9
689.5,15
690.5,8
691.5,7
692.5,10
693.5,12
694.5,11
695.5,13
696.5,12
697.5,11
698.5,11
699.5,5
700.5,7
701.5,13
702.5,15
703.5,22
704.5,9
705.5,9
706.5,15
707.5,14
708.5,23
709.5,20
710.5,11
711.5,13
712.5,7
713.5,10
714.5,9
715.5,6
