# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 601.7894
# N_primaries = 30000000
# N_with_signal = 142458
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,81,0,2,0,0,0,0,6,0
1.5,1,0,97,0,4,0,0,0,0,8,0
2.5,0,0,121,2,4,0,0,0,0,9,0
3.5,2,0,117,0,7,0,0,0,0,9,0
4.5,0,0,124,0,7,0,0,0,0,9,0
5.5,7,0,141,2,8,0,0,0,0,11,0
6.5,3,0,126,1,15,0,0,0,0,3,0
7.5,7,0,134,1,17,0,0,0,0,10,0
8.5,17,0,137,1,21,1,0,0,0,2,0
9.5,19,0,111,0,20,1,0,0,0,8,0
10.5,8,0,124,0,23,0,0,0,0,6,0
11.5,2,0,108,0,29,0,0,0,0,34,0
12.5,7,0,122,6,33,0,0,0,0,7,0
13.5,4,0,121,5,53,0,0,0,0,10,0
14.5,6,0,147,2,46,0,0,0,0,6,0
15.5,6,0,110,3,70,0,0,0,0,11,0
16.5,6,0,100,3,66,0,0,0,0,7,0
17.5,6,0,117,3,77,0,0,0,0,1,0
18.5,27,0,110,2,75,1,0,0,0,8,0
19.5,40,0,125,2,91,0,0,0,0,2,0
20.5,6,0,124,2,96,1,0,0,0,4,0
21.5,3,0,105,3,117,0,0,0,0,6,0
22.5,47,1,120,1,111,0,0,0,0,4,0
23.5,45,0,112,2,119,0,0,0,0,4,0
24.5,4,0,128,4,98,0,0,0,0,5,0
25.5,4,0,100,3,125,0,0,0,0,6,0
26.5,20,1,104,2,134,0,0,0,0,3,0
27.5,20,0,103,5,144,1,0,0,0,7,0
28.5,4,0,102,3,136,0,0,0,0,11,0
29.5,9,0,115,5,132,0,0,0,0,4,0
30.5,40,1,109,3,152,1,0,0,0,0,0
31.5,40,0,115,5,138,1,0,0,0,7,0
32.5,34,0,101,6,132,0,0,0,0,7,0
33.5,32,0,103,2,128,0,0,0,0,3,0
34.5,37,0,102,3,121,1,0,0,0,1,0
35.5,52,0,106,5,125,0,0,0,0,6,0
36.5,14,0,113,5,136,0,0,0,0,6,0
37.5,18,0,100,5,140,0,0,0,0,6,0
38.5,54,0,102,1,115,0,0,0,0,1,0
39.5,48,0,81,4,128,0,0,0,0,2,0
40.5,44,1,80,3,132,0,0,0,0,2,0
41.5,38,1,82,5,127,1,0,0,0,6,0
42.5,105,0,93,3,119,0,0,0,0,8,0
43.5,84,2,86,4,137,0,0,0,0,2,0
