# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 1000.0000
# N_primaries = 30000000
# N_with_signal = 49086
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,53
1.5,59
2.5,67
3.5,66
4.5,64
5.5,78
6.5,63
7.5,56
8.5,67
9.5,69
10.5,68
11.5,68
12.5,58
13.5,80
14.5,74
15.5,76
16.5,65
17.5,76
18.5,73
19.5,68
20.5,51
21.5,64
22.5,70
23.5,55
24.5,61
25.5,79
26.5,64
27.5,57
28.5,58
29.5,67
30.5,61
31.5,68
32.5,61
33.5,78
34.5,69
35.5,69
36.5,44
37.5,74
38.5,68
39.5,60
40.5,73
41.5,80
42.5,55
43.5,65
44.5,72
45.5,63
46.5,58
47.5,63
48.5,47
49.5,81
50.5,63
51.5,53
52.5,52
53.5,65
54.5,61
55.5,65
56.5,60
57.5,65
58.5,59
59.5,64
60.5,52
61.5,65
62.5,66
63.5,64
64.5,47
65.5,54
66.5,45
67.5,58
68.5,66
69.5,66
70.5,60
71.5,65
72.5,64
73.5,57
74.5,53
75.5,44
76.5,64
77.5,51
78.5,50
79.5,52
80.5,68
81.5,49
82.5,67
83.5,43
84.5,57
85.5,64
86.5,46
87.5,75
88.5,55
89.5,60
90.5,64
91.5,67
92.5,61
93.5,61
94.5,66
95.5,54
96.5,64
97.5,56
98.5,61
99.5,59
100.5,58
101.5,58
102.5,50
103.5,60
104.5,53
105.5,69
106.5,53
107.5,56
108.5,56
109.5,51
110.5,79
111.5,50
112.5,56
113.5,60
114.5,57
115.5,55
116.5,63
117.5,48
118.5,45
119.5,57
120.5,56
121.5,56
122.5,60
123.5,65
124.5,68
125.5,68
126.5,69
127.5,53
128.5,49
129.5,47
130.5,66
131.5,55
132.5,70
133.5,45
134.5,50
135.5,62
136.5,50
137.5,65
138.5,46
139.5,45
140.5,53
141.5,49
142.5,59
143.5,59
144.5,53
145.5,61
146.5,56
147.5,49
148.5,64
149.5,58
150.5,59
151.5,49
152.5,48
153.5,54
154.5,58
155.5,54
156.5,68
157.5,56
158.5,48
159.5,47
160.5,49
161.5,69
162.5,51
163.5,53
164.5,53
165.5,64
166.5,55
167.5,50
168.5,52
169.5,52
170.5,41
171.5,51
172.5,60
173.5,52
174.5,49
175.5,58
176.5,51
177.5,47
178.5,55
179.5,60
180.5,45
181.5,56
182.5,51
183.5,57
184.5,52
185.5,51
186.5,51
187.5,55
188.5,60
189.5,58
190.5,34
191.5,48
192.5,54
193.5,55
194.5,38
195.5,57
196.5,55
197.5,58
198.5,72
199.5,54
200.5,63
201.5,51
202.5,56
203.5,49
204.5,54
205.5,67
206.5,62
207.5,52
208.5,52
209.5,57
210.5,74
211.5,56
212.5,64
213.5,61
214.5,55
215.5,44
216.5,50
217.5,49
218.5,51
219.5,48
220.5,61
221.5,55
222.5,50
223.5,63
224.5,52
225.5,60
226.5,64
227.5,45
228.5,45
229.5,57
230.5,58
231.5,46
232.5,70
233.5,47
234.5,51
235.5,51
236.5,54
237.5,43
238.5,55
239.5,47
240.5,61
241.5,60
242.5,47
243.5,58
244.5,45
245.5,54
246.5,58
247.5,50
248.5,47
249.5,41
250.5,45
251.5,48
252.5,50
253.5,53
254.5,45
255.5,47
256.5,40
257.5,45
258.5,57
259.5,61
260.5,47
261.5,40
262.5,45
263.5,51
264.5,51
265.5,44
266.5,47
267.5,55
268.5,52
269.5,39
270.5,54
271.5,61
272.5,45
273.5,64
274.5,44
275.5,53
276.5,44
277.5,57
278.5,50
279.5,59
280.5,56
281.5,55
282.5,52
283.5,51
284.5,46
285.5,63
286.5,47
287.5,48
288.5,44
289.5,41
290.5,47
291.5,54
292.5,50
293.5,48
294.5,37
295.5,47
296.5,48
297.5,42
298.5,50
299.5,45
300.5,37
301.5,44
302.5,54
303.5,46
304.5,45
305.5,45
306.5,53
307.5,53
308.5,36
309.5,57
310.5,44
311.5,53
312.5,47
313.5,44
314.5,41
315.5,51
316.5,40
317.5,44
318.5,41
319.5,53
320.5,49
321.5,43
322.5,52
323.5,50
324.5,40
325.5,45
326.5,51
327.5,42
328.5,43
329.5,45
330.5,45
331.5,44
332.5,45
333.5,57
334.5,51
335.5,49
336.5,50
337.5,42
338.5,47
339.5,43
340.5,43
341.5,62
342.5,37
343.5,41
344.5,36
345.5,55
346.5,52
347.5,42
348.5,40
349.5,43
350.5,43
351.5,50
352.5,60
353.5,38
354.5,41
355.5,46
356.5,49
357.5,44
358.5,43
359.5,48
360.5,40
361.5,40
362.5,51
363.5,49
364.5,42
365.5,55
366.5,55
367.5,36
368.5,41
369.5,40
370.5,45
371.5,41
372.5,53
373.5,41
374.5,40
375.5,40
376.5,40
377.5,54
378.5,42
379.5,35
380.5,38
381.5,44
382.5,42
383.5,60
384.5,48
385.5,52
386.5,57
387.5,39
388.5,42
389.5,44
390.5,50
391.5,44
392.5,39
393.5,41
394.5,42
395.5,46
396.5,46
397.5,48
398.5,40
399.5,36
400.5,48
401.5,41
402.5,48
403.5,40
404.5,40
405.5,53
406.5,44
407.5,54
408.5,53
409.5,52
410.5,53
411.5,40
412.5,41
413.5,40
414.5,41
415.5,43
416.5,47
417.5,47
418.5,39
419.5,52
420.5,45
421.5,34
422.5,32
423.5,36
424.5,45
425.5,46
426.5,44
427.5,47
428.5,46
429.5,51
430.5,31
431.5,54
432.5,40
433.5,44
434.5,48
435.5,56
436.5,40
437.5,45
438.5,51
439.5,53
440.5,39
441.5,32
442.5,51
443.5,40
444.5,36
445.5,31
446.5,49
447.5,45
448.5,56
449.5,50
450.5,42
451.5,39
452.5,48
453.5,39
454.5,62
455.5,48
456.5,58
457.5,35
458.5,49
459.5,33
460.5,43
461.5,39
462.5,37
463.5,42
464.5,46
465.5,39
466.5,53
467.5,31
468.5,49
469.5,36
470.5,49
471.5,40
472.5,41
473.5,49
474.5,47
475.5,30
476.5,40
477.5,34
478.5,43
479.5,40
480.5,45
481.5,46
482.5,46
483.5,44
484.5,37
485.5,43
486.5,31
487.5,40
488.5,42
489.5,36
490.5,49
491.5,59
492.5,50
493.5,47
494.5,41
495.5,51
496.5,40
497.5,52
498.5,48
499.5,40
500.5,42
501.5,40
502.5,32
503.5,50
504.5,41
505.5,41
506.5,44
507.5,34
508.5,44
509.5,36
510.5,39
511.5,49
512.5,45
513.5,47
514.5,58
515.5,51
516.5,53
517.5,51
518.5,46
519.5,50
520.5,44
521.5,43
522.5,37
523.5,47
524.5,37
525.5,37
526.5,37
527.5,39
528.5,49
529.5,47
530.5,46
531.5,50
532.5,43
533.5,50
534.5,31
535.5,48
536.5,51
537.5,59
538.5,44
539.5,40
540.5,51
541.5,44
542.5,33
543.5,61
544.5,44
545.5,44
546.5,37
547.5,36
548.5,46
549.5,45
550.5,40
551.5,53
552.5,40
553.5,38
554.5,42
555.5,42
556.5,40
557.5,49
558.5,50
559.5,48
560.5,35
561.5,32
562.5,52
563.5,54
564.5,48
565.5,48
566.5,48
567.5,42
568.5,32
569.5,47
570.5,41
571.5,47
572.5,49
573.5,41
574.5,44
575.5,40
576.5,41
577.5,53
578.5,39
579.5,49
580.5,43
581.5,53
582.5,42
583.5,34
584.5,52
585.5,44
586.5,39
587.5,39
588.5,59
589.5,50
590.5,42
591.5,44
592.5,41
593.5,49
594.5,45
595.5,47
596.5,47
597.5,52
598.5,46
599.5,39
600.5,44
601.5,49
602.5,39
603.5,40
604.5,36
605.5,41
606.5,46
607.5,46
608.5,56
609.5,45
610.5,48
611.5,53
612.5,43
613.5,37
614.5,47
615.5,45
616.5,44
617.5,40
618.5,36
619.5,45
620.5,55
621.5,40
622.5,43
623.5,45
624.5,40
625.5,45
626.5,58
627.5,48
628.5,47
629.5,65
630.5,47
631.5,44
632.5,64
633.5,47
634.5,35
635.5,41
636.5,43
637.5,51
638.5,37
639.5,55
640.5,56
641.5,60
642.5,56
643.5,32
644.5,45
645.5,51
646.5,60
647.5,50
648.5,43
649.5,44
650.5,41
651.5,46
652.5,36
653.5,47
654.5,53
655.5,44
656.5,52
657.5,47
658.5,52
659.5,54
660.5,58
661.5,52
662.5,43
663.5,42
664.5,60
665.5,57
666.5,49
667.5,52
668.5,62
669.5,43
670.5,53
671.5,52
672.5,69
673.5,54
674.5,57
675.5,47
676.5,44
677.5,47
678.5,42
679.5,52
680.5,79
681.5,49
682.5,44
683.5,53
684.5,59
685.5,59
686.5,57
687.5,50
688.5,49
689.5,45
690.5,52
691.5,57
692.5,49
693.5,46
694.5,58
695.5,51
696.5,58
697.5,47
698.5,74
699.5,55
700.5,47
701.5,55
702.5,59
703.5,57
704.5,47
705.5,40
706.5,42
707.5,41
708.5,67
709.5,59
710.5,66
711.5,52
712.5,61
713.5,56
714.5,50
715.5,54
716.5,66
717.5,43
718.5,47
719.5,67
720.5,53
721.5,70
722.5,51
723.5,58
724.5,57
725.5,59
726.5,54
727.5,51
728.5,67
729.5,64
730.5,72
731.5,54
732.5,52
733.5,68
734.5,50
735.5,69
736.5,49
737.5,60
738.5,55
739.5,62
740.5,59
741.5,67
742.5,71
743.5,66
744.5,44
745.5,68
746.5,82
747.5,87
748.5,57
749.5,59
750.5,57
751.5,69
752.5,68
753.5,65
754.5,66
755.5,51
756.5,71
757.5,78
758.5,74
759.5,70
760.5,51
761.5,69
762.5,81
763.5,61
764.5,76
765.5,64
766.5,74
767.5,56
768.5,56
769.5,63
770.5,65
771.5,67
772.5,64
773.5,64
774.5,65
775.5,72
776.5,61
777.5,73
778.5,67
779.5,74
780.5,71
781.5,62
782.5,78
783.5,76
784.5,67
785.5,56
786.5,61
787.5,65
788.5,68
789.5,68
790.5,61
791.5,70
792.5,63
793.5,48
794.5,56
795.5,44
796.5,46
797.5,32
798.5,34
799.5,20
800.5,21
801.5,33
802.5,28
803.5,22
804.5,26
805.5,16
806.5,18
807.5,20
808.5,19
809.5,23
810.5,9
811.5,18
812.5,14
813.5,13
814.5,11
815.5,13
816.5,20
817.5,9
818.5,16
819.5,11
820.5,14
821.5,14
822.5,11
823.5,14
824.5,11
825.5,13
826.5,10
827.5,17
828.5,11
829.5,9
830.5,9
831.5,7
832.5,6
833.5,10
834.5,15
835.5,8
836.5,9
837.5,10
838.5,8
839.5,8
840.5,6
841.5,10
842.5,2
843.5,10
844.5,11
845.5,11
846.5,6
847.5,10
848.5,10
849.5,8
850.5,10
851.5,7
852.5,9
853.5,11
854.5,7
855.5,8
856.5,8
857.5,4
858.5,5
859.5,4
860.5,9
861.5,9
862.5,5
863.5,2
864.5,6
865.5,7
866.5,4
867.5,7
868.5,5
869.5,4
870.5,4
871.5,1
872.5,4
873.5,4
874.5,2
875.5,3
876.5,2
877.5,1
878.5,4
879.5,5
880.5,6
881.5,4
882.5,7
883.5,3
884.5,1
885.5,1
886.5,2
887.5,1
888.5,2
889.5,3
890.5,3
891.5,3
892.5,1
893.5,7
894.5,6
896.5,1
898.5,1
901.5,4
902.5,2
903.5,1
905.5,1
907.5,1
908.5,2
909.5,1
915.5,5
916.5,1
917.5,2
919.5,1
920.5,2
921.5,1
924.5,1
925.5,2
927.5,1
928.5,3
929.5,3
930.5,1
932.5,1
934.5,1
937.5,2
939.5,1
940.5,2
942.5,1
947.5,1
949.5,1
951.5,2
956.5,1
964.5,3
965.5,4
966.5,8
967.5,16
968.5,1
969.5,59
970.5,2
971.5,48
974.5,1
975.5,1
976.5,1
977.5,1
982.5,2
984.5,1
989.5,2
997.5,2
999.5,2308
1000.5,4418
