# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 1000.0000
# N_primaries = 30000000
# N_with_signal = 49086
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,32,0,0,0,0,0,0,21,0
1.5,0,0,44,0,0,0,0,0,0,15,0
2.5,0,0,48,0,0,0,0,0,0,19,0
3.5,0,0,49,0,0,0,0,0,0,17,0
4.5,0,0,49,0,0,0,0,0,0,15,0
5.5,1,0,62,0,0,0,0,0,0,15,0
6.5,0,0,50,1,1,0,0,0,0,11,0
7.5,1,0,40,0,1,0,0,0,0,14,0
8.5,0,0,54,0,0,0,0,0,0,13,0
9.5,0,0,57,0,0,0,0,0,0,12,0
10.5,0,0,53,0,0,0,0,0,0,15,0
11.5,0,0,49,0,0,0,0,0,0,19,0
12.5,0,0,40,0,1,0,0,0,0,17,0
13.5,0,0,61,0,0,0,0,0,0,19,0
14.5,0,0,56,0,0,0,0,0,0,18,0
15.5,0,0,62,0,1,0,0,0,0,13,0
16.5,0,0,52,0,0,0,0,0,0,13,0
17.5,0,0,64,0,0,0,0,0,0,12,0
18.5,2,0,53,1,1,0,0,0,0,16,0
19.5,0,0,53,1,2,0,0,0,0,12,0
20.5,0,0,44,0,1,0,0,0,0,6,0
21.5,1,0,55,0,0,0,0,0,0,8,0
22.5,0,0,56,1,1,0,0,0,0,12,0
23.5,0,0,46,0,1,0,0,0,0,8,0
24.5,0,0,53,0,0,0,0,0,0,8,0
25.5,0,0,65,0,0,1,0,0,0,13,0
26.5,0,0,46,1,0,0,0,0,0,17,0
27.5,0,0,45,0,0,0,0,0,0,12,0
28.5,0,0,49,0,0,0,0,0,0,9,0
29.5,0,0,50,0,0,0,0,0,0,17,0
30.5,1,0,55,0,0,0,0,0,0,5,0
31.5,0,0,50,0,0,0,0,0,0,18,0
32.5,0,0,47,1,0,0,0,0,0,13,0
33.5,0,0,62,1,0,0,0,0,0,15,0
34.5,0,0,61,2,0,0,0,0,0,6,0
35.5,1,0,54,0,2,0,0,0,0,12,0
36.5,1,0,35,1,1,0,0,0,0,6,0
37.5,2,0,56,0,1,0,0,0,0,15,0
38.5,0,0,55,0,0,0,0,0,0,13,0
39.5,0,0,50,0,0,0,0,0,0,10,0
40.5,1,0,62,0,0,0,0,0,0,10,0
41.5,0,0,68,1,0,0,0,0,0,11,0
42.5,0,0,46,1,1,0,0,0,0,7,0
43.5,0,0,56,0,0,0,0,0,0,9,0
44.5,1,0,61,0,0,1,0,0,0,9,0
45.5,0,0,53,1,0,1,0,0,0,8,0
46.5,0,0,50,0,0,0,0,0,0,8,0
47.5,1,0,55,0,0,0,0,0,0,7,0
48.5,1,0,43,0,0,0,0,0,0,3,0
49.5,1,0,68,0,0,0,0,0,0,12,0
