# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 614.9044
# N_primaries = 30000000
# N_with_signal = 140192
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,61,0,3,0,0,0,0,6,0
1.5,1,0,101,0,9,0,0,0,0,11,0
2.5,0,0,103,0,3,0,0,0,0,2,0
3.5,2,0,122,1,4,0,0,0,0,9,0
4.5,4,0,99,1,9,0,0,0,0,11,0
5.5,4,0,117,2,20,0,0,0,0,12,0
6.5,10,0,148,0,19,0,0,0,0,16,0
7.5,11,0,135,0,17,0,0,0,0,6,0
8.5,11,0,131,2,24,0,0,0,0,11,0
9.5,6,0,129,1,17,0,0,0,0,9,0
10.5,18,0,139,0,23,0,0,0,0,11,0
11.5,28,0,136,2,27,0,0,0,0,31,0
12.5,29,0,107,0,29,0,0,0,0,8,0
13.5,24,0,119,3,31,0,0,0,0,9,0
14.5,31,0,113,4,57,0,0,0,0,6,0
15.5,20,0,117,2,50,0,0,0,0,8,0
16.5,24,0,122,2,69,0,0,0,0,6,0
17.5,29,0,122,2,68,0,0,0,0,7,0
18.5,35,0,124,1,100,0,0,0,0,9,0
19.5,36,0,125,6,87,0,0,0,0,4,0
20.5,43,1,132,3,94,0,0,0,0,6,0
21.5,33,0,98,5,98,0,0,0,0,5,0
22.5,38,0,120,1,110,0,0,0,0,5,0
23.5,35,0,115,3,117,0,0,0,0,7,0
24.5,36,0,111,4,99,0,0,0,0,6,0
25.5,35,0,109,4,111,0,0,0,0,6,0
26.5,29,1,97,4,136,0,0,0,0,1,0
27.5,34,0,111,2,116,0,0,0,0,2,0
28.5,34,0,95,2,134,0,0,0,0,6,0
29.5,43,0,92,6,158,0,0,0,0,5,0
30.5,52,0,106,3,145,1,0,0,0,5,0
31.5,36,1,73,7,104,0,0,0,0,10,0
32.5,31,0,79,5,119,0,0,0,0,3,0
33.5,35,0,96,2,110,0,0,0,0,4,0
34.5,28,0,90,5,128,0,0,0,0,6,0
35.5,47,0,95,3,113,0,0,0,0,6,0
36.5,40,0,84,4,118,0,0,0,0,10,0
37.5,65,0,111,4,119,0,0,0,0,2,0
38.5,58,0,102,6,123,0,0,0,0,6,0
39.5,52,0,83,2,139,0,0,0,0,4,0
40.5,34,0,91,4,109,0,0,0,0,5,0
41.5,56,0,90,4,119,1,0,0,0,2,0
42.5,75,0,83,3,137,1,0,0,0,2,0
43.5,99,2,95,5,108,0,0,0,0,3,0
44.5,134,1,91,9,104,1,0,0,0,3,0
45.5,143,0,70,7,111,0,0,0,0,2,0
46.5,196,0,81,3,121,0,0,0,0,1,0
47.5,232,1,80,4,94,0,0,0,0,3,0
48.5,287,2,60,3,115,0,0,0,0,3,0
49.5,344,2,93,4,115,1,0,0,0,3,0
50.5,415,5,83,5,108,2,0,0,0,9,0
51.5,439,6,87,4,67,1,0,0,0,3,0
52.5,398,6,63,5,72,1,0,0,0,3,0
53.5,377,5,62,5,101,0,0,0,0,5,0
54.5,478,6,71,1,81,0,0,0,0,8,0
55.5,553,6,61,2,72,2,0,0,0,4,0
56.5,571,5,71,3,101,0,0,0,0,4,0
57.5,613,2,83,8,101,0,0,0,0,5,0
58.5,679,5,58,2,103,2,0,0,0,4,0
