# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 132.2770
# N_primaries = 30000000
# N_with_signal = 237876
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,85,0,3,0,0,0,0,2,0
1.5,1,0,155,0,6,0,0,0,0,4,0
2.5,6,0,142,0,12,0,0,0,0,2,0
3.5,2,0,136,2,8,0,0,0,0,1,0
4.5,9,0,134,2,27,0,0,0,0,2,0
5.5,15,0,167,2,38,0,0,0,0,2,0
6.5,19,0,154,1,59,0,0,0,0,2,0
7.5,11,0,167,3,60,0,0,0,0,4,0
8.5,15,0,175,1,51,0,0,0,0,0,0
9.5,15,0,163,2,70,2,0,0,0,2,0
10.5,41,0,157,3,89,0,0,0,0,1,0
11.5,60,0,168,8,111,0,0,0,0,83,0
12.5,43,0,152,2,124,0,0,0,0,1,0
13.5,37,0,153,7,130,1,0,0,0,7,0
14.5,12,0,178,6,144,1,0,0,0,1,0
15.5,11,0,146,1,155,0,0,0,0,1,0
16.5,8,0,154,0,161,0,0,0,0,0,0
17.5,13,1,141,4,174,1,0,0,0,1,0
18.5,9,0,146,4,196,0,0,0,0,2,0
19.5,8,0,141,5,238,0,0,0,0,1,0
20.5,8,0,137,4,264,0,0,0,0,1,0
21.5,8,0,107,7,270,0,0,0,0,2,0
22.5,8,0,117,4,277,0,0,0,0,0,0
23.5,6,0,118,2,291,0,0,0,0,0,0
24.5,8,0,114,4,280,0,0,0,0,2,0
25.5,2,1,115,4,312,0,0,0,0,1,0
26.5,24,0,112,2,368,1,0,0,0,0,0
27.5,23,0,117,4,348,0,0,0,0,0,0
28.5,10,0,101,6,377,0,0,0,0,0,0
29.5,7,0,103,3,400,0,0,0,0,0,0
30.5,10,0,112,9,384,0,0,0,0,1,0
31.5,10,0,109,5,368,1,0,0,0,1,0
32.5,32,0,95,4,365,1,0,0,0,2,0
33.5,60,1,97,4,389,2,0,0,0,0,0
34.5,63,1,95,4,391,1,0,0,0,2,0
35.5,51,0,81,8,353,1,0,0,0,1,0
36.5,90,1,113,7,367,0,0,0,0,0,0
37.5,104,0,100,7,392,0,0,0,0,0,0
38.5,123,0,89,3,385,1,0,0,0,1,0
39.5,170,0,84,12,376,1,0,0,0,1,0
40.5,216,0,101,2,392,1,0,0,0,2,0
41.5,240,0,78,5,344,0,0,0,0,0,0
42.5,376,1,81,10,386,3,0,0,0,0,0
43.5,384,3,80,4,482,1,0,0,0,0,0
44.5,474,4,90,6,497,0,0,0,0,0,0
45.5,510,1,87,10,577,2,0,0,0,1,0
46.5,542,6,95,8,622,1,0,0,0,1,0
47.5,501,1,70,7,397,0,0,0,0,0,0
48.5,732,7,67,9,423,1,0,0,0,2,0
49.5,676,6,78,9,303,1,0,0,0,0,0
50.5,1110,10,58,5,213,0,0,0,0,0,0
51.5,1085,12,58,1,228,0,0,0,0,0,0
52.5,1172,9,63,7,233,1,0,0,0,0,0
53.5,1198,8,57,3,198,1,0,0,0,0,0
54.5,1320,18,69,7,195,2,0,0,0,0,0
55.5,1290,11,71,7,219,4,0,0,0,1,0
56.5,1854,9,69,7,248,0,0,0,0,0,0
