# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 175.9683
# N_primaries = 30000000
# N_with_signal = 211475
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,110
1.5,187
2.5,186
3.5,191
4.5,190
5.5,254
6.5,246
7.5,233
8.5,244
9.5,264
10.5,254
11.5,332
12.5,276
13.5,287
14.5,289
15.5,311
16.5,336
17.5,323
18.5,295
19.5,316
20.5,310
21.5,359
22.5,365
23.5,373
24.5,370
25.5,384
26.5,423
27.5,402
28.5,404
29.5,403
30.5,399
31.5,433
32.5,361
33.5,450
34.5,425
35.5,412
36.5,432
37.5,482
38.5,570
39.5,559
40.5,532
41.5,486
42.5,641
43.5,622
44.5,717
45.5,742
46.5,925
47.5,910
48.5,852
49.5,824
50.5,1075
51.5,1058
52.5,1185
53.5,1181
54.5,1135
55.5,1183
56.5,1400
57.5,1380
58.5,1624
59.5,1567
60.5,1718
61.5,1722
62.5,1580
63.5,1556
64.5,1892
65.5,1881
66.5,1669
67.5,1753
68.5,1889
69.5,1750
70.5,2017
71.5,2024
72.5,1773
73.5,1795
74.5,2842
75.5,2867
76.5,3391
77.5,3432
78.5,1558
79.5,1607
80.5,1610
81.5,1648
82.5,1709
83.5,1684
84.5,1249
85.5,1248
86.5,2300
87.5,2304
88.5,1614
89.5,1609
90.5,1494
91.5,1519
92.5,1393
93.5,1331
94.5,1416
95.5,1403
96.5,1299
97.5,1314
98.5,1467
99.5,1484
100.5,1349
101.5,1407
102.5,1575
103.5,1526
104.5,1429
105.5,1405
106.5,1350
107.5,1357
108.5,1405
109.5,1478
110.5,1242
111.5,1223
112.5,1380
113.5,1244
114.5,1174
115.5,1136
116.5,1005
117.5,959
118.5,1176
119.5,1138
120.5,885
121.5,877
122.5,1029
123.5,1017
124.5,1000
125.5,966
126.5,984
127.5,1021
128.5,893
129.5,826
130.5,825
131.5,820
132.5,1007
133.5,936
134.5,926
135.5,912
136.5,809
137.5,778
138.5,872
139.5,877
140.5,859
141.5,925
142.5,913
143.5,891
144.5,784
145.5,786
146.5,844
147.5,858
148.5,775
149.5,797
150.5,829
151.5,911
152.5,815
153.5,744
154.5,743
155.5,725
156.5,637
157.5,618
158.5,670
159.5,662
160.5,637
161.5,681
162.5,633
163.5,644
164.5,599
165.5,552
166.5,567
167.5,568
168.5,589
169.5,521
170.5,471
171.5,461
172.5,473
173.5,438
174.5,506
175.5,567
176.5,443
177.5,448
178.5,396
179.5,385
180.5,447
181.5,472
182.5,412
183.5,421
184.5,360
185.5,384
186.5,341
187.5,311
188.5,378
189.5,411
190.5,387
191.5,365
192.5,337
193.5,319
194.5,394
195.5,352
196.5,342
197.5,325
198.5,252
199.5,319
200.5,293
201.5,317
202.5,271
203.5,309
204.5,276
205.5,292
206.5,318
207.5,336
208.5,277
209.5,285
210.5,250
211.5,241
212.5,215
213.5,215
214.5,280
215.5,255
216.5,220
217.5,211
218.5,244
219.5,232
220.5,161
221.5,167
222.5,192
223.5,170
224.5,155
225.5,178
226.5,178
227.5,178
228.5,176
229.5,204
230.5,195
231.5,173
232.5,189
233.5,158
234.5,238
235.5,230
236.5,132
237.5,134
238.5,196
239.5,189
240.5,1091
241.5,1116
242.5,162
243.5,187
244.5,136
245.5,128
246.5,122
247.5,137
248.5,192
249.5,206
250.5,130
251.5,112
252.5,142
253.5,156
254.5,126
255.5,141
256.5,159
257.5,133
258.5,175
259.5,193
260.5,105
261.5,97
262.5,113
263.5,130
264.5,136
265.5,115
266.5,120
267.5,147
268.5,89
