# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 118.3572
# N_primaries = 30000000
# N_with_signal = 250706
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,83
1.5,134
2.5,126
3.5,163
4.5,142
5.5,216
6.5,199
7.5,202
8.5,182
9.5,217
10.5,208
11.5,302
12.5,229
13.5,250
14.5,253
15.5,309
16.5,224
17.5,294
18.5,314
19.5,270
20.5,296
21.5,339
22.5,367
23.5,376
24.5,408
25.5,438
26.5,419
27.5,426
28.5,390
29.5,428
30.5,406
31.5,429
32.5,471
33.5,421
34.5,434
35.5,570
36.5,590
37.5,505
38.5,567
39.5,563
40.5,696
41.5,605
42.5,654
43.5,629
44.5,587
45.5,572
46.5,1028
47.5,1047
48.5,830
49.5,871
50.5,1018
51.5,939
52.5,1720
53.5,1708
54.5,1829
55.5,1826
56.5,1923
57.5,1860
58.5,1350
59.5,1477
60.5,1975
61.5,1988
62.5,2281
63.5,2359
64.5,2053
65.5,1989
66.5,3906
67.5,3993
68.5,2210
69.5,2103
70.5,3202
71.5,3071
72.5,2063
73.5,1976
74.5,2591
75.5,2666
76.5,2396
77.5,2308
78.5,2168
79.5,2249
80.5,4930
81.5,4798
82.5,2414
83.5,2419
84.5,4111
85.5,4101
86.5,2177
87.5,2249
88.5,2154
89.5,2085
90.5,2007
91.5,1885
92.5,1533
93.5,1493
94.5,2681
95.5,2800
96.5,1150
97.5,1128
98.5,1427
99.5,1517
100.5,1975
101.5,1946
102.5,1315
103.5,1348
104.5,861
105.5,893
106.5,1767
107.5,1729
108.5,1372
109.5,1352
110.5,2598
111.5,2618
112.5,1971
113.5,1825
114.5,2841
115.5,3012
116.5,1377
117.5,1375
118.5,2434
119.5,2486
120.5,1418
121.5,1487
122.5,1587
123.5,1737
124.5,764
125.5,687
126.5,1266
127.5,1253
128.5,893
129.5,939
130.5,1348
131.5,1299
132.5,1169
133.5,1226
134.5,767
135.5,769
136.5,481
137.5,480
138.5,583
139.5,575
140.5,369
141.5,392
142.5,790
143.5,804
144.5,837
145.5,876
146.5,729
147.5,754
148.5,430
149.5,471
150.5,802
151.5,872
152.5,924
153.5,931
154.5,890
155.5,1002
156.5,444
157.5,329
158.5,1260
159.5,1194
160.5,758
161.5,706
162.5,870
163.5,831
164.5,907
165.5,842
166.5,348
167.5,374
168.5,527
169.5,487
170.5,432
171.5,469
172.5,576
173.5,594
174.5,584
175.5,580
176.5,637
177.5,640
178.5,440
179.5,425
180.5,570
181.5,565
182.5,1088
183.5,1044
184.5,448
185.5,397
186.5,13383
187.5,13189
192.5,1
231.5,2
232.5,1
235.5,2
251.5,1
262.5,63
263.5,67
