# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 118.3572
# N_primaries = 30000000
# N_with_signal = 250706
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,0,0,76,0,4,0,0,0,0,3,0
1.5,6,0,122,0,6,0,0,0,0,0,0
2.5,1,0,118,0,6,0,0,0,0,1,0
3.5,4,0,152,0,6,0,0,0,0,1,0
4.5,4,0,122,2,12,0,0,0,0,2,0
5.5,15,0,168,3,27,0,0,0,0,3,0
6.5,14,0,155,2,24,1,0,0,0,3,0
7.5,22,0,149,0,28,0,0,0,0,3,0
8.5,19,0,135,0,27,0,0,0,0,1,0
9.5,15,0,133,3,64,0,0,0,0,2,0
10.5,9,0,140,5,49,1,0,0,0,4,0
11.5,15,0,135,3,83,1,0,0,0,65,0
12.5,8,0,145,1,74,0,0,0,0,1,0
13.5,11,0,137,5,86,0,0,0,0,11,0
14.5,8,0,138,1,104,0,0,0,0,2,0
15.5,17,0,155,3,134,0,0,0,0,0,0
16.5,8,0,90,4,121,1,0,0,0,0,0
17.5,8,1,127,10,147,0,0,0,0,1,0
18.5,13,0,128,3,168,0,0,0,0,2,0
19.5,8,0,119,5,137,0,0,0,0,1,0
20.5,9,0,112,3,172,0,0,0,0,0,0
21.5,12,0,100,3,224,0,0,0,0,0,0
22.5,9,0,104,6,248,0,0,0,0,0,0
23.5,11,0,96,5,264,0,0,0,0,0,0
24.5,9,0,93,2,304,0,0,0,0,0,0
25.5,8,0,87,0,343,0,0,0,0,0,0
26.5,14,0,85,7,313,0,0,0,0,0,0
27.5,8,0,92,4,322,0,0,0,0,0,0
28.5,7,0,91,13,278,0,0,0,0,1,0
29.5,12,0,82,3,329,0,0,0,0,2,0
30.5,12,0,92,3,299,0,0,0,0,0,0
31.5,8,0,84,4,331,1,0,0,0,1,0
32.5,11,0,80,4,376,0,0,0,0,0,0
33.5,17,0,91,2,311,0,0,0,0,0,0
34.5,23,1,87,6,317,0,0,0,0,0,0
35.5,17,0,76,5,472,0,0,0,0,0,0
36.5,30,0,73,8,479,0,0,0,0,0,0
37.5,43,0,63,3,394,0,0,0,0,2,0
38.5,31,0,71,3,460,0,0,0,0,2,0
39.5,44,0,80,6,432,0,0,0,0,1,0
40.5,215,1,85,5,387,2,0,0,0,1,0
41.5,189,1,67,9,338,0,0,0,0,1,0
42.5,220,0,58,2,372,2,0,0,0,0,0
43.5,240,2,59,3,324,1,0,0,0,0,0
44.5,196,2,68,1,318,2,0,0,0,0,0
45.5,175,0,61,3,332,1,0,0,0,0,0
46.5,659,3,64,5,296,1,0,0,0,0,0
47.5,693,2,51,9,291,1,0,0,0,0,0
48.5,424,3,65,8,328,2,0,0,0,0,0
49.5,399,2,63,4,403,0,0,0,0,0,0
50.5,542,5,51,5,413,2,0,0,0,0,0
51.5,541,5,44,6,341,1,0,0,0,1,0
52.5,1266,9,55,2,386,1,0,0,0,1,0
53.5,1250,19,48,4,385,0,0,0,0,2,0
54.5,1412,18,42,11,345,1,0,0,0,0,0
55.5,1476,18,45,2,282,3,0,0,0,0,0
56.5,1555,21,46,1,298,2,0,0,0,0,0
57.5,1560,12,60,3,224,1,0,0,0,0,0
58.5,1090,10,44,4,200,2,0,0,0,0,0
59.5,1202,10,51,1,211,2,0,0,0,0,0
60.5,1707,20,47,6,195,0,0,0,0,0,0
61.5,1769,16,47,6,149,1,0,0,0,0,0
62.5,2036,29,46,7,161,2,0,0,0,0,0
63.5,2069,33,37,3,215,2,0,0,0,0,0
64.5,1776,32,43,4,192,4,0,0,0,2,0
65.5,1759,35,36,2,155,2,0,0,0,0,0
66.5,3641,67,43,3,152,0,0,0,0,0,0
67.5,3739,72,54,4,121,3,0,0,0,0,0
68.5,2003,37,46,6,118,0,0,0,0,0,0
69.5,1886,32,30,1,153,0,0,0,0,1,0
70.5,2949,61,38,2,152,0,0,0,0,0,0
71.5,2851,59,40,0,120,1,0,0,0,0,0
72.5,1841,44,42,0,135,1,0,0,0,0,0
73.5,1799,40,36,0,100,1,0,0,0,0,0
74.5,2419,62,31,4,75,0,0,0,0,0,0
75.5,2455,64,39,1,105,2,0,0,0,0,0
76.5,2177,68,28,2,119,2,0,0,0,0,0
