# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 681.8808
# N_primaries = 30000000
# N_with_signal = 152254
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,88
1.5,156
2.5,138
3.5,136
4.5,165
5.5,164
6.5,195
7.5,175
8.5,186
9.5,190
10.5,183
11.5,210
12.5,202
13.5,224
14.5,199
15.5,210
16.5,195
17.5,253
18.5,227
19.5,207
20.5,209
21.5,225
22.5,255
23.5,227
24.5,215
25.5,282
26.5,263
27.5,243
28.5,265
29.5,256
30.5,270
31.5,273
32.5,312
33.5,299
34.5,284
35.5,258
36.5,299
37.5,310
38.5,291
39.5,279
40.5,370
41.5,333
42.5,333
43.5,342
44.5,408
45.5,417
46.5,427
47.5,410
48.5,553
49.5,554
50.5,580
51.5,572
52.5,740
53.5,724
54.5,693
55.5,704
56.5,850
57.5,861
58.5,803
59.5,788
60.5,989
61.5,985
62.5,962
63.5,999
64.5,921
65.5,984
66.5,957
67.5,972
68.5,1127
69.5,1133
70.5,1110
71.5,1134
72.5,1224
73.5,1204
74.5,1228
75.5,1164
76.5,1125
77.5,1194
78.5,1164
79.5,1122
80.5,1146
81.5,1089
82.5,1172
83.5,1055
84.5,1185
85.5,1117
86.5,1193
87.5,1187
88.5,1121
89.5,1103
90.5,1108
91.5,1102
92.5,1099
93.5,1144
94.5,1064
95.5,1067
96.5,978
97.5,993
98.5,987
99.5,1029
100.5,1020
101.5,1046
102.5,1066
103.5,1042
104.5,924
105.5,921
106.5,905
107.5,951
108.5,885
109.5,956
110.5,880
111.5,898
112.5,870
113.5,877
114.5,880
115.5,870
116.5,774
117.5,870
118.5,783
119.5,831
120.5,854
121.5,775
122.5,802
123.5,775
124.5,766
125.5,690
126.5,718
127.5,747
128.5,728
129.5,678
130.5,726
131.5,710
132.5,695
133.5,627
134.5,644
135.5,709
136.5,589
137.5,636
138.5,638
139.5,623
140.5,615
141.5,592
142.5,636
143.5,560
144.5,520
145.5,526
146.5,538
147.5,494
148.5,566
149.5,540
150.5,520
151.5,531
152.5,534
153.5,545
154.5,535
155.5,520
156.5,490
157.5,451
158.5,489
159.5,436
160.5,435
161.5,422
162.5,453
163.5,400
164.5,404
165.5,378
166.5,386
167.5,362
168.5,389
169.5,420
170.5,389
171.5,369
172.5,366
173.5,396
174.5,393
175.5,370
176.5,371
177.5,360
178.5,391
179.5,384
180.5,348
181.5,360
182.5,352
183.5,387
184.5,344
185.5,356
186.5,314
187.5,345
188.5,324
189.5,330
190.5,336
191.5,342
192.5,293
193.5,326
194.5,333
195.5,298
196.5,270
197.5,279
198.5,304
199.5,323
200.5,271
201.5,241
202.5,228
203.5,269
204.5,264
205.5,260
206.5,276
207.5,229
208.5,235
209.5,205
210.5,208
211.5,188
212.5,205
213.5,220
214.5,208
215.5,238
216.5,208
217.5,178
218.5,191
219.5,207
220.5,214
221.5,194
222.5,174
223.5,194
224.5,181
225.5,177
226.5,186
227.5,190
228.5,184
229.5,178
230.5,177
231.5,183
232.5,194
233.5,187
234.5,194
235.5,195
236.5,139
237.5,156
238.5,152
239.5,152
240.5,146
241.5,129
242.5,138
243.5,147
244.5,137
245.5,153
246.5,173
247.5,158
248.5,142
249.5,139
250.5,137
251.5,149
252.5,142
253.5,137
254.5,142
255.5,126
256.5,114
257.5,128
258.5,133
259.5,117
260.5,120
261.5,109
262.5,119
263.5,126
264.5,136
265.5,113
266.5,113
267.5,117
268.5,121
269.5,101
270.5,107
271.5,131
272.5,84
273.5,92
274.5,96
275.5,103
276.5,172
277.5,142
278.5,166
279.5,151
280.5,88
281.5,110
282.5,85
283.5,98
284.5,68
285.5,91
286.5,71
287.5,96
288.5,73
289.5,61
290.5,84
291.5,84
292.5,69
293.5,73
294.5,77
295.5,71
296.5,78
297.5,81
298.5,78
299.5,79
300.5,75
301.5,84
302.5,73
303.5,89
304.5,76
305.5,59
306.5,67
307.5,50
308.5,68
309.5,70
310.5,70
311.5,64
312.5,70
313.5,76
314.5,76
315.5,79
316.5,62
317.5,61
318.5,59
319.5,56
320.5,58
321.5,59
322.5,66
323.5,36
324.5,65
325.5,52
326.5,50
327.5,64
328.5,39
329.5,54
330.5,68
331.5,46
332.5,44
333.5,55
334.5,59
335.5,48
336.5,50
337.5,54
338.5,72
339.5,64
340.5,59
341.5,40
342.5,39
343.5,46
344.5,51
345.5,66
346.5,53
347.5,47
348.5,47
349.5,55
350.5,42
351.5,50
352.5,49
353.5,49
354.5,55
355.5,44
356.5,37
357.5,51
358.5,54
359.5,44
360.5,44
361.5,45
362.5,42
363.5,50
364.5,41
365.5,47
366.5,41
367.5,41
368.5,37
369.5,51
370.5,38
371.5,40
372.5,42
