# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 50.0000
# N_primaries = 30000000
# N_with_signal = 289381
# matrix = -
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,1,0,10,0,7,0,0,0,0,3,0
1.5,6,0,31,0,17,0,0,0,0,1,0
2.5,8,0,34,0,14,0,0,0,0,2,0
3.5,11,0,33,0,16,0,0,0,0,1,0
4.5,13,0,30,0,19,0,0,0,0,1,0
5.5,37,0,53,1,49,0,0,0,0,2,0
6.5,37,0,83,0,53,0,0,0,0,1,0
7.5,40,0,80,0,69,0,0,0,0,2,0
8.5,44,0,49,0,67,0,0,0,0,2,0
9.5,41,0,13,0,72,0,0,0,0,1,0
10.5,38,0,10,0,97,0,0,0,0,0,0
11.5,30,0,7,0,143,1,0,0,0,288,0
12.5,42,0,7,0,173,0,0,0,0,0,0
13.5,33,0,6,0,213,0,0,0,0,61,0
14.5,32,0,4,0,1026,0,0,0,0,0,0
15.5,41,0,1,0,3134,0,0,0,0,0,0
16.5,32,0,1,0,1324,1,0,0,0,0,0
17.5,32,0,4,0,4709,1,0,0,0,0,0
18.5,33,0,2,0,251,0,0,0,0,0,0
19.5,33,0,0,0,24533,0,0,0,0,0,0
20.5,31,1,2,0,166,1,0,0,0,0,0
21.5,36,0,0,0,21353,0,0,0,0,1,0
22.5,39,0,1,0,66,2,0,0,0,0,0
23.5,43,0,1,0,41,1,0,0,0,0,0
24.5,49,0,0,0,20,1,0,0,0,0,0
25.5,39,0,0,0,6,4,0,0,0,0,0
26.5,58,0,0,0,12,3,0,0,0,0,0
27.5,50,0,2,0,4,1,0,0,0,0,0
28.5,55,0,0,0,2,0,0,0,0,0,0
29.5,38,0,0,0,6,1,0,0,0,0,0
30.5,37,1,0,0,17,3,0,0,0,0,0
31.5,41,1,0,0,12,4,0,0,0,1,0
32.5,32,0,0,0,6,3,0,0,0,0,0
33.5,51,0,0,0,22,2,0,0,0,0,0
34.5,50,0,0,0,9,0,0,0,0,0,0
35.5,68,0,0,0,6,0,0,0,0,0,0
36.5,69,1,0,0,2,2,0,0,0,0,0
37.5,86,0,0,0,4,2,0,0,0,0,0
38.5,108,0,0,0,4,1,0,0,0,0,0
39.5,120,0,0,0,9,2,0,0,0,1,0
40.5,102,1,0,0,7,1,0,0,0,0,0
41.5,257,0,0,0,2,2,0,0,0,0,0
42.5,640,3,2,0,2,2,0,0,0,0,0
43.5,797,6,0,0,11,0,0,0,0,1,0
44.5,751,4,1,0,21,0,0,0,0,0,0
45.5,733,9,0,0,201,0,0,0,0,1,0
46.5,764,3,0,0,136,0,0,0,0,0,0
47.5,861,6,0,0,116,1,0,0,0,0,0
48.5,1084,8,0,0,40,0,0,0,0,0,0
49.5,80190,616,1,0,37,0,0,0,0,0,0
50.5,140562,1077,0,0,12,0,0,0,0,0,0
