# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 1800.0000
# N_primaries = 30000000
# N_with_signal = 38944
# sample_cm3 = 0.000
# matrix = -
# density_gcm3 = 0.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,25
1.5,26
2.5,35
3.5,27
4.5,25
5.5,37
6.5,33
7.5,34
8.5,28
9.5,30
10.5,36
11.5,29
12.5,36
13.5,34
14.5,38
15.5,23
16.5,24
17.5,31
18.5,37
19.5,27
20.5,23
21.5,40
22.5,35
23.5,21
24.5,35
25.5,25
26.5,27
27.5,28
28.5,25
29.5,29
30.5,30
31.5,32
32.5,35
33.5,36
34.5,47
35.5,37
36.5,28
37.5,26
38.5,35
39.5,31
40.5,36
41.5,34
42.5,21
43.5,23
44.5,35
45.5,28
46.5,30
47.5,29
48.5,36
49.5,29
50.5,36
51.5,31
52.5,33
53.5,32
54.5,29
55.5,24
56.5,24
57.5,43
58.5,30
59.5,31
60.5,26
61.5,35
62.5,22
63.5,26
64.5,32
65.5,34
66.5,34
67.5,24
68.5,28
69.5,28
70.5,28
71.5,36
72.5,25
73.5,32
74.5,26
75.5,25
76.5,32
77.5,33
78.5,31
79.5,35
80.5,26
81.5,33
82.5,33
83.5,28
84.5,21
85.5,29
86.5,17
87.5,22
88.5,31
89.5,27
90.5,25
91.5,23
92.5,30
93.5,35
94.5,25
95.5,17
96.5,21
97.5,27
98.5,32
99.5,22
100.5,38
101.5,27
102.5,34
103.5,21
104.5,27
105.5,30
106.5,23
107.5,27
108.5,35
109.5,21
110.5,20
111.5,38
112.5,36
113.5,25
114.5,31
115.5,26
116.5,43
117.5,21
118.5,25
119.5,30
120.5,15
121.5,31
122.5,29
123.5,23
124.5,19
125.5,31
126.5,28
127.5,23
128.5,27
129.5,27
130.5,23
131.5,28
132.5,35
133.5,29
134.5,24
135.5,25
136.5,19
137.5,25
138.5,22
139.5,29
140.5,27
141.5,29
142.5,20
143.5,24
144.5,21
145.5,24
146.5,26
147.5,28
148.5,27
149.5,29
150.5,23
151.5,21
152.5,30
153.5,19
154.5,30
155.5,25
156.5,12
157.5,25
158.5,24
159.5,13
160.5,21
161.5,21
162.5,25
163.5,25
164.5,18
165.5,23
166.5,31
167.5,26
168.5,26
169.5,20
170.5,27
171.5,20
172.5,29
