# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 8147e1da3b0d
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 18:05:15
# series = Ra-226, активность 1 Bq/kg, rho 2.30 (единичный отклик для подгонки амплитуды, см. план раздел 4)
# R_wall_cm = 120.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 4.226829e-03
# fluence_total_cm2_s = 1.287391e-01
E_keV,fluence_cm2_s
7.0,1.553973e-05
25.0,1.190206e-05
35.0,2.331426e-05
37.0,8.958129e-05
39.0,1.792114e-05
41.0,5.412112e-05
43.0,1.307708e-04
45.0,2.938091e-04
47.0,2.635649e-04
49.0,3.953523e-04
51.0,3.979841e-04
53.0,5.392800e-04
55.0,6.733526e-04
57.0,6.471319e-04
59.0,8.634114e-04
61.0,7.181669e-04
63.0,8.535609e-04
65.0,1.032249e-03
67.0,8.184068e-04
69.0,1.002420e-03
71.0,1.109760e-03
73.0,9.894590e-04
75.0,1.006351e-03
77.0,1.301252e-03
79.0,1.223530e-03
81.0,1.202022e-03
83.0,1.116155e-03
85.0,1.597396e-03
87.0,1.004435e-03
89.0,1.178944e-03
91.0,1.231861e-03
93.0,8.941392e-04
95.0,1.066247e-03
97.0,1.147371e-03
99.0,1.197891e-03
101.0,1.081862e-03
103.0,1.038882e-03
105.0,9.987402e-04
107.0,1.169788e-03
109.0,1.244017e-03
111.0,9.410661e-04
113.0,9.762973e-04
115.0,8.859209e-04
117.0,1.003546e-03
119.0,8.823750e-04
121.0,1.069062e-03
123.0,8.700860e-04
125.0,9.112460e-04
127.0,9.514005e-04
129.0,8.165119e-04
131.0,9.207521e-04
133.0,8.738414e-04
135.0,8.443281e-04
137.0,8.113017e-04
139.0,7.250234e-04
141.0,7.220390e-04
143.0,7.174720e-04
145.0,8.090854e-04
147.0,6.480066e-04
149.0,8.986343e-04
151.0,8.344545e-04
153.0,6.662488e-04
155.0,5.719359e-04
157.0,6.784436e-04
159.0,5.227883e-04
161.0,6.357373e-04
163.0,6.389804e-04
165.0,5.848638e-04
167.0,5.757404e-04
169.0,6.239042e-04
171.0,4.742368e-04
173.0,5.075085e-04
175.0,5.994803e-04
177.0,5.269070e-04
179.0,5.260920e-04
181.0,5.140391e-04
183.0,5.202827e-04
185.0,4.762645e-04
187.0,6.871653e-04
189.0,3.993915e-04
191.0,6.138628e-04
193.0,5.762412e-04
195.0,4.980528e-04
197.0,3.645793e-04
199.0,5.114788e-04
201.0,4.294005e-04
203.0,5.460687e-04
205.0,3.566785e-04
207.0,4.255108e-04
209.0,4.776757e-04
211.0,4.521064e-04
213.0,3.239135e-04
215.0,4.908620e-04
217.0,4.922447e-04
219.0,4.025169e-04
221.0,5.137875e-04
223.0,3.970786e-04
225.0,3.403725e-04
227.0,3.060441e-04
229.0,3.152486e-04
231.0,2.305810e-04
233.0,2.350517e-04
235.0,3.413943e-04
237.0,2.603104e-04
239.0,4.226010e-04
241.0,7.505744e-04
243.0,3.464435e-04
245.0,2.566204e-04
247.0,2.725705e-04
249.0,2.628141e-04
251.0,2.705603e-04
253.0,1.663110e-04
255.0,3.580237e-04
257.0,2.756976e-04
259.0,3.926965e-04
261.0,3.394041e-04
263.0,2.835857e-04
265.0,3.666855e-04
267.0,2.546322e-04
269.0,2.963177e-04
271.0,3.345849e-04
273.0,2.763052e-04
275.0,1.945035e-04
277.0,1.786609e-04
279.0,1.101821e-04
281.0,2.553560e-04
283.0,2.863193e-04
285.0,2.145275e-04
287.0,2.034136e-04
289.0,2.393484e-04
291.0,2.033083e-04
293.0,2.078718e-04
295.0,2.072524e-03
297.0,2.616593e-04
299.0,1.891625e-04
301.0,2.507411e-04
303.0,1.807493e-04
305.0,1.661014e-04
307.0,2.127835e-04
309.0,1.224679e-04
311.0,1.611081e-04
313.0,2.108871e-04
315.0,8.728868e-05
317.0,1.645733e-04
319.0,1.183204e-04
321.0,2.508745e-04
323.0,1.664954e-04
325.0,2.740143e-04
327.0,1.079819e-04
329.0,1.574371e-04
331.0,1.616563e-04
333.0,1.763780e-04
335.0,1.616770e-04
337.0,1.822932e-04
339.0,8.198514e-05
341.0,2.570127e-04
343.0,1.802977e-04
345.0,1.418372e-04
347.0,1.631622e-04
349.0,1.288453e-04
351.0,3.826222e-03
353.0,1.399985e-04
355.0,1.780385e-04
357.0,8.850019e-05
