E_lo,E_hi,cps_meas,cps_model,cps_deficit,d_stat,dens_per_keV
100,150,4.974854e-02,3.874693e-02,1.100161e-02,1.580969e-04,2.200321e-04
150,200,3.405146e-02,1.900005e-02,1.505141e-02,1.307980e-04,3.010281e-04
200,250,2.256867e-02,1.795474e-02,4.613929e-03,1.064844e-04,9.227858e-05
250,300,1.441692e-02,9.165330e-03,5.251588e-03,8.510779e-05,1.050318e-04
300,350,8.983254e-03,6.061749e-03,2.921505e-03,6.718154e-05,5.843010e-05
350,400,6.631933e-03,6.072060e-03,5.598729e-04,5.772357e-05,1.119746e-05
400,450,4.547396e-03,3.263583e-03,1.283813e-03,4.779852e-05,2.567626e-05
450,500,3.786733e-03,2.637773e-03,1.148960e-03,4.361797e-05,2.297921e-05
500,550,3.251657e-03,2.213044e-03,1.038613e-03,4.041899e-05,2.077225e-05
550,600,2.662319e-03,1.873347e-03,7.889725e-04,3.657322e-05,1.577945e-05
600,650,2.125233e-03,1.463698e-03,6.615349e-04,3.267656e-05,1.323070e-05
650,700,1.814236e-03,1.375840e-03,4.383959e-04,3.019117e-05,8.767919e-06
700,750,1.637886e-03,1.409883e-03,2.280036e-04,2.868633e-05,4.560072e-06
750,800,1.494195e-03,1.293622e-03,2.005729e-04,2.739912e-05,4.011458e-06
800,850,1.326889e-03,1.082562e-03,2.443274e-04,2.581965e-05,4.886548e-06
850,900,1.216357e-03,9.414499e-04,2.749069e-04,2.472086e-05,5.498137e-06
900,950,1.173651e-03,8.789458e-04,2.947053e-04,2.428301e-05,5.894106e-06
950,1000,1.058597e-03,9.595495e-04,9.904769e-05,2.306208e-05,1.980954e-06
1000,1050,9.847415e-04,9.212482e-04,6.349336e-05,2.224304e-05,1.269867e-06
1050,1100,9.184222e-04,7.624335e-04,1.559887e-04,2.148099e-05,3.119775e-06
1100,1150,8.626537e-04,7.009205e-04,1.617331e-04,2.081859e-05,3.234663e-06
1150,1200,8.561222e-04,7.707793e-04,8.534290e-05,2.073963e-05,1.706858e-06
