# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# particle = gamma
# E_prim_keV = 461.0105
# N_primaries = 30000000
# N_with_signal = 162652
# sample_cm3 = 199.496
# matrix = air
# density_gcm3 = 0.0012
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,104
1.5,147
2.5,135
3.5,160
4.5,161
5.5,190
6.5,177
7.5,204
8.5,182
9.5,218
10.5,205
11.5,235
12.5,217
13.5,196
14.5,236
15.5,213
16.5,236
17.5,236
18.5,254
19.5,221
20.5,270
21.5,272
22.5,254
23.5,265
24.5,265
25.5,284
26.5,272
27.5,278
28.5,269
29.5,258
30.5,251
31.5,276
32.5,280
33.5,298
34.5,293
35.5,283
36.5,300
37.5,346
38.5,373
39.5,394
40.5,389
41.5,417
42.5,424
43.5,456
44.5,471
45.5,462
46.5,500
47.5,554
48.5,615
49.5,584
50.5,636
51.5,682
52.5,699
53.5,681
54.5,768
55.5,814
56.5,800
57.5,880
58.5,902
59.5,940
60.5,942
61.5,1006
62.5,1019
63.5,1006
64.5,1115
65.5,1047
66.5,1129
67.5,1184
68.5,1161
69.5,1220
70.5,1146
71.5,1238
72.5,1239
73.5,1185
74.5,1239
75.5,1261
76.5,1208
77.5,1314
78.5,1247
79.5,1206
80.5,1285
81.5,1252
82.5,1215
83.5,1298
84.5,1244
85.5,1262
86.5,1266
87.5,1220
88.5,1177
89.5,1257
90.5,1169
91.5,1196
92.5,1224
93.5,1136
94.5,1146
95.5,1191
96.5,1162
97.5,1140
98.5,1105
99.5,1073
100.5,985
101.5,1044
102.5,1031
103.5,1019
104.5,1061
105.5,1055
106.5,966
107.5,974
108.5,1011
109.5,1000
110.5,974
111.5,968
112.5,983
113.5,983
114.5,942
115.5,928
116.5,913
117.5,944
118.5,923
119.5,921
120.5,898
121.5,892
122.5,904
123.5,856
124.5,852
125.5,811
126.5,810
127.5,835
128.5,797
129.5,840
130.5,755
131.5,774
132.5,704
133.5,722
134.5,722
135.5,671
136.5,701
137.5,696
138.5,707
139.5,688
140.5,647
141.5,616
142.5,636
143.5,645
144.5,656
145.5,600
146.5,625
147.5,593
148.5,535
149.5,599
150.5,583
151.5,584
152.5,583
153.5,563
154.5,586
155.5,502
156.5,543
157.5,563
158.5,501
159.5,558
160.5,505
161.5,457
162.5,505
163.5,459
164.5,468
165.5,459
166.5,472
167.5,475
168.5,403
169.5,459
170.5,379
171.5,398
172.5,418
173.5,388
174.5,369
175.5,412
176.5,390
177.5,393
178.5,375
179.5,407
180.5,390
181.5,373
182.5,371
183.5,398
184.5,364
185.5,334
186.5,337
187.5,336
188.5,338
189.5,336
190.5,292
191.5,322
192.5,327
193.5,295
194.5,286
195.5,307
196.5,273
197.5,283
198.5,304
199.5,283
200.5,292
201.5,286
202.5,268
203.5,253
204.5,256
205.5,234
206.5,240
207.5,243
