# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = df2e1c5a2bca
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 00:35:47
# particle = gamma
# E_prim_keV = 488.9719
# N_primaries = 30000000
# N_with_signal = 158209
# sample_cm3 = 199.492
# matrix = air
# density_gcm3 = 0.0012
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,106
1.5,129
2.5,144
3.5,134
4.5,133
5.5,178
6.5,166
7.5,190
8.5,191
9.5,190
10.5,213
11.5,224
12.5,204
13.5,214
14.5,219
15.5,217
16.5,242
17.5,205
18.5,237
19.5,207
20.5,259
21.5,252
22.5,269
23.5,241
24.5,274
25.5,267
26.5,274
27.5,274
28.5,310
29.5,317
30.5,320
31.5,302
32.5,275
33.5,281
34.5,307
35.5,334
36.5,331
37.5,335
38.5,353
39.5,348
40.5,385
41.5,395
42.5,418
43.5,457
44.5,435
45.5,474
46.5,493
47.5,534
48.5,539
49.5,571
50.5,631
51.5,645
52.5,672
53.5,713
54.5,716
55.5,773
56.5,807
57.5,816
58.5,887
59.5,924
60.5,905
61.5,978
62.5,973
63.5,1052
64.5,1027
65.5,1081
66.5,1078
67.5,1106
68.5,1149
69.5,1104
70.5,1186
71.5,1099
72.5,1190
73.5,1207
74.5,1208
75.5,1206
76.5,1199
77.5,1187
78.5,1213
79.5,1226
80.5,1199
81.5,1181
82.5,1222
83.5,1281
84.5,1199
85.5,1119
86.5,1208
87.5,1180
88.5,1157
89.5,1095
90.5,1116
91.5,1090
92.5,1123
93.5,1079
94.5,1101
95.5,1081
96.5,1122
97.5,1018
98.5,1096
99.5,1139
100.5,1041
101.5,948
102.5,986
103.5,1028
104.5,980
105.5,991
106.5,974
107.5,1030
108.5,955
109.5,921
110.5,932
111.5,930
112.5,911
113.5,882
114.5,937
115.5,929
116.5,920
117.5,878
118.5,873
119.5,852
120.5,898
121.5,848
122.5,864
123.5,859
124.5,837
125.5,836
126.5,810
127.5,773
128.5,775
129.5,749
130.5,695
131.5,790
132.5,722
133.5,675
134.5,735
135.5,683
136.5,677
137.5,677
138.5,662
139.5,640
140.5,665
141.5,643
142.5,609
143.5,613
144.5,592
145.5,585
146.5,598
147.5,556
148.5,560
149.5,562
150.5,554
151.5,512
152.5,546
153.5,524
154.5,523
155.5,526
156.5,492
157.5,494
158.5,467
159.5,465
160.5,502
161.5,493
162.5,434
163.5,451
164.5,467
165.5,449
166.5,388
167.5,439
168.5,423
169.5,434
170.5,402
171.5,426
172.5,396
173.5,397
174.5,386
175.5,403
176.5,369
177.5,372
178.5,342
179.5,350
180.5,353
181.5,328
182.5,374
183.5,348
184.5,338
185.5,327
186.5,345
187.5,339
188.5,316
189.5,313
190.5,277
191.5,295
192.5,282
193.5,260
194.5,294
195.5,287
196.5,264
197.5,293
198.5,256
199.5,255
200.5,264
201.5,277
202.5,291
203.5,249
204.5,268
205.5,253
206.5,238
207.5,259
208.5,269
209.5,232
210.5,221
211.5,243
212.5,240
213.5,230
214.5,234
215.5,250
216.5,230
217.5,232
218.5,220
219.5,234
220.5,254
221.5,244
222.5,232
223.5,176
224.5,223
225.5,221
226.5,209
227.5,208
228.5,207
229.5,219
230.5,206
231.5,180
232.5,196
233.5,220
234.5,186
235.5,182
236.5,202
237.5,169
238.5,174
239.5,165
240.5,163
241.5,166
242.5,170
243.5,150
244.5,159
245.5,171
246.5,169
247.5,144
248.5,170
249.5,130
250.5,147
251.5,145
252.5,140
253.5,129
254.5,130
255.5,137
256.5,119
257.5,144
258.5,156
259.5,148
260.5,127
261.5,137
262.5,162
263.5,133
264.5,133
265.5,120
266.5,118
267.5,137
268.5,112
269.5,121
270.5,114
271.5,100
272.5,122
273.5,105
274.5,102
275.5,118
276.5,106
277.5,102
278.5,106
279.5,108
280.5,113
281.5,93
282.5,88
283.5,101
284.5,100
285.5,98
286.5,96
287.5,99
288.5,98
289.5,93
290.5,88
291.5,94
292.5,91
293.5,100
294.5,71
295.5,85
296.5,83
297.5,100
298.5,90
299.5,85
300.5,93
301.5,75
302.5,82
303.5,73
304.5,80
305.5,70
306.5,84
307.5,77
308.5,83
309.5,75
310.5,65
311.5,66
312.5,72
313.5,81
314.5,60
315.5,74
316.5,77
317.5,59
318.5,74
319.5,55
320.5,56
321.5,73
322.5,68
323.5,65
324.5,81
325.5,46
326.5,49
327.5,59
328.5,61
329.5,55
330.5,61
331.5,74
332.5,58
333.5,56
334.5,61
335.5,45
336.5,53
337.5,62
338.5,47
339.5,46
340.5,67
341.5,41
342.5,54
343.5,52
344.5,61
345.5,48
346.5,51
347.5,48
348.5,55
349.5,51
350.5,45
351.5,56
352.5,42
353.5,40
354.5,50
355.5,47
356.5,41
357.5,49
358.5,40
359.5,47
360.5,39
361.5,41
362.5,31
363.5,39
364.5,47
365.5,41
366.5,51
367.5,31
368.5,34
369.5,43
370.5,48
371.5,33
372.5,36
373.5,63
374.5,48
375.5,36
376.5,38
377.5,50
378.5,37
379.5,38
380.5,33
381.5,39
382.5,31
383.5,47
384.5,37
385.5,33
386.5,42
387.5,33
388.5,33
389.5,23
390.5,39
391.5,30
392.5,34
393.5,49
394.5,39
395.5,42
396.5,31
397.5,35
398.5,26
399.5,42
400.5,32
401.5,33
402.5,33
403.5,29
404.5,37
405.5,44
406.5,29
407.5,34
408.5,32
409.5,31
410.5,32
411.5,27
412.5,22
413.5,40
414.5,36
415.5,26
416.5,27
417.5,27
418.5,30
419.5,30
420.5,30
421.5,27
422.5,30
423.5,34
424.5,35
425.5,21
426.5,19
427.5,25
428.5,25
429.5,23
430.5,20
431.5,25
432.5,37
433.5,24
434.5,31
435.5,28
436.5,37
437.5,24
438.5,25
439.5,40
440.5,35
441.5,34
442.5,29
443.5,27
444.5,28
445.5,28
446.5,27
447.5,22
448.5,27
449.5,15
450.5,22
451.5,28
452.5,13
453.5,24
454.5,26
455.5,31
456.5,20
457.5,24
458.5,23
459.5,27
460.5,29
461.5,21
462.5,24
463.5,27
464.5,19
465.5,20
466.5,29
467.5,22
468.5,22
469.5,25
470.5,29
471.5,23
472.5,24
473.5,26
474.5,21
475.5,19
476.5,19
477.5,31
478.5,20
479.5,22
480.5,20
481.5,23
482.5,27
483.5,26
484.5,15
485.5,21
486.5,19
487.5,20
488.5,25
489.5,23
490.5,15
491.5,19
492.5,24
493.5,17
494.5,19
495.5,18
496.5,21
497.5,25
498.5,19
499.5,20
500.5,23
501.5,13
502.5,17
503.5,25
504.5,16
505.5,19
506.5,23
507.5,20
508.5,22
509.5,26
510.5,26
511.5,20
512.5,16
513.5,17
514.5,16
515.5,18
516.5,23
517.5,14
518.5,24
519.5,18
520.5,19
521.5,21
522.5,24
523.5,17
524.5,24
525.5,14
526.5,22
527.5,14
528.5,23
529.5,18
530.5,19
531.5,16
532.5,23
533.5,21
534.5,21
535.5,18
536.5,22
537.5,15
538.5,18
539.5,16
540.5,11
541.5,11
542.5,13
543.5,17
544.5,14
545.5,16
546.5,13
547.5,19
548.5,18
549.5,17
550.5,16
551.5,14
552.5,15
553.5,22
554.5,14
555.5,18
556.5,15
557.5,18
558.5,19
559.5,20
560.5,10
561.5,26
562.5,21
563.5,22
564.5,13
565.5,15
566.5,15
567.5,10
568.5,15
569.5,14
570.5,12
571.5,15
572.5,8
573.5,11
574.5,12
575.5,16
576.5,11
577.5,9
578.5,18
579.5,18
580.5,15
581.5,13
582.5,20
583.5,11
584.5,13
585.5,15
586.5,10
587.5,17
588.5,10
589.5,11
590.5,10
591.5,17
592.5,15
593.5,17
594.5,16
595.5,15
596.5,14
597.5,12
598.5,14
599.5,13
600.5,15
601.5,17
602.5,13
603.5,14
604.5,15
605.5,15
606.5,13
607.5,5
608.5,17
609.5,16
610.5,13
611.5,11
612.5,19
613.5,15
614.5,18
615.5,16
616.5,13
617.5,7
618.5,14
619.5,10
620.5,14
621.5,11
622.5,12
623.5,12
624.5,13
625.5,10
626.5,11
627.5,24
628.5,13
629.5,13
630.5,14
631.5,14
632.5,11
633.5,10
634.5,10
635.5,14
636.5,17
637.5,15
638.5,11
639.5,11
640.5,18
641.5,7
642.5,17
643.5,13
644.5,10
645.5,7
646.5,11
647.5,6
648.5,16
649.5,13
650.5,17
651.5,15
652.5,13
653.5,11
654.5,13
655.5,12
656.5,12
657.5,7
658.5,12
659.5,16
660.5,9
661.5,8
662.5,12
663.5,14
664.5,11
665.5,7
666.5,7
667.5,10
668.5,8
669.5,17
670.5,9
671.5,11
672.5,8
673.5,9
674.5,11
675.5,7
676.5,6
677.5,17
678.5,14
679.5,14
680.5,7
681.5,11
682.5,5
683.5,9
684.5,16
685.5,11
686.5,7
687.5,16
688.5,6
689.5,11
690.5,14
691.5,10
692.5,13
693.5,8
694.5,11
695.5,10
696.5,13
697.5,13
698.5,12
699.5,11
700.5,15
701.5,6
702.5,12
703.5,11
704.5,8
705.5,9
706.5,12
707.5,10
708.5,6
709.5,9
710.5,9
711.5,10
712.5,7
713.5,18
714.5,18
715.5,5
716.5,15
717.5,17
718.5,12
719.5,11
720.5,9
721.5,14
722.5,8
723.5,9
724.5,8
725.5,5
726.5,15
727.5,4
728.5,10
729.5,13
730.5,11
731.5,10
732.5,11
733.5,9
734.5,6
735.5,9
736.5,11
737.5,9
738.5,10
739.5,14
740.5,13
741.5,4
742.5,6
743.5,19
744.5,5
745.5,8
746.5,11
747.5,3
748.5,9
749.5,4
750.5,9
751.5,5
752.5,11
753.5,10
754.5,10
755.5,4
756.5,4
757.5,11
758.5,9
759.5,7
760.5,11
761.5,10
762.5,10
763.5,13
764.5,15
765.5,11
766.5,8
767.5,12
768.5,8
769.5,6
770.5,9
771.5,10
772.5,10
773.5,6
774.5,8
775.5,13
776.5,8
777.5,7
778.5,9
779.5,8
780.5,7
781.5,7
782.5,9
783.5,10
784.5,3
785.5,10
786.5,12
787.5,10
788.5,11
789.5,8
790.5,10
791.5,5
792.5,11
793.5,5
794.5,11
795.5,7
796.5,8
797.5,10
798.5,4
799.5,6
800.5,7
801.5,7
802.5,4
803.5,8
804.5,10
805.5,7
806.5,8
807.5,8
808.5,12
809.5,8
810.5,4
811.5,8
812.5,5
813.5,7
814.5,6
815.5,2
816.5,4
817.5,7
818.5,7
819.5,5
820.5,13
821.5,10
822.5,11
823.5,7
824.5,13
825.5,8
826.5,10
827.5,6
828.5,10
829.5,7
830.5,12
831.5,9
832.5,13
833.5,3
834.5,9
835.5,6
836.5,9
837.5,8
838.5,8
839.5,9
840.5,10
841.5,6
842.5,4
843.5,9
844.5,5
845.5,3
846.5,6
847.5,7
848.5,11
849.5,8
850.5,5
851.5,7
852.5,6
853.5,10
854.5,7
855.5,11
