# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# particle = gamma
# E_prim_keV = 412.9346
# N_primaries = 30000000
# N_with_signal = 169108
# sample_cm3 = 199.496
# matrix = air
# density_gcm3 = 0.0012
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,102
1.5,164
2.5,143
3.5,166
4.5,148
5.5,207
6.5,178
7.5,212
8.5,226
9.5,232
10.5,209
11.5,251
12.5,208
13.5,211
14.5,252
15.5,255
16.5,233
17.5,203
18.5,273
19.5,229
20.5,285
21.5,304
22.5,273
23.5,271
24.5,268
25.5,284
26.5,262
27.5,294
28.5,268
29.5,287
30.5,276
31.5,299
32.5,318
33.5,317
34.5,336
35.5,335
36.5,357
37.5,394
38.5,401
39.5,403
40.5,396
41.5,386
42.5,425
43.5,443
44.5,485
45.5,502
46.5,564
47.5,554
48.5,576
49.5,657
50.5,704
51.5,708
52.5,740
53.5,779
54.5,786
55.5,844
56.5,881
57.5,940
58.5,961
59.5,1028
60.5,976
61.5,1074
62.5,1065
63.5,1076
64.5,1149
65.5,1193
66.5,1133
67.5,1194
68.5,1192
69.5,1221
70.5,1239
71.5,1322
72.5,1255
73.5,1373
74.5,1237
75.5,1287
76.5,1289
77.5,1333
78.5,1299
79.5,1311
80.5,1256
81.5,1312
82.5,1372
83.5,1358
84.5,1249
85.5,1239
86.5,1332
87.5,1306
88.5,1353
89.5,1281
90.5,1202
91.5,1196
92.5,1253
93.5,1220
94.5,1161
95.5,1191
96.5,1216
97.5,1163
98.5,1125
99.5,1168
100.5,1144
101.5,1157
102.5,1102
103.5,1169
104.5,1076
105.5,1140
106.5,1101
107.5,1066
108.5,1055
109.5,1042
110.5,1000
111.5,1006
112.5,1051
113.5,1003
114.5,977
115.5,960
116.5,1031
117.5,984
118.5,953
119.5,917
120.5,884
121.5,895
122.5,888
123.5,874
124.5,856
125.5,846
126.5,864
127.5,876
128.5,801
129.5,825
130.5,797
131.5,812
132.5,829
133.5,799
134.5,742
135.5,761
136.5,690
137.5,720
138.5,750
139.5,680
140.5,698
141.5,678
142.5,643
143.5,660
144.5,677
145.5,695
146.5,661
147.5,633
148.5,626
149.5,626
150.5,606
151.5,635
152.5,592
153.5,591
154.5,578
155.5,619
156.5,559
157.5,573
158.5,552
159.5,548
160.5,560
161.5,551
162.5,511
163.5,489
164.5,499
165.5,517
166.5,464
167.5,440
168.5,421
169.5,403
170.5,430
171.5,449
172.5,452
173.5,429
174.5,439
175.5,388
176.5,390
177.5,423
178.5,393
179.5,424
180.5,402
181.5,389
182.5,415
183.5,422
184.5,419
185.5,381
186.5,369
187.5,374
188.5,360
189.5,377
190.5,365
191.5,324
192.5,319
193.5,329
194.5,334
195.5,300
196.5,312
197.5,293
198.5,305
199.5,311
200.5,273
201.5,271
202.5,265
203.5,284
204.5,275
205.5,296
