# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = df2e1c5a2bca
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 00:35:47
# particle = gamma
# E_prim_keV = 415.9801
# N_primaries = 30000000
# N_with_signal = 173876
# sample_cm3 = 199.492
# matrix = air
# density_gcm3 = 0.0012
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,99
1.5,160
2.5,160
3.5,173
4.5,181
5.5,228
6.5,194
7.5,196
8.5,212
9.5,234
10.5,235
11.5,248
12.5,236
13.5,242
14.5,243
15.5,254
16.5,256
17.5,258
18.5,255
19.5,275
20.5,263
21.5,266
22.5,255
23.5,272
24.5,279
25.5,291
26.5,290
27.5,301
28.5,325
29.5,314
30.5,290
31.5,349
32.5,304
33.5,330
34.5,316
35.5,312
36.5,332
37.5,352
38.5,404
39.5,417
40.5,432
41.5,451
42.5,466
43.5,468
44.5,515
45.5,522
46.5,556
47.5,580
48.5,591
49.5,651
50.5,723
51.5,741
52.5,794
53.5,794
54.5,850
55.5,849
56.5,996
57.5,1008
58.5,963
59.5,988
60.5,1037
61.5,1094
62.5,1125
63.5,1079
64.5,1221
65.5,1236
66.5,1170
67.5,1301
68.5,1285
69.5,1266
70.5,1293
71.5,1243
72.5,1298
73.5,1389
74.5,1307
75.5,1319
76.5,1348
77.5,1316
78.5,1336
79.5,1327
80.5,1356
81.5,1344
82.5,1369
83.5,1385
84.5,1394
85.5,1325
86.5,1372
87.5,1302
88.5,1328
89.5,1284
90.5,1312
91.5,1237
92.5,1340
93.5,1256
94.5,1271
95.5,1224
96.5,1263
97.5,1254
98.5,1234
99.5,1142
100.5,1224
101.5,1237
102.5,1232
103.5,1138
104.5,1131
105.5,1146
106.5,1088
107.5,1118
108.5,1117
109.5,1054
110.5,1061
111.5,1086
112.5,1093
113.5,1006
114.5,987
115.5,1003
116.5,1005
117.5,958
118.5,970
119.5,991
120.5,953
121.5,1003
122.5,897
123.5,917
124.5,949
125.5,878
126.5,892
127.5,922
128.5,862
129.5,886
130.5,802
131.5,831
132.5,791
