# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = df2e1c5a2bca
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 00:35:47
# particle = gamma
# E_prim_keV = 425.1471
# N_primaries = 30000000
# N_with_signal = 162070
# sample_cm3 = 199.492
# matrix = air
# density_gcm3 = 0.0012
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,99
1.5,168
2.5,162
3.5,135
4.5,133
5.5,199
6.5,195
7.5,207
8.5,192
9.5,205
10.5,204
11.5,248
12.5,227
13.5,252
14.5,221
15.5,238
16.5,255
17.5,256
18.5,256
19.5,234
20.5,278
21.5,278
22.5,280
23.5,275
24.5,299
25.5,278
26.5,314
27.5,282
28.5,282
29.5,265
30.5,291
31.5,285
32.5,281
33.5,271
34.5,289
35.5,312
36.5,307
37.5,353
38.5,352
39.5,396
40.5,361
41.5,390
42.5,433
43.5,397
44.5,455
45.5,503
46.5,509
47.5,565
48.5,550
49.5,598
50.5,641
51.5,681
52.5,663
53.5,676
54.5,724
55.5,805
56.5,819
57.5,882
58.5,843
59.5,920
60.5,951
61.5,966
62.5,925
63.5,974
64.5,1014
65.5,1023
66.5,1083
67.5,1130
68.5,1097
69.5,1112
70.5,1093
71.5,1163
72.5,1164
73.5,1139
74.5,1220
75.5,1131
76.5,1238
77.5,1204
78.5,1190
79.5,1211
80.5,1227
81.5,1157
82.5,1186
83.5,1254
84.5,1238
85.5,1192
86.5,1259
87.5,1181
88.5,1185
89.5,1174
90.5,1220
91.5,1184
92.5,1151
93.5,1192
94.5,1195
95.5,1165
96.5,1223
97.5,1136
98.5,1132
99.5,1122
100.5,1115
101.5,1106
102.5,1050
103.5,1070
104.5,1009
105.5,1064
106.5,1043
107.5,1009
108.5,1040
109.5,984
110.5,991
111.5,941
112.5,984
113.5,995
114.5,946
115.5,912
116.5,917
117.5,869
118.5,973
119.5,857
120.5,862
121.5,896
122.5,907
123.5,835
124.5,844
125.5,809
126.5,809
