# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = df2e1c5a2bca
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 00:35:47
# particle = gamma
# E_prim_keV = 373.4430
# N_primaries = 30000000
# N_with_signal = 164022
# sample_cm3 = 199.492
# matrix = air
# density_gcm3 = 0.0012
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,113
1.5,167
2.5,162
3.5,146
4.5,167
5.5,197
6.5,230
7.5,200
8.5,211
9.5,218
10.5,213
11.5,262
12.5,226
13.5,256
14.5,210
15.5,232
16.5,227
17.5,251
18.5,246
19.5,251
20.5,275
21.5,288
22.5,266
23.5,303
24.5,315
25.5,296
26.5,280
27.5,317
28.5,294
29.5,302
30.5,286
31.5,329
32.5,344
33.5,316
34.5,320
35.5,334
36.5,333
37.5,348
38.5,368
39.5,376
40.5,370
41.5,409
42.5,449
43.5,405
44.5,441
45.5,475
46.5,506
47.5,562
48.5,564
49.5,602
50.5,610
51.5,703
52.5,718
53.5,720
54.5,820
55.5,856
56.5,859
57.5,934
58.5,949
59.5,985
60.5,1062
61.5,1034
62.5,1067
63.5,1114
64.5,1175
65.5,1202
66.5,1163
67.5,1136
68.5,1181
69.5,1178
70.5,1094
71.5,1111
72.5,1129
73.5,1143
74.5,1121
75.5,1132
76.5,1182
77.5,1203
78.5,1251
79.5,1182
80.5,1218
81.5,1230
82.5,1252
83.5,1299
84.5,1280
85.5,1226
86.5,1256
87.5,1227
88.5,1206
89.5,1162
90.5,1211
91.5,1126
92.5,1223
93.5,1130
94.5,1097
95.5,1080
96.5,1127
97.5,1089
98.5,1145
99.5,1094
100.5,1068
101.5,1022
102.5,1126
103.5,1083
104.5,1019
105.5,1059
106.5,1080
107.5,977
108.5,1060
109.5,1004
110.5,964
111.5,993
112.5,1028
113.5,956
114.5,987
115.5,927
116.5,941
117.5,943
118.5,943
119.5,920
120.5,938
121.5,903
122.5,903
123.5,862
124.5,862
125.5,852
126.5,796
127.5,809
128.5,789
129.5,743
130.5,736
131.5,739
132.5,692
133.5,734
134.5,708
135.5,667
136.5,687
137.5,654
138.5,649
139.5,652
140.5,662
141.5,672
142.5,621
143.5,601
144.5,659
145.5,615
146.5,602
147.5,598
148.5,573
149.5,577
150.5,601
151.5,589
152.5,519
153.5,581
154.5,489
155.5,539
156.5,514
157.5,524
158.5,492
159.5,485
160.5,515
161.5,494
162.5,473
163.5,513
164.5,504
165.5,465
166.5,481
167.5,456
168.5,457
169.5,459
170.5,439
171.5,439
172.5,428
173.5,444
174.5,439
175.5,415
176.5,413
177.5,432
178.5,387
179.5,402
180.5,356
181.5,405
182.5,366
183.5,380
184.5,418
185.5,351
186.5,368
187.5,330
188.5,355
189.5,371
190.5,348
191.5,364
192.5,330
193.5,327
194.5,317
195.5,326
196.5,335
197.5,330
198.5,341
199.5,334
200.5,311
201.5,312
202.5,274
203.5,307
204.5,315
205.5,292
206.5,288
207.5,310
208.5,268
209.5,287
210.5,275
211.5,257
212.5,278
213.5,270
214.5,244
215.5,255
216.5,255
217.5,239
218.5,249
219.5,214
220.5,216
221.5,167
222.5,219
223.5,203
224.5,200
225.5,224
226.5,208
227.5,199
228.5,180
229.5,177
230.5,168
231.5,185
232.5,160
233.5,142
234.5,174
235.5,165
236.5,161
