# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = df2e1c5a2bca
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 00:35:47
# particle = gamma
# E_prim_keV = 480.8194
# N_primaries = 30000000
# N_with_signal = 159522
# sample_cm3 = 199.492
# matrix = air
# density_gcm3 = 0.0012
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,112
1.5,138
2.5,146
3.5,124
4.5,140
5.5,195
6.5,185
7.5,211
8.5,177
9.5,209
10.5,218
11.5,239
12.5,210
13.5,211
14.5,216
15.5,203
16.5,243
17.5,207
18.5,213
19.5,232
20.5,244
21.5,261
22.5,239
23.5,272
24.5,272
25.5,267
26.5,312
27.5,258
28.5,304
29.5,282
30.5,297
31.5,278
32.5,280
33.5,310
34.5,288
35.5,298
36.5,294
37.5,317
38.5,301
39.5,345
40.5,331
41.5,363
42.5,373
43.5,386
44.5,444
45.5,434
46.5,450
47.5,490
48.5,536
49.5,535
50.5,603
51.5,663
52.5,718
53.5,756
54.5,779
55.5,878
56.5,898
57.5,943
58.5,891
59.5,955
60.5,962
61.5,996
62.5,997
63.5,1005
64.5,1054
65.5,1122
66.5,1081
67.5,1116
68.5,1095
69.5,1127
70.5,1138
71.5,1170
72.5,1141
73.5,1139
74.5,1233
75.5,1222
76.5,1248
77.5,1178
78.5,1213
79.5,1201
80.5,1268
81.5,1261
82.5,1201
83.5,1273
84.5,1253
85.5,1288
86.5,1225
87.5,1183
88.5,1227
89.5,1172
90.5,1124
91.5,1119
92.5,1167
93.5,1115
94.5,1008
95.5,1070
96.5,1072
97.5,1062
98.5,1060
99.5,1044
100.5,1035
101.5,969
102.5,972
103.5,968
104.5,979
105.5,1047
106.5,994
107.5,998
108.5,942
109.5,967
110.5,1025
111.5,949
112.5,1023
113.5,948
114.5,1006
115.5,1027
116.5,1005
117.5,959
118.5,916
119.5,944
120.5,865
121.5,826
122.5,854
123.5,759
124.5,770
125.5,772
126.5,710
127.5,744
128.5,732
129.5,739
130.5,707
131.5,719
132.5,706
133.5,719
134.5,691
135.5,680
136.5,637
137.5,640
138.5,676
139.5,642
140.5,587
141.5,635
142.5,596
143.5,584
144.5,605
145.5,549
146.5,592
147.5,557
148.5,573
149.5,528
150.5,544
151.5,570
152.5,550
153.5,461
154.5,535
155.5,531
156.5,535
157.5,534
158.5,488
159.5,475
160.5,481
161.5,470
162.5,493
163.5,491
164.5,476
165.5,447
166.5,480
167.5,438
168.5,473
169.5,480
170.5,477
