# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = df2e1c5a2bca
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 00:35:47
# particle = gamma
# E_prim_keV = 168.3578
# N_primaries = 30000000
# N_with_signal = 215183
# sample_cm3 = 199.492
# matrix = air
# density_gcm3 = 0.0012
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,143
1.5,177
2.5,172
3.5,178
4.5,188
5.5,240
6.5,269
7.5,292
8.5,255
9.5,262
10.5,232
11.5,315
12.5,248
13.5,290
14.5,313
15.5,291
16.5,288
17.5,301
18.5,294
19.5,342
20.5,311
21.5,313
22.5,343
23.5,355
24.5,363
25.5,361
26.5,365
27.5,357
28.5,381
29.5,346
30.5,406
31.5,398
32.5,414
33.5,400
34.5,429
35.5,449
36.5,460
37.5,482
38.5,519
39.5,555
40.5,542
41.5,554
42.5,535
43.5,551
44.5,591
45.5,666
46.5,723
47.5,761
48.5,799
49.5,870
50.5,864
51.5,998
52.5,1032
53.5,1038
54.5,1073
55.5,1195
56.5,1202
57.5,1312
58.5,1371
59.5,1455
60.5,1483
61.5,1449
62.5,1529
63.5,1619
64.5,1738
65.5,1747
66.5,1801
67.5,1716
68.5,1781
69.5,1736
70.5,1779
71.5,1732
72.5,1779
73.5,1773
74.5,1823
75.5,1742
76.5,1789
77.5,1716
78.5,1778
79.5,1774
80.5,1750
81.5,1748
82.5,1811
83.5,1797
84.5,1762
85.5,1796
86.5,1782
87.5,1747
88.5,1789
89.5,1750
90.5,1790
91.5,1686
92.5,1719
93.5,1702
94.5,1658
95.5,1664
96.5,1636
97.5,1700
98.5,1685
99.5,1560
100.5,1625
101.5,1568
102.5,1515
103.5,1555
104.5,1497
105.5,1573
106.5,1496
107.5,1460
108.5,1432
109.5,1322
110.5,1473
111.5,1321
112.5,1236
113.5,1279
114.5,1266
115.5,1250
116.5,1282
117.5,1226
118.5,1221
119.5,1236
120.5,1202
121.5,1239
122.5,1218
123.5,1177
124.5,1235
125.5,1179
126.5,1190
127.5,1170
128.5,1144
129.5,1159
130.5,1129
131.5,1122
132.5,1124
133.5,1146
134.5,1157
135.5,1085
136.5,1068
137.5,1053
138.5,1026
139.5,1013
140.5,1034
141.5,888
142.5,932
143.5,919
144.5,982
145.5,935
146.5,881
147.5,825
148.5,947
149.5,906
150.5,855
151.5,934
152.5,917
153.5,826
154.5,847
155.5,825
156.5,798
157.5,803
158.5,776
159.5,820
160.5,787
161.5,668
162.5,675
163.5,671
164.5,653
165.5,630
166.5,604
167.5,581
168.5,591
169.5,596
170.5,537
171.5,549
172.5,494
173.5,515
174.5,500
175.5,478
176.5,440
177.5,444
178.5,483
179.5,471
180.5,425
181.5,409
182.5,450
183.5,413
184.5,406
185.5,413
186.5,406
187.5,427
188.5,416
189.5,403
190.5,390
191.5,388
192.5,342
193.5,378
194.5,387
195.5,330
196.5,328
197.5,325
198.5,375
199.5,323
200.5,335
201.5,304
202.5,318
203.5,291
204.5,292
205.5,298
206.5,283
207.5,283
208.5,267
209.5,290
210.5,282
211.5,282
212.5,227
213.5,277
214.5,262
215.5,261
216.5,242
217.5,256
218.5,235
219.5,256
220.5,268
221.5,239
222.5,249
223.5,213
224.5,239
225.5,226
226.5,227
227.5,204
228.5,233
229.5,230
230.5,217
231.5,214
232.5,213
233.5,180
234.5,194
235.5,190
236.5,196
237.5,224
238.5,266
239.5,261
240.5,264
241.5,291
242.5,278
243.5,323
244.5,316
245.5,319
246.5,291
247.5,305
248.5,260
249.5,275
250.5,244
251.5,215
252.5,212
253.5,182
254.5,174
255.5,165
256.5,155
257.5,155
258.5,163
259.5,157
260.5,148
261.5,169
262.5,148
263.5,151
264.5,159
265.5,137
266.5,138
267.5,146
268.5,126
269.5,158
270.5,127
271.5,127
272.5,112
273.5,120
274.5,97
275.5,107
276.5,113
277.5,107
278.5,89
279.5,94
280.5,120
281.5,93
282.5,105
283.5,108
284.5,112
285.5,109
286.5,148
287.5,193
288.5,216
289.5,274
290.5,264
291.5,353
292.5,337
293.5,370
294.5,394
295.5,443
296.5,347
297.5,329
298.5,314
299.5,250
300.5,244
301.5,216
302.5,142
303.5,114
304.5,68
305.5,51
306.5,57
307.5,48
308.5,38
309.5,48
310.5,46
311.5,26
312.5,46
313.5,35
314.5,32
315.5,38
316.5,36
317.5,50
318.5,32
319.5,49
320.5,51
321.5,35
322.5,35
323.5,47
324.5,37
325.5,52
326.5,31
327.5,30
328.5,25
329.5,38
330.5,30
331.5,37
332.5,30
333.5,33
334.5,46
335.5,39
336.5,39
337.5,39
338.5,43
339.5,40
340.5,39
341.5,47
342.5,40
343.5,37
344.5,37
345.5,61
346.5,146
347.5,170
348.5,233
349.5,304
350.5,329
351.5,424
352.5,454
353.5,499
354.5,505
