# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = df2e1c5a2bca
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 00:35:47
# particle = gamma
# E_prim_keV = 116.1360
# N_primaries = 30000000
# N_with_signal = 253670
# sample_cm3 = 199.492
# matrix = air
# density_gcm3 = 0.0012
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,79
1.5,129
2.5,131
3.5,119
4.5,143
5.5,179
6.5,202
7.5,206
8.5,209
9.5,209
10.5,250
11.5,307
12.5,254
13.5,263
14.5,267
15.5,286
16.5,274
17.5,282
18.5,300
19.5,312
20.5,340
21.5,328
22.5,333
23.5,350
24.5,382
25.5,427
26.5,372
27.5,396
28.5,386
29.5,408
30.5,407
31.5,421
32.5,433
33.5,462
34.5,432
35.5,498
36.5,489
37.5,530
38.5,575
39.5,589
40.5,626
41.5,639
42.5,685
43.5,691
44.5,671
45.5,739
46.5,843
47.5,859
48.5,1000
49.5,1082
50.5,1197
51.5,1251
52.5,1333
53.5,1345
54.5,1472
55.5,1536
56.5,1603
57.5,1672
58.5,1760
59.5,1866
60.5,1904
61.5,1870
62.5,1907
63.5,2057
64.5,1964
65.5,2100
66.5,2063
67.5,2255
68.5,2297
69.5,2273
70.5,2360
71.5,2392
72.5,2392
73.5,2381
74.5,2447
75.5,2546
76.5,2646
77.5,2467
78.5,2563
79.5,2581
80.5,2666
81.5,2580
82.5,2672
83.5,2681
84.5,2632
85.5,2572
86.5,2608
87.5,2552
88.5,2593
89.5,2541
90.5,2527
91.5,2456
92.5,2449
93.5,2447
94.5,2523
95.5,2360
96.5,2353
97.5,2338
98.5,2369
99.5,2306
100.5,2302
101.5,2356
102.5,2204
103.5,2273
104.5,2302
105.5,2266
106.5,2219
107.5,2262
108.5,2254
109.5,2239
110.5,2311
111.5,2211
112.5,2187
113.5,2191
114.5,2263
115.5,2121
116.5,2040
117.5,1944
118.5,1858
119.5,1779
120.5,1736
121.5,1637
122.5,1501
123.5,1522
124.5,1398
125.5,1353
126.5,1348
127.5,1346
128.5,1320
129.5,1204
130.5,1323
131.5,1312
132.5,1278
133.5,1193
134.5,1331
135.5,1181
136.5,1123
137.5,1140
138.5,1084
139.5,1018
140.5,991
141.5,1032
142.5,934
143.5,888
144.5,870
145.5,864
146.5,933
147.5,907
148.5,912
149.5,921
150.5,1033
151.5,1012
152.5,1016
153.5,1018
154.5,1020
155.5,972
156.5,933
157.5,892
158.5,909
159.5,891
160.5,931
161.5,872
162.5,834
163.5,798
164.5,818
165.5,826
166.5,810
167.5,809
168.5,709
169.5,707
170.5,732
171.5,714
172.5,691
173.5,662
174.5,615
175.5,804
176.5,1161
177.5,1376
178.5,1731
179.5,2088
180.5,2308
181.5,2599
182.5,2939
183.5,3149
184.5,3590
