# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = df2e1c5a2bca
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 00:35:47
# particle = gamma
# E_prim_keV = 555.0383
# N_primaries = 30000000
# N_with_signal = 162771
# sample_cm3 = 199.492
# matrix = air
# density_gcm3 = 0.0012
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,106
1.5,144
2.5,140
3.5,119
4.5,155
5.5,188
6.5,211
7.5,237
8.5,239
9.5,188
10.5,203
11.5,245
12.5,206
13.5,235
14.5,224
15.5,236
16.5,230
17.5,237
18.5,236
19.5,231
20.5,286
21.5,264
22.5,277
23.5,269
24.5,225
25.5,286
26.5,288
27.5,290
28.5,282
29.5,241
30.5,286
31.5,308
32.5,312
33.5,297
34.5,313
35.5,352
36.5,323
37.5,359
38.5,393
39.5,354
40.5,386
41.5,396
42.5,455
43.5,423
44.5,444
45.5,471
46.5,517
47.5,548
48.5,544
49.5,636
50.5,636
51.5,748
52.5,727
53.5,775
54.5,791
55.5,805
56.5,894
57.5,949
58.5,942
59.5,1024
60.5,1045
61.5,1061
62.5,1072
63.5,1091
64.5,1189
65.5,1127
66.5,1165
67.5,1110
68.5,1186
69.5,1164
70.5,1219
71.5,1147
72.5,1228
73.5,1210
74.5,1191
75.5,1242
76.5,1226
77.5,1263
78.5,1267
79.5,1243
80.5,1262
81.5,1253
82.5,1218
83.5,1337
84.5,1280
85.5,1236
86.5,1245
87.5,1231
88.5,1272
89.5,1250
90.5,1189
91.5,1247
92.5,1284
93.5,1205
94.5,1113
95.5,1223
96.5,1193
97.5,1173
98.5,1194
99.5,1152
100.5,1141
101.5,1191
102.5,1078
103.5,1085
104.5,1077
105.5,1137
106.5,1056
107.5,1046
108.5,1034
109.5,1007
110.5,985
111.5,972
112.5,947
113.5,900
114.5,944
115.5,859
116.5,895
117.5,908
118.5,906
119.5,873
120.5,892
121.5,844
122.5,835
123.5,792
124.5,776
125.5,816
126.5,758
127.5,730
128.5,728
129.5,735
130.5,693
131.5,654
132.5,634
133.5,641
134.5,626
135.5,594
136.5,622
137.5,615
138.5,608
