E_keV,k_soil_1.20,k_soil_1.60,k_water_1.00
25.0,0.8856,0.8643,1.1080
35.0,0.8940,0.8565,1.1868
45.0,0.8765,0.8382,1.2106
55.0,0.9038,0.8774,1.1716
65.0,0.9274,0.9121,1.1236
75.0,0.9477,0.9363,1.0854
85.0,0.9610,0.9512,1.0543
95.0,0.9741,0.9640,1.0358
105.0,0.9812,0.9700,1.0184
115.0,0.9744,0.9626,1.0005
125.0,0.9741,0.9590,0.9962
135.0,0.9846,0.9628,0.9994
145.0,0.9875,0.9572,0.9968
155.0,0.9812,0.9482,0.9901
165.0,0.9767,0.9477,0.9888
175.0,0.9770,0.9523,0.9923
185.0,0.9810,0.9575,0.9956
195.0,0.9878,0.9620,0.9987
205.0,0.9918,0.9591,0.9971
215.0,0.9829,0.9423,0.9827
225.0,0.9636,0.9184,0.9594
235.0,0.9513,0.9028,0.9403
245.0,0.9542,0.9046,0.9329
255.0,0.9631,0.9184,0.9352
265.0,0.9629,0.9277,0.9392
275.0,0.9488,0.9234,0.9349
285.0,0.9280,0.9115,0.9202
295.0,0.9116,0.9016,0.9057
305.0,0.9068,0.8996,0.9044
315.0,0.9101,0.9050,0.9181
325.0,0.9084,0.9097,0.9345
335.0,0.8962,0.9064,0.9393
345.0,0.8822,0.8979,0.9313
355.0,0.8765,0.8920,0.9194
365.0,0.8817,0.8920,0.9111
375.0,0.8945,0.8972,0.9095
385.0,0.9088,0.9064,0.9127
395.0,0.9215,0.9197,0.9163
405.0,0.9330,0.9368,0.9186
415.0,0.9424,0.9544,0.9213
425.0,0.9466,0.9684,0.9257
435.0,0.9457,0.9782,0.9320
445.0,0.9450,0.9877,0.9419
455.0,0.9505,1.0014,0.9556
465.0,0.9623,1.0181,0.9685
475.0,0.9735,1.0294,0.9731
485.0,0.9767,1.0263,0.9653
495.0,0.9709,1.0089,0.9494
505.0,0.9628,0.9878,0.9359
515.0,0.9598,0.9731,0.9331
525.0,0.9656,0.9679,0.9436
535.0,0.9791,0.9683,0.9634
545.0,0.9951,0.9668,0.9828
555.0,1.0042,0.9559,0.9900
565.0,0.9991,0.9341,0.9792
