config,E_keV,frac,d_frac,mean_edep_keV
full_organic_0.50,200.0,3.000000e-05,8.66e-06,0.0018
full_organic_0.50,400.0,9.000000e-05,1.50e-05,0.0055
full_organic_0.50,600.0,1.825000e-04,2.14e-05,0.0115
full_organic_0.50,800.0,3.050000e-04,2.76e-05,0.0236
full_organic_0.50,1000.0,3.800000e-04,3.08e-05,0.0295
full_organic_0.50,1100.0,4.475000e-04,3.34e-05,0.0390
full_organic_0.50,1200.0,5.525000e-04,3.72e-05,0.0511
full_organic_0.50,1311.0,6.700000e-04,4.09e-05,0.0629
full_organic_0.50,1400.0,6.925000e-04,4.16e-05,0.0745
full_organic_0.50,1600.0,1.097500e-03,5.24e-05,0.1676
full_organic_0.50,1800.0,1.680000e-03,6.48e-05,0.3511
full_organic_0.50,2000.0,2.682500e-03,8.19e-05,0.7657
full_organic_0.50,2274.0,4.125000e-03,1.02e-04,1.5834
full_organic_0.50,2500.0,5.592500e-03,1.18e-04,2.4531
full_organic_0.50,3000.0,8.860000e-03,1.49e-04,5.1430
full_organic_0.50,3270.0,1.076500e-02,1.64e-04,7.4018
full_soil_0.80,200.0,5.250000e-05,1.15e-05,0.0032
full_soil_0.80,400.0,1.425000e-04,1.89e-05,0.0100
full_soil_0.80,600.0,2.475000e-04,2.49e-05,0.0218
full_soil_0.80,800.0,4.200000e-04,3.24e-05,0.0346
full_soil_0.80,1000.0,5.650000e-04,3.76e-05,0.0516
full_soil_0.80,1100.0,6.250000e-04,3.95e-05,0.0525
full_soil_0.80,1200.0,6.625000e-04,4.07e-05,0.0571
full_soil_0.80,1311.0,8.650000e-04,4.65e-05,0.0879
full_soil_0.80,1400.0,9.950000e-04,4.99e-05,0.1070
full_soil_0.80,1600.0,1.295000e-03,5.69e-05,0.1791
full_soil_0.80,1800.0,1.837500e-03,6.78e-05,0.3299
full_soil_0.80,2000.0,2.592500e-03,8.05e-05,0.6142
full_soil_0.80,2274.0,3.880000e-03,9.85e-05,1.2102
full_soil_0.80,2500.0,5.010000e-03,1.12e-04,1.9590
full_soil_0.80,3000.0,7.540000e-03,1.37e-04,3.9604
full_soil_0.80,3270.0,8.975000e-03,1.50e-04,5.4663
full_soil_1.20,200.0,2.500000e-05,7.91e-06,0.0019
full_soil_1.20,400.0,1.300000e-04,1.80e-05,0.0096
full_soil_1.20,600.0,2.575000e-04,2.54e-05,0.0212
full_soil_1.20,800.0,4.650000e-04,3.41e-05,0.0451
full_soil_1.20,1000.0,5.025000e-04,3.54e-05,0.0448
full_soil_1.20,1100.0,6.525000e-04,4.04e-05,0.0577
full_soil_1.20,1200.0,6.700000e-04,4.09e-05,0.0656
full_soil_1.20,1311.0,7.750000e-04,4.40e-05,0.0839
full_soil_1.20,1400.0,9.500000e-04,4.87e-05,0.1007
full_soil_1.20,1600.0,1.240000e-03,5.57e-05,0.1553
full_soil_1.20,1800.0,1.810000e-03,6.73e-05,0.2890
full_soil_1.20,2000.0,2.270000e-03,7.53e-05,0.4628
full_soil_1.20,2274.0,3.152500e-03,8.88e-05,0.8710
full_soil_1.20,2500.0,3.955000e-03,9.94e-05,1.3175
full_soil_1.20,3000.0,5.567500e-03,1.18e-04,2.5597
full_soil_1.20,3270.0,6.940000e-03,1.32e-04,3.7405
full_soil_1.60,200.0,4.000000e-05,1.00e-05,0.0021
full_soil_1.60,400.0,9.250000e-05,1.52e-05,0.0073
full_soil_1.60,600.0,2.275000e-04,2.38e-05,0.0184
full_soil_1.60,800.0,3.900000e-04,3.12e-05,0.0345
full_soil_1.60,1000.0,5.725000e-04,3.78e-05,0.0538
full_soil_1.60,1100.0,6.025000e-04,3.88e-05,0.0561
full_soil_1.60,1200.0,7.075000e-04,4.21e-05,0.0723
full_soil_1.60,1311.0,7.950000e-04,4.46e-05,0.0800
full_soil_1.60,1400.0,9.825000e-04,4.96e-05,0.0964
full_soil_1.60,1600.0,1.130000e-03,5.32e-05,0.1411
full_soil_1.60,1800.0,1.532500e-03,6.19e-05,0.2326
full_soil_1.60,2000.0,1.902500e-03,6.90e-05,0.3356
full_soil_1.60,2274.0,2.622500e-03,8.10e-05,0.6360
full_soil_1.60,2500.0,3.210000e-03,8.96e-05,1.0048
full_soil_1.60,3000.0,4.922500e-03,1.11e-04,2.1262
full_soil_1.60,3270.0,5.787500e-03,1.20e-04,2.7820
full_water_1.00,200.0,3.250000e-05,9.01e-06,0.0018
full_water_1.00,400.0,1.050000e-04,1.62e-05,0.0067
full_water_1.00,600.0,1.875000e-04,2.17e-05,0.0118
full_water_1.00,800.0,2.975000e-04,2.73e-05,0.0230
full_water_1.00,1000.0,3.875000e-04,3.11e-05,0.0329
full_water_1.00,1100.0,3.975000e-04,3.15e-05,0.0282
full_water_1.00,1200.0,5.750000e-04,3.79e-05,0.0487
full_water_1.00,1311.0,6.250000e-04,3.95e-05,0.0569
full_water_1.00,1400.0,6.950000e-04,4.17e-05,0.0627
full_water_1.00,1600.0,1.035000e-03,5.09e-05,0.1230
full_water_1.00,1800.0,1.310000e-03,5.72e-05,0.2220
full_water_1.00,2000.0,1.882500e-03,6.86e-05,0.4163
full_water_1.00,2274.0,2.845000e-03,8.43e-05,0.8670
full_water_1.00,2500.0,3.642500e-03,9.54e-05,1.2771
full_water_1.00,3000.0,5.502500e-03,1.17e-04,2.8545
full_water_1.00,3270.0,6.457500e-03,1.27e-04,3.6609
