config,matrix,rho_gcm3,E_keV,eps_p,d_eps_p,eps_t,d_eps_t,f_abs
full_air_0.00,air,0.0012,30.0,1.217000e-02,7.80e-05,1.229850e-02,7.84e-05,1.0000
full_air_0.00,air,0.0012,46.5,1.062950e-02,7.29e-05,1.164800e-02,7.63e-05,1.0000
full_air_0.00,air,0.0012,59.5,1.145500e-02,7.57e-05,1.512500e-02,8.70e-05,1.0000
full_air_0.00,air,0.0012,80.0,1.187600e-02,7.71e-05,1.514050e-02,8.70e-05,1.0000
full_air_0.00,air,0.0012,92.6,1.173500e-02,7.66e-05,1.472200e-02,8.58e-05,1.0000
full_air_0.00,air,0.0012,122.0,1.092650e-02,7.39e-05,1.352500e-02,8.22e-05,1.0000
full_air_0.00,air,0.0012,186.0,7.764500e-03,6.23e-05,1.015750e-02,7.13e-05,1.0000
full_air_0.00,air,0.0012,238.6,5.133500e-03,5.07e-05,7.577500e-03,6.16e-05,1.0000
full_air_0.00,air,0.0012,295.2,3.519500e-03,4.19e-05,6.019500e-03,5.49e-05,1.0000
full_air_0.00,air,0.0012,351.9,2.536000e-03,3.56e-05,5.228500e-03,5.11e-05,1.0000
full_air_0.00,air,0.0012,477.0,1.377500e-03,2.62e-05,4.016000e-03,4.48e-05,1.0000
full_air_0.00,air,0.0012,583.2,8.710000e-04,2.09e-05,3.446000e-03,4.15e-05,1.0000
full_air_0.00,air,0.0012,609.3,8.270000e-04,2.03e-05,3.375500e-03,4.11e-05,1.0000
full_air_0.00,air,0.0012,661.7,7.240000e-04,1.90e-05,3.216000e-03,4.01e-05,1.0000
full_air_0.00,air,0.0012,795.0,5.220000e-04,1.62e-05,2.911000e-03,3.82e-05,1.0000
full_air_0.00,air,0.0012,911.2,3.910000e-04,1.40e-05,2.730500e-03,3.69e-05,1.0000
full_air_0.00,air,0.0012,968.9,3.235000e-04,1.27e-05,2.698500e-03,3.67e-05,1.0000
full_air_0.00,air,0.0012,1120.3,2.685000e-04,1.16e-05,2.525500e-03,3.55e-05,1.0000
full_air_0.00,air,0.0012,1173.2,2.435000e-04,1.10e-05,2.516000e-03,3.55e-05,1.0000
full_air_0.00,air,0.0012,1332.5,1.985000e-04,9.96e-06,2.343500e-03,3.42e-05,1.0000
full_air_0.00,air,0.0012,1460.8,1.820000e-04,9.54e-06,2.320000e-03,3.41e-05,1.0000
full_air_0.00,air,0.0012,1764.5,1.260000e-04,7.94e-06,2.204500e-03,3.32e-05,1.0000
full_air_0.00,air,0.0012,2204.0,8.200000e-05,6.40e-06,2.016500e-03,3.18e-05,1.0000
full_air_0.00,air,0.0012,2614.5,5.750000e-05,5.36e-06,2.041000e-03,3.19e-05,1.0000
full_air_0.00,air,0.0012,3000.0,4.250000e-05,4.61e-06,2.012500e-03,3.17e-05,1.0000
full_organic_0.50,organic,0.5000,30.0,1.202900e-02,7.76e-05,1.240650e-02,7.88e-05,0.9884
full_organic_0.50,organic,0.5000,46.5,1.039650e-02,7.21e-05,1.260300e-02,7.94e-05,0.9781
full_organic_0.50,organic,0.5000,59.5,1.078200e-02,7.34e-05,1.611300e-02,8.98e-05,0.9412
full_organic_0.50,organic,0.5000,80.0,1.112400e-02,7.46e-05,1.654150e-02,9.09e-05,0.9367
full_organic_0.50,organic,0.5000,92.6,1.110050e-02,7.45e-05,1.629600e-02,9.03e-05,0.9459
full_organic_0.50,organic,0.5000,122.0,1.024350e-02,7.16e-05,1.491700e-02,8.64e-05,0.9375
full_organic_0.50,organic,0.5000,186.0,7.234000e-03,6.01e-05,1.129350e-02,7.51e-05,0.9317
full_organic_0.50,organic,0.5000,238.6,4.864000e-03,4.93e-05,8.683500e-03,6.59e-05,0.9475
full_organic_0.50,organic,0.5000,295.2,3.300000e-03,4.06e-05,6.951000e-03,5.90e-05,0.9376
full_organic_0.50,organic,0.5000,351.9,2.274000e-03,3.37e-05,5.790500e-03,5.38e-05,0.8967
full_organic_0.50,organic,0.5000,477.0,1.266500e-03,2.52e-05,4.563500e-03,4.78e-05,0.9194
full_organic_0.50,organic,0.5000,583.2,8.295000e-04,2.04e-05,3.952500e-03,4.45e-05,0.9524
full_organic_0.50,organic,0.5000,609.3,8.315000e-04,2.04e-05,3.920000e-03,4.43e-05,1.0054
full_organic_0.50,organic,0.5000,661.7,6.635000e-04,1.82e-05,3.635000e-03,4.26e-05,0.9164
full_organic_0.50,organic,0.5000,795.0,4.935000e-04,1.57e-05,3.237500e-03,4.02e-05,0.9454
full_organic_0.50,organic,0.5000,911.2,3.660000e-04,1.35e-05,3.060500e-03,3.91e-05,0.9361
full_organic_0.50,organic,0.5000,968.9,3.435000e-04,1.31e-05,3.035000e-03,3.90e-05,1.0618
full_organic_0.50,organic,0.5000,1120.3,2.540000e-04,1.13e-05,2.756000e-03,3.71e-05,0.9460
full_organic_0.50,organic,0.5000,1173.2,2.415000e-04,1.10e-05,2.697500e-03,3.67e-05,0.9918
full_organic_0.50,organic,0.5000,1332.5,1.980000e-04,9.95e-06,2.614000e-03,3.62e-05,0.9975
full_organic_0.50,organic,0.5000,1460.8,1.585000e-04,8.90e-06,2.586000e-03,3.60e-05,0.8709
full_organic_0.50,organic,0.5000,1764.5,1.340000e-04,8.19e-06,2.338500e-03,3.42e-05,1.0635
full_organic_0.50,organic,0.5000,2204.0,7.800000e-05,6.24e-06,2.311500e-03,3.40e-05,0.9512
full_organic_0.50,organic,0.5000,2614.5,6.550000e-05,5.72e-06,2.266000e-03,3.37e-05,1.1391
full_organic_0.50,organic,0.5000,3000.0,3.600000e-05,4.24e-06,2.199500e-03,3.32e-05,0.8471
full_soil_0.80,soil,0.8000,30.0,4.976500e-03,4.99e-05,5.028000e-03,5.01e-05,0.4089
full_soil_0.80,soil,0.8000,46.5,8.176500e-03,6.39e-05,9.435000e-03,6.87e-05,0.7692
full_soil_0.80,soil,0.8000,59.5,9.521500e-03,6.90e-05,1.413600e-02,8.41e-05,0.8312
full_soil_0.80,soil,0.8000,80.0,1.012150e-02,7.11e-05,1.569300e-02,8.86e-05,0.8523
full_soil_0.80,soil,0.8000,92.6,1.040450e-02,7.21e-05,1.588100e-02,8.91e-05,0.8866
full_soil_0.80,soil,0.8000,122.0,9.764000e-03,6.99e-05,1.519200e-02,8.72e-05,0.8936
