E_keV,eps_p_mine,eps_p_lsrm,ratio,shape
80.0,1.017550e-02,7.376980e-03,1.3794,1.1960
92.6,1.020950e-02,7.626678e-03,1.3387,1.1607
122.0,9.626000e-03,7.516846e-03,1.2806,1.1104
186.0,6.694000e-03,5.380553e-03,1.2441,1.0788
238.6,4.571000e-03,3.761756e-03,1.2151,1.0536
295.2,3.125500e-03,2.576817e-03,1.2129,1.0517
351.9,2.169500e-03,1.828721e-03,1.1863,1.0287
477.0,1.178000e-03,9.891062e-04,1.1910,1.0327
583.2,8.075000e-04,6.680492e-04,1.2087,1.0481
609.3,7.445000e-04,6.154330e-04,1.2097,1.0489
661.7,6.105000e-04,5.293610e-04,1.1533,1.0000
795.0,4.365000e-04,3.868344e-04,1.1284,0.9784
911.2,3.565000e-04,3.125328e-04,1.1407,0.9891
968.9,3.155000e-04,2.854425e-04,1.1053,0.9584
1120.3,2.685000e-04,2.330563e-04,1.1521,0.9990
1173.2,2.355000e-04,2.191664e-04,1.0745,0.9317
1332.5,1.900000e-04,1.859926e-04,1.0215,0.8858
1460.8,1.560000e-04,1.657621e-04,0.9411,0.8160
1764.5,1.225000e-04,1.310459e-04,0.9348,0.8105
2204.0,7.400000e-05,9.826974e-05,0.7530,0.6529
2614.5,5.600000e-05,7.762949e-05,0.7214,0.6255
3000.0,4.000000e-05,6.376850e-05,0.6273,0.5439
