# разложение отклика по каналам, канал ставится по истории процессов события
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# particle = gamma
# E_prim_keV = 60.0000
# N_primaries = 30000000
# N_with_signal = 286619
# matrix = air
# bin_keV = 1.000
# правило приоритета: пары -> вылет первичного после комптона -> рентген -> тормозное -> без вылета
E_keV,photo,compt_full,compt_esc1,compt_escN,xray_esc,brems_esc,pair_full,pair_esc1,pair_esc2,external,other
0.5,3,0,15,0,12,0,0,0,0,1,0
1.5,6,0,21,0,26,0,0,0,0,1,0
2.5,10,0,40,0,17,0,0,0,0,0,0
3.5,10,0,39,0,14,0,0,0,0,0,0
4.5,9,0,40,0,17,0,0,0,0,0,0
5.5,38,0,50,1,48,0,0,0,0,1,0
6.5,33,0,62,0,56,0,0,0,0,3,0
7.5,36,0,68,0,67,0,0,0,0,0,0
8.5,22,0,81,0,48,0,0,0,0,2,0
9.5,30,0,99,0,69,0,0,0,0,0,0
10.5,17,0,72,0,67,0,0,0,0,0,0
11.5,30,0,65,0,80,0,0,0,0,162,0
12.5,35,0,24,0,81,0,0,0,0,1,0
13.5,29,0,14,0,116,0,0,0,0,37,0
14.5,22,2,11,0,146,2,0,0,0,0,0
15.5,27,1,8,0,138,0,0,0,0,0,0
16.5,19,0,3,0,213,0,0,0,0,0,0
17.5,29,0,3,0,239,0,0,0,0,0,0
18.5,16,0,3,0,431,0,0,0,0,0,0
19.5,18,0,0,0,436,1,0,0,0,0,0
20.5,26,1,2,0,485,1,0,0,0,0,0
21.5,18,0,0,0,551,0,0,0,0,0,0
22.5,17,0,2,0,494,0,0,0,0,1,0
23.5,15,0,1,0,484,0,0,0,0,0,0
24.5,11,0,1,0,976,1,0,0,0,0,0
25.5,17,0,0,0,2469,0,0,0,0,0,0
26.5,14,0,0,0,1246,0,0,0,0,0,0
27.5,15,0,0,0,3750,0,0,0,0,1,0
28.5,20,0,0,0,508,2,0,0,0,0,0
29.5,13,0,0,0,18074,1,0,0,0,0,0
30.5,28,0,0,0,274,2,0,0,0,0,0
31.5,19,0,1,0,15398,2,0,0,0,0,0
32.5,28,0,0,0,57,2,0,0,0,0,0
33.5,47,0,0,0,24,5,0,0,0,0,0
34.5,63,0,1,0,17,1,0,0,0,0,0
35.5,69,0,1,0,5,1,0,0,0,0,0
36.5,78,0,0,0,7,1,0,0,0,1,0
37.5,102,0,0,0,9,2,0,0,0,0,0
38.5,98,0,0,0,6,2,0,0,0,0,0
39.5,130,2,0,0,8,5,0,0,0,0,0
40.5,124,0,0,0,18,1,0,0,0,0,0
41.5,192,0,0,0,11,1,0,0,0,0,0
42.5,232,0,1,0,11,1,0,0,0,0,0
43.5,307,0,0,0,34,5,0,0,0,0,0
44.5,323,0,0,0,7,1,0,0,0,0,0
45.5,382,4,0,0,7,3,0,0,0,1,0
46.5,464,2,0,0,10,1,0,0,0,0,0
47.5,555,8,0,0,11,3,0,0,0,0,0
48.5,1256,13,0,0,17,2,0,0,0,0,0
49.5,2228,10,2,0,17,0,0,0,0,0,0
50.5,2177,24,0,0,8,2,0,0,0,0,0
51.5,2003,19,0,0,7,1,0,0,0,0,0
52.5,1913,19,0,0,8,0,0,0,0,0,0
53.5,1874,14,2,0,10,0,0,0,0,0,0
54.5,1858,10,1,0,54,0,0,0,0,0,0
55.5,2035,27,0,0,127,0,0,0,0,1,0
56.5,2338,28,0,0,150,0,0,0,0,0,0
57.5,2729,29,0,0,133,1,0,0,0,0,0
58.5,3108,25,0,0,33,0,0,0,0,1,0
59.5,70520,1000,0,0,24,0,0,0,0,0,0
60.5,136944,1681,0,0,10,0,0,0,0,0,0
