# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# src_sha1 = 7de2c887d65b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 01:39:27
# particle = gamma
# E_prim_keV = 80.0000
# N_primaries = 30000000
# N_with_signal = 282866
# sample_cm3 = 199.492
# matrix = air
# density_gcm3 = 0.0012
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,33
1.5,48
2.5,82
3.5,56
4.5,85
5.5,111
6.5,125
7.5,107
8.5,122
9.5,136
10.5,110
11.5,196
12.5,118
13.5,183
14.5,142
15.5,158
16.5,165
17.5,156
18.5,160
19.5,105
20.5,80
21.5,70
22.5,61
23.5,76
24.5,63
25.5,87
26.5,100
27.5,107
28.5,95
29.5,127
30.5,175
31.5,229
32.5,238
33.5,311
34.5,263
35.5,240
36.5,271
37.5,265
38.5,234
39.5,252
40.5,232
41.5,240
42.5,244
43.5,248
44.5,590
45.5,1410
46.5,851
47.5,2526
48.5,298
49.5,12047
50.5,292
51.5,10091
52.5,212
53.5,211
54.5,250
55.5,264
56.5,251
57.5,298
58.5,319
59.5,393
60.5,649
61.5,1343
62.5,1513
63.5,1478
64.5,1365
65.5,1348
66.5,1213
67.5,1144
68.5,1152
69.5,1193
70.5,1208
71.5,1231
72.5,1260
73.5,1431
74.5,1516
75.5,1696
76.5,1853
77.5,2009
78.5,2016
79.5,91735
80.5,127504
