# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# particle = gamma
# E_prim_keV = 460.8320
# N_primaries = 30000000
# N_with_signal = 118151
# sample_cm3 = 499.798
# matrix = organic
# density_gcm3 = 0.4900
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,64
1.5,104
2.5,99
3.5,93
4.5,97
5.5,152
6.5,143
7.5,142
8.5,167
9.5,174
10.5,182
11.5,179
12.5,156
13.5,168
14.5,173
15.5,178
16.5,176
17.5,171
18.5,198
19.5,213
20.5,199
21.5,233
22.5,219
23.5,221
24.5,203
25.5,215
26.5,221
27.5,218
28.5,205
29.5,237
30.5,238
31.5,245
32.5,237
33.5,222
34.5,249
35.5,257
36.5,276
37.5,296
38.5,281
39.5,304
40.5,311
41.5,368
42.5,404
43.5,393
44.5,419
45.5,403
46.5,466
47.5,483
48.5,528
49.5,524
50.5,580
51.5,602
52.5,627
53.5,609
54.5,683
55.5,660
56.5,715
57.5,720
58.5,726
59.5,784
60.5,751
61.5,806
62.5,759
63.5,776
64.5,836
65.5,866
66.5,920
67.5,869
68.5,931
69.5,935
70.5,960
71.5,925
72.5,915
73.5,928
74.5,906
75.5,923
76.5,885
77.5,967
78.5,922
79.5,951
80.5,926
81.5,913
82.5,911
83.5,942
84.5,900
85.5,901
86.5,884
87.5,844
88.5,930
89.5,879
90.5,894
91.5,849
92.5,850
93.5,821
94.5,809
95.5,818
96.5,789
97.5,831
98.5,781
99.5,782
100.5,773
101.5,789
102.5,805
103.5,781
104.5,754
105.5,731
106.5,718
107.5,746
108.5,730
109.5,733
110.5,636
111.5,708
112.5,668
113.5,665
114.5,685
115.5,631
116.5,623
117.5,655
118.5,686
119.5,617
120.5,671
121.5,648
122.5,633
123.5,594
124.5,596
125.5,579
126.5,586
127.5,585
128.5,579
129.5,572
130.5,552
131.5,517
132.5,555
133.5,478
134.5,483
135.5,510
136.5,490
137.5,492
138.5,504
139.5,455
140.5,489
141.5,473
142.5,449
143.5,435
144.5,465
145.5,430
146.5,398
147.5,416
148.5,376
149.5,396
150.5,402
151.5,376
152.5,348
153.5,442
154.5,408
155.5,373
156.5,333
157.5,370
158.5,366
159.5,348
160.5,334
161.5,363
162.5,332
163.5,326
164.5,349
165.5,363
166.5,316
167.5,351
168.5,298
169.5,298
170.5,322
171.5,307
172.5,292
173.5,266
174.5,290
175.5,280
176.5,265
177.5,253
178.5,261
179.5,250
180.5,244
181.5,231
182.5,237
183.5,249
184.5,254
185.5,246
186.5,236
187.5,232
188.5,239
189.5,216
190.5,241
191.5,207
192.5,217
193.5,216
194.5,219
195.5,185
196.5,209
197.5,195
198.5,166
199.5,189
200.5,199
201.5,189
202.5,182
203.5,184
204.5,164
205.5,177
206.5,179
207.5,180
208.5,158
209.5,160
210.5,179
211.5,174
212.5,168
213.5,140
214.5,170
215.5,166
216.5,170
217.5,163
218.5,131
219.5,159
220.5,174
221.5,148
222.5,164
223.5,141
224.5,146
225.5,147
226.5,139
227.5,158
228.5,163
229.5,164
230.5,169
231.5,165
232.5,152
233.5,163
234.5,169
235.5,192
236.5,167
237.5,156
238.5,124
239.5,114
240.5,137
241.5,143
242.5,142
243.5,120
244.5,131
245.5,101
246.5,101
247.5,135
248.5,116
249.5,104
250.5,87
251.5,102
252.5,82
253.5,83
254.5,85
255.5,84
256.5,72
257.5,85
258.5,72
259.5,70
260.5,81
261.5,86
262.5,67
263.5,79
264.5,65
265.5,81
266.5,64
267.5,69
268.5,91
269.5,73
270.5,72
271.5,85
272.5,74
273.5,90
274.5,67
275.5,64
276.5,77
277.5,65
278.5,58
279.5,70
280.5,63
281.5,68
282.5,58
283.5,66
284.5,44
285.5,70
286.5,68
287.5,65
288.5,81
289.5,74
290.5,68
291.5,71
292.5,60
293.5,70
294.5,72
295.5,77
296.5,81
297.5,67
298.5,80
299.5,55
300.5,54
301.5,55
302.5,48
303.5,44
304.5,47
305.5,44
306.5,51
307.5,43
308.5,45
309.5,40
310.5,41
311.5,60
312.5,53
313.5,52
314.5,43
315.5,34
316.5,41
317.5,48
318.5,42
319.5,44
320.5,48
321.5,42
322.5,30
323.5,34
324.5,43
325.5,31
326.5,32
327.5,47
328.5,52
329.5,40
330.5,44
331.5,44
332.5,38
333.5,37
334.5,43
335.5,35
336.5,33
337.5,40
338.5,38
339.5,40
340.5,45
341.5,35
342.5,31
343.5,29
344.5,35
345.5,47
346.5,39
347.5,31
348.5,24
349.5,42
350.5,41
351.5,44
352.5,33
353.5,52
354.5,41
355.5,58
356.5,42
357.5,52
358.5,46
359.5,39
360.5,34
361.5,37
362.5,24
363.5,36
364.5,22
365.5,26
366.5,27
367.5,18
368.5,29
369.5,26
370.5,23
371.5,20
372.5,21
373.5,22
374.5,29
375.5,21
376.5,23
377.5,22
378.5,17
379.5,21
380.5,24
381.5,25
382.5,25
383.5,23
384.5,31
385.5,25
386.5,34
387.5,31
388.5,27
389.5,26
390.5,22
391.5,25
392.5,23
393.5,18
394.5,24
395.5,21
396.5,23
397.5,12
398.5,22
399.5,22
400.5,19
401.5,20
402.5,22
403.5,23
404.5,17
405.5,20
406.5,25
407.5,18
408.5,12
409.5,18
410.5,17
411.5,15
412.5,17
413.5,21
414.5,22
415.5,20
416.5,13
417.5,20
418.5,8
419.5,14
420.5,22
421.5,14
422.5,12
423.5,17
424.5,24
425.5,17
426.5,7
427.5,16
428.5,18
429.5,21
430.5,16
431.5,12
432.5,19
433.5,18
434.5,16
435.5,17
436.5,14
437.5,15
438.5,20
439.5,20
440.5,11
441.5,18
442.5,16
443.5,16
444.5,19
445.5,17
446.5,17
447.5,13
448.5,12
449.5,17
450.5,20
451.5,17
452.5,13
453.5,16
454.5,11
455.5,11
456.5,15
457.5,12
458.5,15
459.5,10
460.5,12
461.5,19
462.5,21
463.5,15
464.5,14
465.5,13
466.5,13
467.5,18
468.5,16
469.5,14
470.5,20
471.5,12
472.5,12
473.5,7
474.5,11
475.5,7
476.5,11
477.5,16
478.5,8
479.5,12
480.5,12
481.5,16
482.5,12
483.5,10
484.5,12
485.5,11
486.5,10
487.5,12
488.5,11
489.5,14
490.5,11
491.5,13
492.5,10
493.5,12
494.5,10
495.5,10
496.5,13
497.5,15
498.5,10
499.5,10
500.5,10
501.5,15
502.5,10
503.5,12
504.5,12
505.5,9
506.5,11
507.5,12
508.5,19
509.5,13
510.5,15
511.5,6
512.5,15
513.5,18
514.5,19
515.5,10
516.5,24
517.5,16
518.5,17
519.5,10
520.5,15
521.5,8
522.5,14
523.5,13
524.5,7
525.5,11
526.5,12
527.5,19
528.5,10
529.5,12
530.5,11
531.5,10
532.5,12
533.5,11
534.5,7
535.5,9
536.5,6
537.5,16
538.5,9
539.5,11
540.5,12
541.5,10
542.5,4
543.5,10
544.5,7
545.5,10
546.5,15
547.5,9
548.5,12
549.5,13
550.5,11
551.5,9
552.5,16
553.5,10
554.5,15
555.5,7
556.5,6
557.5,10
558.5,11
559.5,11
560.5,5
561.5,10
562.5,5
563.5,8
564.5,6
565.5,6
566.5,13
567.5,12
568.5,6
569.5,6
570.5,8
571.5,8
572.5,7
573.5,6
574.5,12
575.5,7
576.5,7
577.5,15
578.5,11
579.5,12
580.5,10
581.5,16
582.5,21
583.5,11
584.5,16
585.5,7
586.5,14
587.5,11
588.5,7
589.5,8
590.5,7
591.5,12
592.5,7
593.5,13
594.5,6
595.5,5
596.5,11
597.5,9
598.5,13
599.5,15
600.5,18
601.5,24
602.5,24
603.5,13
604.5,24
605.5,21
606.5,17
607.5,19
608.5,14
609.5,19
610.5,16
611.5,9
612.5,13
613.5,13
614.5,10
615.5,8
616.5,12
617.5,4
618.5,5
619.5,4
620.5,5
621.5,10
622.5,6
623.5,4
624.5,4
625.5,4
626.5,5
627.5,5
628.5,4
629.5,6
630.5,4
631.5,10
632.5,4
633.5,2
634.5,6
635.5,5
636.5,6
637.5,5
638.5,6
639.5,7
640.5,7
641.5,6
642.5,3
643.5,7
644.5,4
645.5,8
646.5,4
647.5,6
648.5,7
649.5,2
650.5,5
651.5,8
652.5,6
653.5,6
654.5,1
655.5,3
656.5,1
657.5,4
658.5,4
659.5,9
660.5,6
661.5,7
662.5,5
663.5,10
664.5,5
665.5,1
666.5,8
