# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# particle = gamma
# E_prim_keV = 460.9034
# N_primaries = 30000000
# N_with_signal = 103127
# sample_cm3 = 499.798
# matrix = soil
# density_gcm3 = 1.6000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,68
1.5,89
2.5,82
3.5,108
4.5,90
5.5,126
6.5,158
7.5,118
8.5,142
9.5,101
10.5,138
11.5,132
12.5,113
13.5,143
14.5,112
15.5,127
16.5,128
17.5,136
18.5,130
19.5,155
20.5,133
21.5,146
22.5,133
23.5,145
24.5,159
25.5,167
26.5,162
27.5,168
28.5,151
29.5,156
30.5,175
31.5,187
32.5,163
33.5,176
34.5,168
35.5,179
36.5,184
37.5,186
38.5,178
39.5,198
40.5,245
41.5,217
42.5,232
43.5,201
44.5,245
45.5,286
46.5,306
47.5,291
48.5,296
49.5,330
50.5,358
51.5,391
52.5,413
53.5,446
54.5,478
55.5,518
56.5,521
57.5,509
58.5,571
59.5,572
60.5,614
61.5,621
62.5,635
63.5,578
64.5,673
65.5,691
66.5,699
67.5,707
68.5,796
69.5,761
70.5,749
71.5,751
72.5,826
73.5,786
74.5,789
75.5,818
76.5,806
77.5,754
78.5,837
79.5,804
80.5,821
81.5,765
82.5,768
83.5,808
84.5,769
85.5,805
86.5,796
87.5,814
88.5,790
89.5,800
90.5,801
91.5,802
92.5,783
93.5,797
94.5,739
95.5,729
96.5,724
97.5,726
98.5,756
99.5,725
100.5,677
101.5,685
102.5,708
103.5,736
104.5,674
105.5,672
106.5,669
107.5,696
108.5,688
109.5,657
110.5,616
111.5,669
112.5,627
113.5,614
114.5,585
115.5,632
116.5,593
117.5,546
118.5,588
119.5,558
120.5,602
121.5,550
122.5,587
123.5,539
124.5,535
125.5,580
126.5,568
127.5,554
128.5,549
129.5,533
130.5,484
131.5,481
132.5,460
133.5,501
134.5,500
135.5,466
136.5,433
137.5,464
138.5,476
139.5,418
140.5,412
141.5,387
142.5,414
143.5,456
144.5,440
145.5,419
146.5,404
147.5,431
148.5,407
149.5,385
150.5,377
151.5,402
152.5,380
153.5,401
154.5,390
155.5,360
156.5,337
157.5,327
158.5,329
159.5,350
160.5,299
161.5,319
162.5,331
163.5,308
164.5,328
165.5,345
166.5,298
167.5,305
168.5,296
169.5,281
170.5,272
171.5,281
172.5,262
173.5,283
174.5,238
175.5,267
176.5,271
177.5,266
178.5,239
179.5,233
180.5,235
181.5,253
182.5,244
183.5,227
184.5,243
185.5,233
186.5,233
187.5,226
188.5,215
189.5,218
190.5,231
191.5,182
192.5,210
193.5,211
194.5,189
195.5,174
196.5,187
197.5,184
198.5,185
199.5,171
200.5,173
201.5,166
202.5,188
203.5,177
204.5,153
205.5,160
206.5,170
207.5,156
208.5,158
209.5,146
210.5,153
211.5,154
212.5,144
213.5,156
214.5,142
215.5,153
216.5,141
217.5,130
218.5,150
219.5,151
220.5,138
221.5,144
222.5,135
223.5,136
224.5,120
225.5,130
226.5,129
227.5,144
228.5,127
229.5,139
230.5,150
231.5,149
232.5,145
233.5,144
234.5,154
235.5,140
236.5,136
237.5,120
238.5,136
239.5,135
240.5,130
241.5,119
242.5,106
243.5,103
244.5,100
245.5,99
246.5,114
247.5,89
248.5,87
249.5,112
250.5,73
251.5,62
252.5,76
253.5,82
254.5,94
255.5,62
256.5,74
257.5,88
258.5,83
259.5,68
260.5,68
261.5,80
262.5,70
263.5,83
264.5,69
265.5,69
266.5,79
267.5,60
268.5,89
269.5,58
270.5,60
271.5,80
272.5,69
273.5,69
274.5,67
275.5,63
276.5,70
277.5,66
278.5,74
279.5,60
280.5,60
281.5,50
282.5,55
283.5,54
284.5,44
285.5,47
286.5,50
287.5,47
288.5,60
289.5,63
290.5,63
291.5,59
292.5,64
293.5,77
294.5,68
295.5,60
296.5,65
297.5,68
298.5,67
299.5,54
300.5,50
301.5,47
302.5,47
303.5,45
304.5,65
305.5,36
306.5,34
307.5,33
308.5,45
309.5,52
310.5,45
311.5,46
312.5,48
313.5,33
314.5,35
315.5,38
316.5,33
317.5,36
318.5,34
319.5,39
320.5,39
321.5,45
322.5,35
323.5,41
324.5,44
325.5,31
326.5,43
327.5,44
328.5,40
329.5,33
330.5,33
331.5,48
332.5,38
333.5,34
334.5,37
335.5,45
