# RadiaCode 101/102/103, CsI(Tl) 10x10x10 mm
# particle = gamma
# E_prim_keV = 460.9065
# N_primaries = 30000000
# N_with_signal = 121434
# sample_cm3 = 499.798
# matrix = water
# density_gcm3 = 1.0000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,67
1.5,100
2.5,106
3.5,122
4.5,121
5.5,155
6.5,177
7.5,146
8.5,160
9.5,170
10.5,181
11.5,197
12.5,184
13.5,197
14.5,185
15.5,199
16.5,202
17.5,212
18.5,207
19.5,207
20.5,213
21.5,215
22.5,229
23.5,240
24.5,249
25.5,236
26.5,197
27.5,196
28.5,267
29.5,228
30.5,240
31.5,264
32.5,283
33.5,256
34.5,273
35.5,339
36.5,299
37.5,322
38.5,375
39.5,357
40.5,408
41.5,436
42.5,484
43.5,485
44.5,519
45.5,561
46.5,543
47.5,577
48.5,616
49.5,631
50.5,630
51.5,673
52.5,691
53.5,719
54.5,772
55.5,811
56.5,825
57.5,813
58.5,821
59.5,881
60.5,919
61.5,919
62.5,891
63.5,931
64.5,884
65.5,907
66.5,933
67.5,1013
68.5,928
69.5,967
70.5,915
71.5,1000
72.5,1037
73.5,985
74.5,987
75.5,1006
76.5,1008
77.5,996
78.5,947
79.5,924
80.5,1000
81.5,983
82.5,981
83.5,956
84.5,981
85.5,953
86.5,936
87.5,883
88.5,857
89.5,930
90.5,888
91.5,871
92.5,915
93.5,861
94.5,840
95.5,835
96.5,811
97.5,872
98.5,828
99.5,818
100.5,832
101.5,742
102.5,759
103.5,748
104.5,721
105.5,760
106.5,709
107.5,719
108.5,694
109.5,651
110.5,768
111.5,655
112.5,670
113.5,672
114.5,681
115.5,654
116.5,678
117.5,670
118.5,590
119.5,654
120.5,543
121.5,610
122.5,619
123.5,596
124.5,592
125.5,541
126.5,622
127.5,548
128.5,534
129.5,529
130.5,555
131.5,497
132.5,519
133.5,506
134.5,498
135.5,508
136.5,495
137.5,493
138.5,487
139.5,485
140.5,482
141.5,450
142.5,427
143.5,457
144.5,432
145.5,479
146.5,434
147.5,394
148.5,437
149.5,407
150.5,369
151.5,415
152.5,404
153.5,345
154.5,377
155.5,373
156.5,379
157.5,338
158.5,320
159.5,311
160.5,358
161.5,337
162.5,327
163.5,328
164.5,328
165.5,305
166.5,290
167.5,332
168.5,316
169.5,267
170.5,296
171.5,303
172.5,285
173.5,303
174.5,290
175.5,280
176.5,256
177.5,258
178.5,272
179.5,263
180.5,262
181.5,231
182.5,239
183.5,244
184.5,255
185.5,244
186.5,245
187.5,230
188.5,234
189.5,242
190.5,241
191.5,205
192.5,210
193.5,199
194.5,224
195.5,213
196.5,225
197.5,202
198.5,195
199.5,175
200.5,200
201.5,203
202.5,158
203.5,175
204.5,170
205.5,188
206.5,168
207.5,168
208.5,170
209.5,132
210.5,163
211.5,158
212.5,167
213.5,170
214.5,154
215.5,159
216.5,152
217.5,161
218.5,145
219.5,139
220.5,136
221.5,142
222.5,160
223.5,152
224.5,125
225.5,131
226.5,129
227.5,118
228.5,136
229.5,148
230.5,148
231.5,147
232.5,163
233.5,153
234.5,167
235.5,158
236.5,150
237.5,146
238.5,128
239.5,124
240.5,144
241.5,132
242.5,119
243.5,108
244.5,110
245.5,110
246.5,103
247.5,76
248.5,114
249.5,76
250.5,100
251.5,88
252.5,81
253.5,93
254.5,95
255.5,74
256.5,73
257.5,72
258.5,79
259.5,93
260.5,78
261.5,75
262.5,78
263.5,60
264.5,80
265.5,69
266.5,71
267.5,64
268.5,68
269.5,83
270.5,77
271.5,77
272.5,74
273.5,73
274.5,67
275.5,72
276.5,75
277.5,51
278.5,59
279.5,58
280.5,69
281.5,56
282.5,59
283.5,56
284.5,59
285.5,62
286.5,68
287.5,60
288.5,61
289.5,71
290.5,63
291.5,77
292.5,64
293.5,86
294.5,61
295.5,57
296.5,71
297.5,61
298.5,63
299.5,61
300.5,55
301.5,58
302.5,59
303.5,52
304.5,39
305.5,40
306.5,42
307.5,49
308.5,36
309.5,44
310.5,39
311.5,39
312.5,29
313.5,40
314.5,44
315.5,31
316.5,59
317.5,40
318.5,41
319.5,45
320.5,56
321.5,54
322.5,43
323.5,42
324.5,31
325.5,42
326.5,37
327.5,42
328.5,38
329.5,30
330.5,43
331.5,38
332.5,26
333.5,45
334.5,45
335.5,36
336.5,34
337.5,34
338.5,42
339.5,38
340.5,36
341.5,33
342.5,20
343.5,28
344.5,30
345.5,24
346.5,35
347.5,31
348.5,45
349.5,40
350.5,50
351.5,41
352.5,42
353.5,32
354.5,50
355.5,51
356.5,45
357.5,34
358.5,49
359.5,54
360.5,33
361.5,38
362.5,23
363.5,34
364.5,20
365.5,16
366.5,25
367.5,30
368.5,18
369.5,17
370.5,31
371.5,30
372.5,29
373.5,16
374.5,30
375.5,22
376.5,24
377.5,28
378.5,22
379.5,24
380.5,21
381.5,25
382.5,21
383.5,25
384.5,23
385.5,26
386.5,18
387.5,27
388.5,11
389.5,26
390.5,17
391.5,15
392.5,23
393.5,14
394.5,20
395.5,17
396.5,30
397.5,17
398.5,21
399.5,20
400.5,19
401.5,20
402.5,15
403.5,11
404.5,14
405.5,20
406.5,9
407.5,17
408.5,21
409.5,20
410.5,26
411.5,13
412.5,17
413.5,14
414.5,14
415.5,14
416.5,17
417.5,17
418.5,20
419.5,17
420.5,12
421.5,12
422.5,25
423.5,19
424.5,23
425.5,14
426.5,15
427.5,11
428.5,28
429.5,12
430.5,16
431.5,20
432.5,17
433.5,18
434.5,11
435.5,14
436.5,17
437.5,15
438.5,9
439.5,18
440.5,13
441.5,11
442.5,18
443.5,17
444.5,10
445.5,19
446.5,10
447.5,7
448.5,14
449.5,12
450.5,10
451.5,11
452.5,12
453.5,14
454.5,12
455.5,12
456.5,17
457.5,17
458.5,14
459.5,15
460.5,12
461.5,17
462.5,13
463.5,14
464.5,11
465.5,12
466.5,17
467.5,14
468.5,16
469.5,12
470.5,17
471.5,11
472.5,12
473.5,10
474.5,13
475.5,17
476.5,18
477.5,11
478.5,11
479.5,5
480.5,11
481.5,12
482.5,10
483.5,10
484.5,15
485.5,6
486.5,11
487.5,16
488.5,14
489.5,10
490.5,8
491.5,13
492.5,12
493.5,14
494.5,8
495.5,9
496.5,10
497.5,13
498.5,8
499.5,12
500.5,13
501.5,8
502.5,10
503.5,7
504.5,11
505.5,5
506.5,6
507.5,9
508.5,10
509.5,11
510.5,18
511.5,12
512.5,10
513.5,13
514.5,17
515.5,10
516.5,16
517.5,17
518.5,13
519.5,10
520.5,9
521.5,5
522.5,11
523.5,9
524.5,10
525.5,15
526.5,8
527.5,7
528.5,9
