E_keV,k_organic_0.49,k_soil_1.20,k_soil_1.60,k_water_1.00
25.0,1.1406,0.8700,0.8054,1.2221
35.0,1.1373,0.8316,0.7657,1.3227
45.0,1.1514,0.7909,0.7549,1.3647
55.0,1.1214,0.8473,0.8178,1.2806
65.0,1.0765,0.8947,0.8633,1.1793
75.0,1.0459,0.9174,0.8882,1.1106
85.0,1.0244,0.9320,0.9043,1.0687
95.0,1.0104,0.9387,0.9149,1.0343
105.0,1.0078,0.9446,0.9217,1.0103
115.0,1.0063,0.9468,0.9231,0.9932
125.0,0.9979,0.9427,0.9207,0.9792
135.0,0.9887,0.9397,0.9246,0.9762
145.0,0.9800,0.9324,0.9313,0.9739
155.0,0.9792,0.9269,0.9364,0.9666
165.0,0.9887,0.9350,0.9401,0.9692
175.0,0.9902,0.9484,0.9395,0.9791
185.0,0.9777,0.9498,0.9285,0.9796
195.0,0.9661,0.9366,0.9107,0.9684
205.0,0.9653,0.9241,0.8951,0.9513
215.0,0.9740,0.9208,0.8857,0.9347
225.0,0.9831,0.9206,0.8796,0.9230
235.0,0.9855,0.9196,0.8752,0.9179
245.0,0.9818,0.9226,0.8759,0.9194
255.0,0.9763,0.9329,0.8842,0.9261
265.0,0.9750,0.9427,0.8943,0.9345
275.0,0.9772,0.9387,0.8943,0.9378
285.0,0.9749,0.9221,0.8831,0.9320
295.0,0.9669,0.9104,0.8730,0.9221
305.0,0.9585,0.9162,0.8719,0.9156
315.0,0.9490,0.9313,0.8744,0.9108
325.0,0.9305,0.9320,0.8694,0.8961
335.0,0.9023,0.9080,0.8541,0.8691
345.0,0.8764,0.8751,0.8379,0.8450
355.0,0.8661,0.8539,0.8320,0.8382
365.0,0.8792,0.8532,0.8416,0.8512
375.0,0.9138,0.8728,0.8660,0.8755
385.0,0.9540,0.9061,0.8987,0.8963
395.0,0.9768,0.9401,0.9283,0.9043
405.0,0.9738,0.9607,0.9426,0.9027
415.0,0.9576,0.9620,0.9374,0.8979
425.0,0.9452,0.9491,0.9205,0.8920
435.0,0.9439,0.9327,0.9042,0.8857
445.0,0.9496,0.9211,0.8958,0.8833
455.0,0.9550,0.9160,0.8958,0.8877
465.0,0.9559,0.9113,0.9020,0.8951
475.0,0.9555,0.9012,0.9141,0.8979
485.0,0.9634,0.8883,0.9330,0.8952
495.0,0.9876,0.8810,0.9578,0.8948
505.0,1.0270,0.8844,0.9828,0.9050
515.0,1.0702,0.8949,0.9983,0.9269
525.0,1.0999,0.9051,0.9938,0.9524
535.0,1.0993,0.9081,0.9637,0.9684
545.0,1.0633,0.9006,0.9140,0.9651
555.0,1.0056,0.8832,0.8611,0.9442
565.0,0.9495,0.8596,0.8194,0.9160
575.0,0.9116,0.8362,0.7924,0.8903
585.0,0.8950,0.8191,0.7769,0.8724
595.0,0.8935,0.8122,0.7699,0.8640
605.0,0.8978,0.8169,0.7714,0.8644
615.0,0.8996,0.8328,0.7825,0.8706
625.0,0.8936,0.8572,0.8016,0.8773
635.0,0.8806,0.8848,0.8235,0.8788
