# массовый коэффициент ослабления, см²/г (compt+phot+conv)
# physics: EmStandardPhysics_option4, Geant4 11.2.1
matrix,rho_gcm3,E_keV,mu_over_rho_cm2_g,mu_cm-1
air,0.0012,30.0,3.094308e-01,3.727992e-04
air,0.0012,46.5,1.963591e-01,2.365715e-04
air,0.0012,59.5,1.738104e-01,2.094050e-04
air,0.0012,80.0,1.581090e-01,1.904881e-04
air,0.0012,92.6,1.516207e-01,1.826711e-04
air,0.0012,122.0,1.409257e-01,1.697859e-04
air,0.0012,186.0,1.245060e-01,1.500035e-04
air,0.0012,238.6,1.148111e-01,1.383232e-04
air,0.0012,295.2,1.064835e-01,1.282902e-04
air,0.0012,351.9,9.969479e-02,1.201113e-04
air,0.0012,477.0,8.841195e-02,1.065178e-04
air,0.0012,583.2,8.117373e-02,9.779730e-05
air,0.0012,609.3,7.971465e-02,9.603942e-05
air,0.0012,661.7,7.683973e-02,9.257574e-05
air,0.0012,795.0,7.079286e-02,8.529052e-05
air,0.0012,911.2,6.623117e-02,7.979465e-05
air,0.0012,968.9,6.437268e-02,7.755556e-05
air,0.0012,1120.3,5.984594e-02,7.210179e-05
air,0.0012,1173.2,5.849524e-02,7.047448e-05
air,0.0012,1332.5,5.483053e-02,6.605928e-05
air,0.0012,1460.8,5.225619e-02,6.295773e-05
air,0.0012,1764.5,4.729789e-02,5.698402e-05
air,0.0012,2204.0,4.201861e-02,5.062360e-05
air,0.0012,2614.5,3.839681e-02,4.626010e-05
air,0.0012,3000.0,3.568127e-02,4.298844e-05
organic,0.5000,30.0,2.828019e-01,1.414010e-01
organic,0.5000,46.5,1.981330e-01,9.906652e-02
organic,0.5000,59.5,1.802020e-01,9.010098e-02
organic,0.5000,80.0,1.663993e-01,8.319966e-02
organic,0.5000,92.6,1.601732e-01,8.008659e-02
organic,0.5000,122.0,1.494340e-01,7.471698e-02
organic,0.5000,186.0,1.322682e-01,6.613408e-02
organic,0.5000,238.6,1.220047e-01,6.100235e-02
organic,0.5000,295.2,1.131652e-01,5.658261e-02
organic,0.5000,351.9,1.059519e-01,5.297593e-02
organic,0.5000,477.0,9.396382e-02,4.698191e-02
organic,0.5000,583.2,8.626927e-02,4.313463e-02
organic,0.5000,609.3,8.471778e-02,4.235889e-02
organic,0.5000,661.7,8.166188e-02,4.083094e-02
organic,0.5000,795.0,7.523564e-02,3.761782e-02
organic,0.5000,911.2,7.038704e-02,3.519352e-02
organic,0.5000,968.9,6.841162e-02,3.420581e-02
organic,0.5000,1120.3,6.359860e-02,3.179930e-02
organic,0.5000,1173.2,6.216179e-02,3.108090e-02
organic,0.5000,1332.5,5.826206e-02,2.913103e-02
organic,0.5000,1460.8,5.552065e-02,2.776033e-02
organic,0.5000,1764.5,5.023201e-02,2.511600e-02
organic,0.5000,2204.0,4.457919e-02,2.228959e-02
organic,0.5000,2614.5,4.068421e-02,2.034210e-02
organic,0.5000,3000.0,3.775548e-02,1.887774e-02
soil,0.8000,30.0,1.243425e+00,9.947398e-01
soil,0.8000,46.5,4.344634e-01,3.475707e-01
