# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 8147e1da3b0d
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 18:05:15
# nuclide = Ra226, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 300000
# Sv_total_per_cm3_s = 2.300000e-03
# fluence_total_cm2_s = 1.324094e-03
E_keV,fluence_cm2_s
47.0,1.720546e-05
53.0,1.445623e-05
55.0,1.545511e-05
57.0,1.136728e-05
59.0,1.395694e-05
61.0,2.909678e-05
63.0,1.719020e-05
65.0,3.183172e-05
67.0,8.347782e-05
69.0,3.852975e-05
71.0,3.048368e-05
75.0,2.270541e-05
77.0,8.421739e-06
79.0,3.662511e-05
81.0,6.482475e-05
83.0,8.034032e-06
85.0,8.358685e-05
87.0,1.384508e-05
91.0,4.542507e-05
95.0,2.792682e-05
99.0,4.885390e-05
101.0,1.050162e-05
105.0,7.472012e-06
107.0,1.895127e-05
109.0,1.499267e-05
111.0,2.561495e-05
113.0,2.139643e-05
115.0,2.315534e-05
117.0,1.670361e-05
123.0,1.269271e-05
125.0,3.483471e-06
129.0,1.760966e-05
131.0,1.922165e-05
135.0,1.461499e-05
141.0,2.653355e-05
143.0,9.855004e-06
149.0,1.708667e-05
151.0,4.680042e-06
153.0,1.444154e-05
155.0,4.061043e-06
159.0,2.770832e-05
163.0,1.549234e-05
165.0,1.573766e-05
169.0,7.456078e-06
171.0,7.731748e-06
175.0,2.069882e-05
181.0,1.007474e-05
183.0,4.896550e-05
185.0,1.825391e-05
187.0,2.056067e-04
